DateTime,AddedIPs,RemovedIPs
1579329161,1,0
1579359137,1,0
1579371850,1,0
1579403810,1,0
1579421306,1,0
1579458250,0,4
1579467895,1,0
1579479380,1,0
1579481293,1,0
1579490891,0,1
1579508184,0,1
1579554531,0,1
1579566017,0,1
1579601773,1,1
1579622910,1,0
1579644065,1,0
1579688651,0,1
1579709004,0,1
1579726342,1,0
1579728254,1,0
1579730187,1,1
1579735952,1,0
1579768090,1,0
1579798941,1,0
1579812279,0,1
1579814175,0,1
1579816096,0,1
1579821901,0,1
1579830730,1,0
1579854046,0,1
1579885000,0,1
1579891697,1,0
1579895529,1,0
1579915690,0,1
1579943791,1,0
1579976653,0,1
1579978600,1,0
1579982445,0,1
1579995863,1,0
1580013136,1,0
1580029701,0,1
1580038343,1,0
1580066657,0,1
1580081290,0,1
1580100501,0,1
1580124250,0,1
1580154989,1,0
1580158829,1,0
1580160733,1,0
1580243050,0,1
1580245002,0,1
1580246923,0,1
1585401383,1,0
1585440261,1,0
1585457531,1,0
1585477696,1,0
1585485614,1,0
1585499058,1,0
1585509635,0,1
1585525932,0,1
1585542498,0,1
1585565541,0,1
1585574173,0,1
1585583786,0,1
1586717057,1,0
1586724750,1,0
1586796255,2,0
1586798433,2,0
1586802505,5,0
1586805373,3,0
1586809228,0,1
1586811129,0,1
1586883131,0,1
1586885050,0,3
1586888198,0,2
1586966904,7,6
1586968827,3,0
1587300739,2,9
1587302674,2,0
1587306500,7,0
1587387408,0,4
1587389682,0,1
1587893060,1,7
1587894972,6,0
1588190201,1,7
1588192089,1,0
1588194031,1,0
1588276581,0,1
1588278487,0,1
1588343057,1,1
1588344976,11,0
1588429460,0,1
1588443857,6,11
1588445784,27,0
1588529767,0,33
1588713862,3,0
1588715773,3,0
1588717685,2,0
1588801703,0,6
1588928171,3,2
1588930087,5,0
1589015054,0,4
1589224570,7,4
1589226488,2,0
1598395450,1,9
1598405097,1,0
1598437960,1,0
1598439941,1,0
1598492989,0,1
1598525531,0,2
1598560095,0,1
1598608343,1,0
1598695959,2,0
1598703679,0,1
1598915325,1,2
1598960439,1,0
1598970252,1,0
1599003159,0,1
1599005057,1,0
1599006970,1,0
1599008896,2,0
1599047542,0,1
1599056172,0,1
1599062167,1,0
1599074674,1,0
1599093641,0,2
1599095556,0,1
1599097451,0,1
1599156028,1,0
1599160092,0,1
1599192992,1,0
1599241468,0,1
1599245295,1,0
1599273641,1,1
1599275599,1,0
1599279368,0,1
1599331450,0,1
1599360253,0,1
1599434649,1,1
1599472566,1,0
1599493237,1,0
1599509772,1,0
1599521286,0,1
1599578890,0,1
1599582735,0,1
1599594486,0,1
1599836504,1,0
1599842676,1,0
1599907448,1,0
1599924734,0,1
1599930496,0,1
1599992190,1,0
1599994339,0,1
1600061791,1,0
1600065618,1,0
1600079079,0,1
1600091056,1,0
1600116296,1,0
1600147963,0,1
1600152732,0,1
1600154665,1,0
1600168091,1,0
1600175769,32,0
1600177728,0,1
1600179608,2,0
1600181532,1,0
1600183481,1,0
1600191136,1,0
1600193129,5,0
1600194971,2,0
1600198816,1,0
1600200795,1,0
1600202671,0,1
1600204577,1,0
1600206518,1,0
1600210489,2,0
1600214458,1,0
1600216358,3,0
1600220438,1,0
1600222573,2,0
1600228344,1,0
1600230298,2,0
1600232230,1,0
1600243973,1,0
1600245849,1,0
1600251632,2,0
1600255481,1,1
1600257367,1,0
1600261487,0,2
1600263406,1,0
1600265294,2,0
1600267267,0,28
1600269150,1,0
1600271081,2,0
1600274893,3,0
1600280649,2,0
1600282570,1,1
1600286477,1,0
1600292200,1,0
1600294182,1,0
1600305613,1,0
1600307556,3,0
1600315450,1,0
1600320250,2,0
1600322196,1,0
1600324091,1,0
1600329850,1,0
1600331769,1,0
1600333737,1,0
1600337563,0,9
1600339451,2,0
1600341369,2,0
1600350993,1,1
1600366337,2,0
1600368292,3,37
1600370207,1,1
1600372104,1,0
1600377872,0,1
1600381687,0,1
1600383668,2,0
1600385530,1,0
1600387497,3,1
1600391335,1,1
1600393212,4,1
1600395150,2,2
1600398978,1,0
1600400914,1,1
1600404730,1,2
1600408604,0,1
1600410488,1,1
1600416251,0,1
1600418169,0,1
1600420119,0,2
1600424176,1,0
1600426090,2,2
1600428010,0,2
1600431879,2,0
1600437851,1,1
1600441702,1,0
1600445556,1,0
1600447450,1,0
1600453208,0,2
1600455129,0,3
1600457075,0,1
1600458980,1,1
1600460912,2,0
1600462843,1,0
1600466655,1,0
1600480101,1,1
1600484019,1,0
1600485873,1,0
1600493582,1,0
1600497427,1,0
1600509148,2,0
1600511084,1,0
1600521608,1,0
1600527393,0,1
1600531001,0,1
1600535778,1,0
1600539648,1,0
1600541549,2,0
1600545403,1,0
1600551157,1,0
1600555019,1,0
1600556900,2,26
1600562654,2,0
1600566515,1,1
1600570360,1,1
1600572261,0,1
1600574171,1,0
1600576120,0,1
1600579945,0,1
1600583773,1,1
1600588595,1,0
1600590486,2,0
1600593375,1,0
1600595327,0,2
1600597218,1,1
1600599135,1,0
1600601079,2,1
1600606945,1,1
1600608969,2,0
1600613054,2,0
1600620757,1,1
1600626584,0,1
1600629396,0,2
1600631289,0,1
1600638988,0,1
1600640914,1,1
1600643774,0,2
1600645693,2,0
1600647646,1,0
1600649536,0,2
1600651456,2,1
1600653257,1,0
1600655393,1,0
1600657578,0,1
1600661299,1,1
1600663211,3,0
1600665252,1,0
1600671127,1,1
1600674992,1,1
1600676886,1,2
1600678822,0,1
1600684580,0,1
1600686496,0,3
1600690596,1,0
1600692508,1,1
1600694472,2,1
1600696354,1,1
1600700482,1,2
1600702362,2,0
1600704266,1,0
1600706210,2,1
1600710048,1,0
1600713875,2,0
1600715776,1,0
1600717692,2,0
1600720600,3,0
1600722528,1,0
1600726367,1,0
1600732088,3,0
1600734079,1,0
1600737879,1,0
1600739861,1,0
1600747449,3,0
1600753450,1,0
1600757288,1,0
1600761153,1,0
1600763053,1,0
1600766917,2,0
1600769795,1,0
1600773881,1,0
1600782509,1,0
1600784443,1,0
1600788297,1,0
1600790271,1,0
1600795938,1,0
1600801691,1,0
1600805546,1,0
1600807450,0,36
1600811287,0,1
1600815130,3,0
1600817058,0,2
1600819010,1,2
1600820888,2,0
1600823771,0,1
1600825684,0,1
1600831451,1,0
1600833395,1,2
1600848756,4,0
1600852624,1,0
1600862957,2,0
1600864808,1,0
1600868914,3,0
1600870807,2,0
1600872732,1,0
1600876600,1,0
1600878513,1,0
1600888118,1,0
1600902525,1,0
1600904415,3,0
1600910169,1,0
1600914014,1,0
1600919820,0,13
1600921689,1,0
1600933457,1,0
1600939209,1,0
1600941132,1,0
1600951938,1,0
1600953916,1,0
1600955810,2,1
1600957725,2,0
1600959685,1,0
1600961582,0,2
1600965370,0,3
1600974984,1,0
1600976926,1,0
1600982690,0,22
1600988489,2,0
1600996253,1,0
1601000190,3,0
1601002090,4,0
1601004006,1,0
1601005952,1,0
1601007848,1,0
1601009791,1,1
1601011687,1,0
1601014565,1,0
1601016504,1,0
1601024166,1,0
1601026088,1,0
1601028057,1,0
1601029952,1,0
