DateTime,AddedIPs,RemovedIPs
1600239366,2,1
1600243449,1,0
1600245399,2,2
1600249260,1,2
1600251179,0,1
1600253130,2,3
1600255065,1,1
1600256929,1,0
1600258877,2,2
1600260756,0,4
1600262705,2,2
1600264618,2,1
1600266764,2,1
1600268700,2,1
1600270671,2,0
1600272551,1,1
1600274476,0,1
1600276385,0,1
1600278273,1,1
1600280232,0,1
1600282115,0,2
1600284039,1,0
1600285997,1,0
1600287871,1,1
1600289855,1,2
1600291724,4,1
1600293682,1,2
1600295552,2,2
1600297668,1,2
1600299635,1,0
1600302514,1,2
1600304418,1,1
1600308293,3,0
1600310438,1,2
1600314279,0,2
1600316187,4,1
1600318329,2,1
1600322197,1,2
1600324091,1,1
1600326049,1,2
1600327961,2,0
1600329851,0,1
1600331769,1,2
1600333741,0,1
1600335608,0,1
1600337563,1,0
1600339451,2,2
1600341369,3,1
1600343315,2,1
1600345208,0,2
1600349079,3,2
1600350995,1,2
1600352923,1,1
1600354878,0,2
1600356759,2,2
1600358659,0,1
1600360596,2,1
1600362537,1,1
1600364480,2,1
1600368292,2,2
1600370207,0,1
1600372105,1,1
1600374102,2,1
1600375984,2,1
1600377872,2,4
1600379827,1,1
1600381687,0,2
1600384597,3,2
1600388441,2,1
1600390391,0,1
1600392285,1,0
1600394244,4,3
1600396128,1,2
1600399993,1,0
1600401851,0,1
1600403786,0,4
1600405729,1,0
1600409569,2,1
1600411494,2,2
1600413393,1,3
1600415314,3,0
1600417257,1,0
1600419159,0,1
1600421068,1,1
1600423034,0,1
1600424910,0,1
1600426859,3,3
1600428760,2,2
1600430685,1,1
1600434494,3,3
1600436410,1,1
1600438365,2,0
1600440254,0,1
1600442190,2,1
1600444118,1,1
1600446010,0,2
1600447928,1,0
1600449892,3,1
1600451783,1,1
1600453702,2,2
1600456573,2,0
1600458515,2,1
1600460410,0,2
1600462359,3,2
1600464281,3,2
1600466170,2,0
1600470090,2,2
1600471938,2,0
1600473877,1,1
1600475773,3,1
1600477696,1,1
1600479636,1,0
1600481531,2,5
1600487290,1,1
1600489234,2,0
1600491132,1,1
1600493047,1,1
1600494999,1,2
1600497139,2,3
1600500993,2,3
1600502889,1,0
1600504808,1,1
1600506773,1,1
1600512518,2,1
1600514416,2,3
1600516330,0,2
1600520172,0,1
1600522119,0,3
1600525235,1,1
1600529114,0,2
1600532889,3,0
1600535778,0,4
1600539649,0,2
1600541550,2,1
1600543451,0,3
1600545403,1,1
1600547289,1,0
1600549273,2,4
1600551158,0,2
1600553116,1,2
1600555019,1,0
1600556900,0,3
1600558811,0,1
1600560766,3,1
1600562668,2,3
1600564589,3,2
1600566515,1,1
1600568428,1,1
1600574172,1,1
1600576120,1,2
1600578042,0,1
1600579946,3,1
1600581957,0,1
1600583774,0,2
1600585725,1,0
1600588596,1,2
1600593375,2,3
1600595327,2,0
1600599135,1,2
1600601079,1,2
1600602975,1,0
1600604898,0,1
1600606955,1,0
1600613055,2,0
1600614997,2,0
1600616896,1,1
1600618807,0,1
1600620758,1,1
1600622649,1,0
1600624587,3,0
1600626585,1,0
1600629397,3,3
1600631289,1,1
1600633208,2,1
1600635174,0,2
1600637068,2,0
1600638988,0,2
1600640914,0,1
1600643776,3,0
1600645693,1,1
1600647648,0,2
1600649536,2,3
1600651456,1,3
1600653258,1,2
1600657616,3,0
1600659418,5,0
1600661299,4,2
1600663213,2,0
1600665252,3,0
1600667312,3,3
1600671127,1,1
1600673075,1,0
1600674992,0,1
1600676886,1,0
1600678832,0,2
1600680725,0,1
1600682684,0,1
1600684581,1,1
1600686499,2,1
1600688406,2,1
1600692508,0,1
1600694473,1,0
1600696355,2,0
1600698322,0,1
1600700498,2,2
1600702362,0,1
1600704266,1,1
1600706221,0,1
1600708114,2,1
1600711959,0,3
1600713876,0,2
1600715776,2,1
1600717693,0,1
1600720600,4,2
1600722528,2,0
1600724410,0,2
1600726389,1,0
1600728276,1,1
1600730233,0,2
1600732089,1,1
1600734079,2,0
1600735954,0,2
1600737880,0,1
1600739867,2,1
1600741775,1,1
1600743671,4,3
1600745554,2,4
1600747450,0,5
1600749401,2,2
1600751537,1,2
1600753451,2,2
1600755393,1,0
1600757289,1,1
1600761153,1,1
1600763053,1,1
1600766917,1,0
1600769795,2,0
1600771690,3,1
1600773882,0,1
1600775807,23,1
1600777731,0,1
1600780577,2,1
1600782509,0,2
1600786354,0,1
1600788298,0,1
1600790271,0,2
1600792089,4,0
1600794079,3,1
1600795939,1,1
1600797954,2,0
1600801691,2,2
1600803638,2,0
1600805546,1,1
1600807450,2,4
1600809393,1,3
1600811287,1,1
1600813237,1,0
1600815130,2,0
1600817058,1,0
1600819010,0,1
1600820889,0,2
1600823771,1,0
1600825684,0,3
1600827630,1,1
1600829548,0,4
1600831452,1,2
1600835300,1,1
1600837232,1,1
1600839144,0,1
1600841130,1,2
1600842995,1,2
1600848756,1,1
1600850657,1,0
1600854486,1,2
1600856410,1,0
1600858356,1,2
1600862993,1,23
1600867003,2,2
1600870807,0,1
1600872732,1,0
1600876602,1,0
1600878514,1,4
1600880431,0,2
1600882326,1,1
1600884276,0,2
1600888119,1,2
1600890013,0,2
1600891966,1,1
1600893879,0,2
1600895772,0,1
1600897689,1,2
1600900652,3,3
1600902526,2,1
1600904415,3,1
1600908285,2,2
1600910169,3,1
1600914014,0,1
1600915932,2,0
1600917876,1,1
1600921689,1,1
1600924805,2,0
1600926726,1,1
1600930566,0,1
1600932505,1,0
1600936332,2,2
1600938266,1,0
1600942090,1,1
1600944011,1,2
1600945959,1,0
1600947849,0,1
1600949767,1,0
1600951715,3,0
1600953614,5,2
1600955527,2,0
1600959371,0,1
1600961302,2,0
1600964174,4,2
1600966085,1,1
1600968031,1,0
1600969944,0,1
1600975690,3,1
1600978861,1,0
1600980764,1,0
1600982691,1,1
1600984605,2,2
1600986503,1,1
1600989606,0,3
1600991775,1,1
1600996600,2,2
1600998489,1,0
1601000413,2,0
1601002354,2,1
1601004254,0,1
1601008087,1,1
1601010027,1,1
1601011957,0,1
1601013848,1,1
1601015772,4,0
1601017730,1,0
1601019612,0,1
1601021575,1,0
1601023449,1,3
1601025399,2,0
1601027324,1,1
1601029206,1,1
1601031161,2,0
1601033051,0,2
1601035004,4,0
1601036918,1,2
1601040057,0,9
1601041929,3,1
1601043915,2,0
1601047694,1,3
1601050573,0,4
1601052518,1,1
1601054419,0,1
1601058496,3,0
1601060458,1,0
1601062361,0,2
1601064258,0,1
1601066172,0,1
1601068366,1,1
1601070255,1,2
1601072173,1,2
1601076009,1,0
1601077928,0,1
1601081771,1,1
1601083625,0,1
1601085874,1,3
1601087834,1,2
1601089799,0,1
1601093532,1,1
1601097383,1,0
1601099304,2,0
1601101260,0,4
1601103139,0,2
1601105068,0,1
1601107013,0,1
1601108916,3,1
1601111772,4,2
1601113691,1,1
1601115608,0,1
1601117527,0,2
1601121471,0,4
1601123289,0,1
1601127132,1,1
1601129078,0,3
1601131298,0,1
1601133147,2,1
1601137024,1,0
1601138934,1,1
1601140847,2,0
1601142755,1,0
1601144666,0,3
1601146616,5,2
1601148534,1,0
1601150454,1,0
1601154251,1,1
1601156213,1,0
1601158152,2,2
1601160052,3,0
1601161951,1,1
1601163888,3,0
1601167715,1,1
1601169646,1,0
1601171548,1,1
1601173511,1,2
1601175404,1,0
1601177364,1,0
1601180167,1,1
1601184030,0,1
1601185929,1,2
1601187863,1,0
1601189810,1,0
1601191685,4,0
1601193632,1,0
1601195528,1,3
1601197455,1,1
1601199391,1,3
1601201289,1,0
1601205181,2,0
1601207081,2,0
1601208981,1,0
1601212840,1,1
1601214769,2,0
1601216689,3,0
1601218569,1,0
1601220531,2,2
1601223391,1,1
1601225317,3,1
1601227206,2,2
1601229157,1,1
1601231047,1,0
1601232969,0,4
1601234911,2,1
1601237792,1,1
1601239687,0,1
1601243527,3,1
1601245472,0,3
1601247367,3,3
1601249286,0,2
1601251258,1,1
1601253379,2,1
1601255314,3,1
1601257210,3,0
1601259130,1,2
1601261075,1,1
1601262970,2,1
1601264887,1,0
1601266829,0,2
1601270687,3,0
1601272606,1,1
1601274513,2,1
1601276496,1,1
1601278393,2,5
1601280274,1,0
1601282184,0,1
1601284384,3,1
1601286300,1,1
1601288188,0,1
1601290144,3,0
1601292008,0,2
1601294170,1,3
1601296086,2,0
1601299931,1,2
1601301866,3,4
1601303795,1,1
1601305712,0,1
1601307663,4,2
1601309547,3,1
1601311476,1,3
1601313384,2,1
1601315309,0,2
1601317288,0,1
1601319180,1,0
1601321071,1,2
1601323071,1,1
1601324905,1,0
1601328784,0,2
1601330702,3,1
1601332649,2,0
1601334524,1,3
1601336656,1,0
1601338573,1,3
1601340521,1,0
1601342411,2,2
1601344330,0,2
1601346340,2,1
1601348178,0,2
1601352300,2,1
1601356365,0,2
1601358269,1,1
1601360172,1,6
1601362119,2,0
1601364020,0,2
1601365947,3,1
1601367880,0,1
1601369775,3,3
1601371695,1,1
1601374853,1,0
