DateTime,AddedIPs,RemovedIPs
1600393213,3,4
1600395151,6,2
1600397078,7,4
1600398978,2,5
1600400914,4,5
1600402836,0,8
1600404730,6,4
1600406652,4,5
1600408604,4,3
1600410488,4,6
1600412502,3,3
1600414358,11,8
1600416252,4,7
1600418170,8,6
1600420119,6,9
1600422014,4,10
1600424176,34,5
1600426091,7,9
1600428011,6,4
1600429932,10,7
1600431879,8,2
1600433782,5,7
1600435936,5,8
1600437851,5,7
1600439798,7,6
1600441702,2,5
1600443609,6,5
1600445557,6,7
1600447450,5,6
1600449370,9,7
1600451318,3,8
1600453208,10,7
1600455129,4,9
1600457075,1,4
1600458980,4,4
1600460913,1,6
1600462847,2,5
1600464733,3,7
1600466686,2,3
1600468593,5,6
1600470496,5,4
1600472303,5,4
1600474349,3,3
1600476275,5,4
1600478218,2,4
1600480102,8,3
1600482025,3,10
1600484019,2,3
1600485873,5,2
1600487793,4,4
1600489702,1,4
1600491655,5,3
1600493583,2,5
1600495565,2,4
1600497428,4,2
1600499592,5,4
1600501484,5,11
1600503385,7,5
1600505322,3,9
1600507217,2,5
1600509149,4,3
1600511084,6,34
1600512992,7,8
1600514921,2,7
1600516904,5,9
1600518751,2,8
1600521608,6,8
1600523554,5,1
1600525448,4,5
1600527393,2,8
1600531003,136,11
1600532889,6,3
1600534885,9,8
1600536770,7,5
1600538748,0,8
1600540569,6,5
1600542598,6,3
1600544409,4,3
1600546334,1,3
1600548278,4,1
1600550169,20,3
1600552333,3,2
1600554277,3,5
1600556171,7,4
1600558108,1,6
1600560068,4,3
1600561928,3,5
1600563864,4,2
1600565795,2,1
1600567705,2,11
1600569614,1,1
1600571553,1,3
1600573450,6,7
1600575399,3,0
1600577292,3,4
1600579210,2,3
1600581155,9,3
1600583070,5,4
1600584969,3,2
1600586888,2,4
1600588843,4,6
1600590736,5,6
1600592923,4,4
1600594843,4,2
1600596767,15,5
1600598659,9,7
1600600822,5,5
1600602763,5,3
1600604694,5,3
1600606590,7,5
1600608536,8,5
1600611432,10,4
1600613290,5,4
1600615207,3,17
1600617154,4,115
1600619049,6,8
1600620969,9,11
1600622915,6,4
1600625836,11,3
1600627712,9,9
1600629639,9,6
1600631557,8,1
1600633458,7,2
1600635404,4,12
1600637342,4,12
1600639230,6,3
1600641126,3,4
1600643326,3,6
1600645207,5,1
1600647103,2,3
1600649077,1,4
1600650968,4,4
1600652887,3,2
1600654955,5,1
1600657011,3,2
1600658939,6,2
1600660850,7,5
1600662772,7,4
1600664671,3,2
1600666606,6,5
1600668525,2,7
1600670421,7,4
1600672375,4,3
1600674272,7,3
1600676210,5,6
1600678105,5,3
1600680105,3,4
1600681955,3,3
1600683854,5,17
1600685783,8,7
1600687691,9,6
1600689669,8,3
1600691558,1,6
1600693497,11,8
1600695395,6,10
1600697567,7,5
1600701249,148,7
1600703052,7,6
1600705932,61,6
1600707872,7,12
1600709794,8,3
1600711717,7,10
1600713611,14,6
1600715776,87,12
1600717693,8,9
1600720601,14,10
1600722529,5,3
1600724410,3,5
1600726393,3,5
1600728276,5,1
1600730241,2,4
1600732089,2,4
1600734079,1,2
1600735954,2,2
1600737880,3,3
1600739869,3,3
1600741776,0,6
1600743685,2,3
1600745554,6,7
1600747451,6,5
1600749402,6,8
1600751565,5,3
1600753451,6,5
1600755394,5,4
1600757289,4,6
1600759210,5,5
1600761153,10,5
1600763053,3,6
1600764977,5,5
1600766917,10,2
1600769795,9,6
1600771690,7,8
1600773882,11,11
1600775807,5,6
1600777732,5,2
1600780577,6,13
1600782510,4,7
1600784444,7,7
1600786355,7,110
1600788298,4,39
1600790272,3,54
1600792089,8,9
1600794105,5,9
1600795939,9,7
1600797964,7,8
1600799769,7,5
1600801692,6,95
1600803639,8,7
1600805547,9,12
1600807451,2,7
1600809394,11,3
1600811288,4,3
1600813237,4,4
1600815131,5,4
1600817059,3,1
1600819011,4,2
1600820890,4,2
1600822872,1,1
1600824755,4,4
1600826671,4,2
1600828572,5,0
1600830516,5,4
1600832430,5,6
1600834582,4,6
1600836489,4,7
1600838408,3,5
1600840327,4,4
1600842277,3,5
1600844209,2,3
1600846354,9,9
1600848270,6,7
1600850200,5,3
1600852120,2,8
1600854042,9,6
1600855937,6,8
1600857852,5,7
1600859883,7,9
1600861791,5,6
1600863889,3,6
1600865769,8,2
1600867961,7,8
1600869856,6,2
1600871816,12,8
1600873779,8,8
1600875639,6,2
1600877545,6,2
1600879453,6,11
1600881398,7,7
1600883304,9,10
1600885210,5,3
1600887157,13,8
1600889052,5,7
1600891011,6,9
1600892891,5,4
1600895773,9,11
1600897690,1,6
1600900652,7,6
1600902526,6,6
1600904416,2,3
1600906368,3,2
1600908287,4,3
1600910170,3,2
1600912116,4,5
1600914015,2,4
1600915933,10,3
1600917877,4,8
1600919825,0,5
1600921690,5,2
1600923687,7,4
1600925534,2,5
1600927699,4,3
1600929612,4,2
1600931556,3,6
1600933457,6,6
1600935368,4,5
1600937315,6,5
1600939209,3,4
1600941133,6,8
1600943079,5,5
1600944973,5,7
1600946908,4,8
1600948911,5,2
1600950733,6,4
1600952895,4,7
1600954811,3,7
1600957043,10,8
1600958890,4,11
1600960833,7,6
1600962733,5,9
1600964665,6,8
1600966596,3,5
1600968491,4,6
1600970492,2,9
1600972360,5,5
1600974272,4,12
1600976193,6,5
1600978109,4,6
1600980033,1,4
1600981976,7,6
1600983857,6,3
1600985777,4,7
1600987722,3,3
1600989607,1,4
1600991781,5,3
1600993688,5,2
1600995709,6,4
1600997537,4,4
1600999503,8,3
1601001372,3,6
1601003320,4,8
1601005253,3,1
1601007147,2,3
1601009074,3,6
1601010970,5,4
1601012890,4,2
1601014844,5,3
1601016729,3,5
1601018652,6,4
1601020597,11,6
1601022490,4,3
1601024481,1,6
1601026327,1,4
1601028498,4,8
1601030419,9,1
1601032338,3,6
1601034248,6,5
1601036207,5,4
1601038091,2,7
1601040058,3,3
1601041929,4,5
1601043921,49,9
1601045771,21,4
1601047695,7,6
1601050574,4,8
1601052519,6,5
1601054419,2,4
1601056609,58,2
1601058497,12,5
1601060475,7,3
1601062362,6,7
1601064259,6,4
1601066173,10,1
1601068366,2,7
1601070256,7,6
1601072173,5,4
1601074114,2,3
1601076009,5,1
1601077928,2,5
1601079876,15,4
1601081771,4,5
1601083625,7,6
1601085875,1,8
1601087834,3,3
1601089799,8,4
1601091612,2,3
1601093532,2,2
1601095477,4,3
1601097383,1,5
1601099305,7,4
1601101260,8,5
1601103140,0,3
1601105068,6,6
1601107014,4,11
1601108916,4,4
1601110859,7,1
1601112778,3,2
1601114969,4,3
1601116840,11,9
1601118734,6,3
1601120679,7,6
1601122577,5,5
1601124496,3,2
1601126407,3,3
1601128370,4,4
1601130417,94,61
1601133391,126,14
1601135289,4,4
1601137259,5,4
1601139125,11,4
1601141049,3,4
1601142992,4,56
1601144885,9,12
1601146827,4,7
1601148757,1,6
1601150703,3,6
1601152601,1,10
1601154514,7,2
1601156410,1,6
1601158326,6,6
1601160280,4,2
1601162170,4,5
1601164091,11,1
1601166030,7,10
1601167927,4,10
1601169848,6,7
1601171792,3,0
1601173692,0,4
1601175650,6,5
1601177529,4,4
1601179473,48,3
1601181616,5,4
1601183533,4,1
1601185473,4,7
1601187367,5,7
1601189291,6,1
1601191248,5,6
1601193130,7,3
1601195072,5,4
1601196967,6,5
1601199135,7,6
1601201076,5,4
1601203010,3,9
1601204899,5,7
1601206806,6,7
1601208754,2,4
1601210652,6,4
1601212572,5,4
1601214515,5,4
1601216408,4,54
1601218352,4,161
1601220252,5,5
1601222183,5,4
1601224113,6,6
1601226999,22,13
1601228905,9,4
1601230817,1,8
1601232753,8,5
1601234675,4,0
1601236568,8,3
1601238513,6,2
1601240438,7,6
1601242361,7,2
1601244302,3,6
1601246193,5,4
1601248367,5,4
1601250251,4,7
1601252201,33,9
1601254330,146,6
1601256252,2,6
1601258329,6,3
1601260351,8,0
1601262253,12,6
1601264168,7,27
1601266132,6,27
1601268013,5,3
1601269930,5,4
1601271898,5,4
1601273769,7,5
1601275688,5,6
1601277634,6,5
1601279551,11,7
1601281453,5,5
1601283397,5,6
1601285293,8,7
1601287376,7,5
1601289391,9,3
1601291336,8,5
1601293239,4,6
1601295177,3,2
1601297069,8,6
1601298983,7,5
1601300946,7,5
1601302832,4,4
1601304756,3,4
1601306696,6,5
1601308606,7,5
1601310523,9,6
1601312452,4,19
1601314355,2,10
1601316283,5,3
1601318168,4,3
1601320111,7,8
1601322011,5,6
1601323936,6,5
1601325922,8,8
1601327769,7,5
1601329727,6,7
1601331607,3,4
1601333549,9,3
1601335515,3,7
1601337395,7,4
1601339339,6,119
1601341317,3,59
1601343143,5,0
1601345125,56,7
1601347032,5,11
1601348920,2,9
1601350845,4,7
1601352812,2,5
1601354651,7,5
1601356570,5,6
1601358513,4,4
1601360407,5,9
1601362329,2,3
1601364286,2,6
1601366169,7,12
1601368087,4,5
1601370986,11,11
1601372890,9,5
1601374853,8,7
