DateTime,AddedIPs,RemovedIPs
1600390391,10,11
1600392284,11,9
1600394244,10,11
1600396127,15,6
1600398117,5,8
1600399990,4,10
1600401851,7,15
1600403786,7,15
1600405728,11,10
1600407668,7,8
1600409568,12,6
1600411494,8,9
1600413393,8,10
1600415314,15,10
1600417256,8,14
1600419159,11,11
1600421067,7,16
1600423033,8,14
1600424909,37,6
1600426851,15,20
1600428760,10,8
1600430657,13,13
1600432595,11,8
1600434493,13,17
1600436410,9,12
1600438365,15,8
1600440254,9,14
1600442187,14,13
1600444117,14,10
1600446009,6,15
1600447928,14,7
1600449891,13,15
1600451780,15,12
1600453702,16,19
1600456572,17,19
1600458515,8,8
1600460409,11,13
1600462358,9,11
1600464279,7,12
1600466170,6,5
1600468115,13,10
1600470083,9,8
1600471936,11,7
1600473877,8,4
1600475772,12,10
1600477695,6,8
1600479636,6,10
1600481531,18,13
1600483453,3,9
1600485392,14,3
1600487289,9,6
1600489234,4,6
1600491132,10,10
1600493046,4,9
1600494998,7,11
1600497139,10,11
1600499081,9,4
1600500993,7,19
1600502889,16,5
1600504808,5,14
1600506769,8,7
1600508650,8,6
1600510568,8,38
1600512518,12,10
1600514415,7,8
1600516330,6,14
1600518255,5,10
1600520172,10,12
1600522118,9,11
1600525234,7,17
1600527130,5,13
1600529088,55,14
1600530997,88,11
1600532888,13,6
1600535777,17,24
1600537721,11,11
1600539647,4,18
1600541547,13,14
1600543451,8,7
1600545402,8,7
1600547288,7,7
1600549247,26,9
1600551157,12,7
1600553101,6,6
1600555019,10,10
1600556899,10,37
1600558810,3,9
1600560766,9,7
1600562653,10,10
1600564584,12,7
1600566514,7,14
1600568427,4,8
1600570360,8,6
1600572260,6,11
1600574170,10,8
1600576119,7,7
1600578032,6,8
1600579945,9,7
1600581929,8,3
1600583773,9,11
1600585724,6,7
1600588594,10,18
1600590486,8,9
1600593375,11,14
1600595326,10,9
1600597218,19,7
1600599134,12,11
1600601078,9,9
1600602974,6,8
1600604896,7,4
1600606890,10,12
1600608730,17,7
1600610718,8,2
1600612571,12,8
1600614514,6,4
1600616463,11,127
1600618337,5,17
1600620496,15,18
1600622412,10,7
1600624356,12,10
1600626584,16,7
1600629396,20,20
1600631288,12,8
1600633207,10,5
1600635173,7,16
1600637066,9,20
1600638987,8,8
1600640913,5,6
1600642840,8,13
1600644753,9,4
1600647096,8,11
1600649076,6,10
1600650967,7,14
1600652886,7,9
1600654954,8,3
1600656989,8,8
1600658938,13,5
1600660833,14,11
1600662770,15,7
1600664669,7,5
1600666605,13,10
1600668524,6,9
1600670421,9,10
1600672375,7,4
1600674272,12,8
1600676209,11,10
1600678104,7,5
1600680104,11,10
1600681954,9,6
1600683853,13,19
1600685782,10,14
1600687690,12,8
1600689647,14,5
1600691557,2,9
1600693455,17,11
1600695395,14,15
1600697566,9,10
1600701248,157,16
1600703051,9,11
1600705931,71,11
1600707867,10,16
1600709794,12,10
1600711716,11,15
1600713610,20,12
1600715775,94,16
1600717692,12,12
1600720599,26,13
1600722527,11,5
1600724409,3,10
1600726363,6,6
1600728275,6,5
1600730203,5,8
1600732088,8,7
1600734077,5,2
1600735953,8,6
1600737879,7,5
1600739823,7,6
1600741764,2,8
1600744578,15,14
1600746759,12,15
1600748679,8,12
1600750614,10,8
1600752531,10,9
1600755392,13,12
1600757288,11,7
1600759209,11,9
1600761152,14,10
1600763052,8,10
1600764972,7,9
1600766916,14,7
1600769794,18,19
1600771689,15,11
1600773881,14,14
1600775805,30,9
1600777730,11,3
1600780576,13,17
1600782507,9,14
1600784442,10,8
1600786353,10,113
1600788297,8,43
1600790270,8,59
1600792088,13,14
1600794989,16,16
1600796968,14,11
1600798899,5,7
1600800789,9,101
1600802681,13,9
1600804606,11,10
1600806574,9,20
1600808467,7,47
1600810388,10,7
1600812540,5,7
1600814437,10,6
1600816354,11,5
1600818300,4,7
1600820188,8,4
1600822106,5,8
1600824059,4,8
1600825976,6,7
1600827910,10,2
1600829851,7,9
1600831689,8,11
1600833664,9,9
1600835610,6,10
1600837462,7,5
1600839422,7,12
1600841591,4,9
1600843468,4,10
1600845383,8,11
1600847343,7,10
1600849259,11,11
1600851145,10,2
1600853082,8,16
1600855008,11,12
1600856931,8,15
1600858898,8,9
1600862197,15,39
1600864097,5,12
1600867002,18,12
1600868914,12,10
1600870807,11,9
1600872731,13,10
1600874660,14,6
1600876596,17,7
1600878513,17,14
1600880426,7,9
1600882325,12,10
1600884275,15,10
1600886172,7,9
1600888118,13,11
1600890012,7,11
1600891953,8,10
1600893878,6,5
1600895771,9,10
1600897689,2,10
1600900651,11,13
1600902525,10,7
1600904414,11,6
1600906366,4,4
1600908284,7,6
1600910168,7,4
1600912114,6,6
1600914013,3,7
1600915932,12,7
1600917875,5,10
1600919812,1,20
1600921688,8,7
1600923658,11,7
1600925533,6,6
1600927698,5,5
1600929611,7,4
1600931555,7,7
1600933456,9,6
1600935367,6,10
1600937314,11,8
1600939208,5,8
1600941131,10,10
1600943078,9,6
1600944972,6,10
1600946907,6,9
1600948877,7,4
1600950732,10,4
1600952894,11,9
1600954810,12,13
1600957016,16,11
1600958889,8,13
1600960832,13,17
1600962732,10,13
1600964664,11,21
1600966594,7,8
1600968490,9,10
1600970434,5,13
1600972360,7,8
1600974267,7,12
1600976192,11,7
1600978108,8,7
1600980006,7,7
1600981973,9,29
1600983856,8,4
1600985775,11,11
1600987721,6,3
1600989605,2,8
1600991770,6,6
1600993687,7,3
1600995667,9,7
1600997536,7,7
1600999486,12,4
1601001371,11,7
1601003318,7,9
1601005252,4,2
1601007147,4,5
1601009074,8,10
1601010969,7,6
1601012889,9,4
1601014843,9,5
1601016728,8,8
1601018651,7,6
1601020596,13,11
1601022489,10,5
1601025398,7,14
1601027315,6,10
1601029206,4,5
1601031160,15,6
1601033051,8,8
1601035003,15,6
1601036918,7,9
1601038851,6,12
1601040757,7,11
1601042705,6,13
1601044596,65,8
1601046765,17,12
1601048652,5,11
1601050572,4,9
1601052517,8,10
1601054418,7,7
1601056606,60,6
1601058495,15,7
1601060437,9,6
1601062360,8,11
1601064256,10,9
1601066171,14,7
1601068365,4,9
1601070254,10,9
1601072172,7,9
1601074113,3,23
1601076008,8,1
1601077927,3,7
1601079875,18,6
1601081770,5,7
1601083624,9,10
1601085872,3,12
1601087833,9,11
1601089798,11,8
1601091611,3,4
1601093531,4,4
1601095476,5,7
1601097382,3,9
1601099304,10,8
1601101259,9,9
1601103138,2,8
1601105067,8,7
1601107012,5,14
1601108915,8,10
1601110849,9,4
1601112776,8,6
1601114947,7,4
1601116840,14,12
1601118733,8,7
1601120679,11,13
1601122577,9,14
1601124495,5,2
1601126407,8,6
1601128370,4,8
1601130311,88,47
1601132173,133,29
1601134125,12,12
1601136058,4,3
1601138053,7,8
1601139911,14,7
1601141999,14,15
1601143950,6,57
1601145877,8,12
1601147770,9,12
1601149691,4,5
1601151660,7,14
1601153528,7,10
1601155455,7,5
1601157392,7,8
1601159289,10,5
1601161233,10,4
1601163151,12,5
1601165067,14,4
1601167010,12,18
1601168914,9,8
1601170990,8,6
1601172838,4,7
1601174729,5,7
1601176597,11,8
1601178493,48,5
1601180433,10,3
1601182338,5,3
1601184273,4,6
1601186198,6,10
1601188091,6,6
1601190035,9,4
1601191973,12,9
1601193861,6,6
1601195795,9,9
1601197690,8,10
1601199616,11,7
1601201563,7,7
1601203449,2,14
1601205609,13,9
1601207528,11,11
1601209484,4,10
1601211368,6,4
1601213294,12,8
1601216196,13,33
1601218087,11,186
1601220010,9,12
1601221958,10,4
1601223850,5,9
1601225773,29,15
1601227713,13,13
1601229646,9,5
1601231555,7,11
1601233490,11,7
1601235366,6,8
1601237306,10,7
1601239236,10,5
1601241128,8,10
1601243084,14,3
1601244966,5,12
1601246911,12,9
1601248808,8,12
1601250744,5,15
1601252667,92,9
1601254593,94,8
1601256486,7,13
1601258328,8,5
1601260350,12,2
1601262252,16,10
1601264167,9,29
1601266130,8,31
1601268010,6,5
1601269928,9,4
1601271897,10,6
1601273768,10,7
1601275687,6,6
1601277633,10,9
1601279531,16,11
1601281452,12,8
1601283396,12,7
1601285291,15,11
1601287333,12,6
1601289135,12,4
1601291335,13,12
1601293238,7,10
1601295175,8,6
1601297068,11,7
1601298982,8,8
1601300945,13,11
1601302830,8,8
1601304755,9,9
1601306695,11,9
1601308604,11,11
1601310522,18,7
1601312429,11,26
1601314354,4,14
1601316266,6,6
1601318167,7,7
1601320111,9,13
1601322010,7,6
1601323936,6,8
1601325895,12,10
1601327768,10,6
1601329701,9,10
1601331606,7,5
1601333548,14,11
1601335514,5,7
1601337395,8,6
1601339338,10,124
1601341278,7,61
1601343142,8,4
1601345107,59,7
1601347030,7,13
1601348919,3,12
1601350844,8,8
1601352805,5,6
1601354650,7,5
1601356569,8,9
1601358512,11,7
1601360406,7,16
1601362327,4,4
1601364284,3,13
1601366168,13,15
1601368086,12,11
1601370985,21,19
1601372889,12,10
1601374851,13,10
