DateTime,AddedIPs,RemovedIPs
1600384598,6,5
1600386501,2,6
1600388442,6,2
1600390393,2,3
1600392286,3,4
1600394246,5,7
1600396129,8,4
1600398173,5,11
1600399995,3,2
1600401852,5,2
1600403788,4,3
1600405730,7,6
1600407670,5,560
1600409570,8,889
1600411495,13,569
1600413394,2,7
1600415315,7,11
1600417258,9,10
1600419160,6,6
1600421069,4,2
1600423035,7,7
1600424911,9,11
1600426869,14,65
1600428762,74,33
1600430715,32,5
1600432597,4,27
1600434496,25,230
1600436412,50,1254
1600438367,1003,660
1600440256,1131,910
1600442191,798,728
1600444142,864,769
1600446011,762,169
1600447929,177,4
1600449893,2,5
1600451799,6,8
1600453704,3,6
1600456574,12,12
1600458516,7,42
1600460411,8,5
1600462360,8,4
1600464282,20,3
1600466172,10,5
1600468116,4,5
1600471206,8,14
1600473160,8,3
1600475054,30,5
1600476974,6,3
1600478915,9,6
1600480857,7,8
1600482735,6,8
1600484736,18,5
1600486573,7,2
1600488599,6,8
1600490416,5,4
1600492594,11,7
1600494496,8,3
1600496410,8,4
1600498329,8,12
1600500337,7,2
1600502172,6,8
1600504346,6,11
1600507477,10,8
1600509371,15,7
1600511538,12,59
1600513474,72,75
1600515397,75,109
1600517380,114,64
1600519268,69,248
1600521133,251,578
1600523050,546,496
1600525244,496,642
1600527132,637,632
1600529223,515,717
1600531246,115,475
1600533155,721,7
1600535307,449,6
1600537208,8,5
1600539178,6,6
1600541091,6,1
1600542988,10,11
1600544921,10,6
1600546853,11,9
1600548742,13,8
1600550655,18,15
1600552627,15,12
1600554505,46,3
1600557371,16,7
1600559461,8,9
1600561476,11,31
1600563366,7,6
1600565312,9,7
1600568180,4,11
1600570113,4,12
1600572007,7,12
1600573954,3,7
1600575849,5,4
1600577767,8,4
1600579724,7,10
1600582632,10,13
1600584489,11,8
1600586432,10,4
1600588327,8,5
1600590275,6,3
1600592171,8,6
1600594086,11,6
1600597220,68,14
1600599137,14,21
1600601081,6,8
1600602976,68,9
1600604899,8,17
1600606995,10,243
1600608971,12,1224
1600611138,67,792
1600613057,227,922
1600614998,1124,848
1600616898,884,84
1600618808,720,504
1600620759,896,344
1600622650,728,7
1600624598,395,9
1600626586,4,5
1600629399,12,11
1600631291,377,9
1600633209,12,10
1600635175,6,10
1600637069,7,18
1600638991,8,14
1600640943,14,45
1600643781,10,16
1600645695,6,7
1600647650,6,10
1600649538,3,8
1600651458,7,9
1600653259,10,3
1600655394,13,3
1600657647,5,5
1600659619,8,8
1600661531,8,3
1600663450,4,9
1600665253,3,6
1600667313,8,13
1600669235,9,2
1600671128,6,12
1600673077,2,11
1600674994,9,7
1600676888,18,9
1600679793,13,12
1600681690,7,55
1600683644,11,7
1600685642,9,100
1600687452,92,92
1600689419,97,190
1600691287,119,199
1600693235,199,180
1600695131,169,186
1600697568,186,184
1600701261,137,2278
1600703310,786,1573
1600705212,373,1151
1600707148,704,902
1600709101,198,757
1600711054,2,359
1600712890,610,3
1600714939,749,7
1600716786,697,400
1600718693,789,10
1600720603,534,8
1600722531,608,6
1600724412,727,10
1600726422,305,7
1600728278,10,16
1600730254,6,7
1600732091,11,4
1600734081,12,6
1600735956,70,3
1600737882,5,7
1600739876,5,7
1600741792,8,12
1600743704,9,4
1600745556,10,3
1600747557,16,8
1600749403,5,8
1600751567,278,3
1600753452,801,8
1600755397,448,10
1600757294,519,111
1600759216,108,1
1600761155,9,5
1600763055,4,18
1600764983,3,6
1600766919,14,10
1600769820,16,11
1600771693,6,11
1600773884,7,11
1600775813,169,54
1600777733,61,70
1600779659,74,62
1600781594,68,117
1600783569,379,110
1600785401,123,4
1600787349,10,5
1600789215,7,6
1600791182,6,2
1600793075,10,13
1600794994,7,3
1600796991,3,3
1600798928,5,11
1600800791,17,5
1600802683,5,6
1600804608,4,18
1600806577,12,4
1600809636,16,16
1600811527,5,11
1600813448,4,10
1600815396,4,11
1600817286,5,6
1600819228,10,7
1600821155,10,8
1600823350,8,62
1600825205,4,6
1600827131,3,1
1600829073,8,11
1600830971,1,10
1600832886,1,12
1600834837,1,8
1600836733,3,6
1600838679,3,600
1600840568,2,787
1600842517,2,388
1600845385,6,275
1600847344,4,7
1600849261,15,6
1600851146,2,3
1600853083,6,15
1600855009,4,13
1600856932,5,7
1600858910,1,58
1600862198,54,1710
1600864102,59,2118
1600866062,969,2344
1600867962,1462,1500
1600869917,1921,2035
1600871818,1834,1647
1600873800,1853,1262
1600875640,2057,842
1600877548,1605,592
1600879455,828,271
1600881399,575,7
1600883306,732,4
1600885212,276,5
1600887158,2,19
1600889054,2,6
1600891013,3,6
1600892892,7,11
1600894860,3,16
1600896765,2,6
1600898711,35,5
1600900655,185,4
1600902528,2,8
1600904418,4,4
1600906369,26,12
1600908290,6,11
1600910172,7,7
1600912117,3,5
1600914016,5,6
1600915935,7,6
1600917878,1,3
1600919830,5,1
1600921692,3,2
1600924806,6,8
1600926727,8,1
1600928677,6,3
1600930568,16,5
1600932506,7,1
1600935370,4,8
1600937317,1,3
1600939211,3,5
1600941134,10,5
1600943081,3,4
1600944977,2,3
1600946909,30,3
1600950074,6,5
1600951940,4,4
1600953920,6,5
1600955811,1,12
1600957726,1,6
1600959699,2,6
1600961585,4,5
1600963484,6,206
1600965372,2,76
1600967366,5,8
1600969239,4,3
1600971158,7,6
1600973093,7,5
1600974985,6,1
1600976927,7,4
1600978862,10,5
1600980765,7,5
1600982692,6,2
1600984607,10,6
1600986504,3,258
1600988515,2,2
1600990364,5,6
1600992278,10,23
1600994241,6,9
1600996255,6,7
1600998250,4,2
1601000192,1,6
1601002092,8,8
1601004008,8,1
1601005954,2,4
1601007849,13,3
1601009793,6,7
1601011688,10,1
1601014566,9,7
1601016507,6,47
1601018470,5,12
1601020328,0,3
1601022273,4,2
1601024167,6,1
1601026090,5,4
1601028084,8,10
1601029954,44,81
1601031900,4,760
1601033772,7,802
1601035692,9,648
1601037635,9,676
1601040498,10,968
1601042731,9,720
1601044598,7,371
1601046767,7,672
1601048654,2,609
1601050575,8,534
1601052519,7,251
1601054420,5,63
1601056612,9,2317
1601058498,13,1222
1601060493,8,1503
1601062363,9,1136
1601064261,5,1686
1601066174,9,917
1601068367,11,7
1601070256,12,10
1601072174,9,8
1601074115,15,4
1601076010,12,7
1601077929,19,8
1601079877,7,6
1601081772,5,6
1601083626,14,7
1601085875,19,5
1601087835,13,10
1601089800,59,12
1601091614,6,6
1601093533,6,12
1601095478,15,8
1601097384,7,21
1601099306,7,15
1601101261,13,10
1601103140,10,15
1601105069,171,7
1601107014,9,1
1601108917,142,7
1601110903,9,8
1601112779,9,10
1601114993,14,10
1601116842,13,53
1601118734,8,8
1601120680,16,7
1601122578,13,12
1601124497,1211,7
1601126409,799,9
1601128371,1591,13
1601130464,772,10
1601132432,736,11
1601134331,1368,3
1601136160,1649,2
1601138056,733,11
1601139913,13,3
1601142001,8,9
1601143958,7,8
1601145879,6,9
1601147772,4,6
1601149693,10,6
1601151662,20,8
1601153530,10,4
1601155457,5,9
1601157393,6,11
1601159290,11,14
1601161265,8,6
1601163152,5,15
1601165072,23,15
1601167014,3,2
1601168915,6,15
1601170991,18,10
1601172840,3,10
1601174730,7,7
1601176599,7,55
1601178495,6,5
1601180435,10,10
1601182340,13,7
1601184275,12,6
1601186203,6,7
1601188093,10,8
1601190056,6,9
1601191975,10,171
1601193905,72,7
1601195796,3,89
1601197691,6,8
1601199618,10,6
1601201564,11,11
1601203505,4,7
1601205610,3,9
1601207529,12,13
1601209486,0,10
1601211369,2,1716
1601213296,0,756
1601215263,5,1457
1601217133,2,481
1601219084,4,847
1601220992,8,1543
1601222889,4,1606
1601224839,15,510
1601226741,11,12
1601228655,5,11
1601230593,11,10
1601232488,10,7
1601234410,10,6
1601236393,4,12
1601238249,11,22
1601240173,6,10
1601242088,66,13
1601244064,8,7
1601245937,18,17
1601247897,10,7
1601249799,13,7
1601252960,16,13
1601254848,13,6
1601256797,14,7
1601258663,14,14
1601260583,12,8
1601262546,6,11
1601264443,12,7
1601266604,8,11
1601268751,17,14
1601270689,14,14
1601272608,7,8
1601274514,11,12
1601276505,5,11
1601278394,12,9
1601280326,9,73
1601282185,7,3
1601284384,11,6
1601286301,8,11
1601288189,15,13
1601290145,13,5
1601292009,7,4
1601294171,8,8
1601296087,13,0
1601298098,9,2
1601299931,4,0
1601301884,12,5
1601303796,9,2
1601305715,8,5
1601307667,5,10
1601309548,12,5
1601311479,4,13
1601313385,9,11
1601315310,6,6
1601317288,11,13
1601319181,11,13
1601321072,14,5
1601323072,7,6
1601324906,13,9
1601328031,12,14
1601329953,22,67
1601331877,10,11
1601333767,13,13
1601335686,11,15
1601337684,16,9
1601339528,12,9
1601341374,11,11
1601343430,10,13
1601345675,17,17
1601347775,14,10
1601349608,5,6
1601351527,13,12
1601353475,9,8
1601355371,7,17
1601357292,10,11
1601359318,9,11
1601361132,15,10
1601363085,13,350
1601365010,14,12
1601366954,17,10
1601368851,11,6
1601370760,6,11
1601372648,9,9
1601374855,11,17
