DateTime,AddedIPs,RemovedIPs
1600389384,6,3
1600391363,3,9
1600393214,7,7
1600395152,9,6
1600397081,5,11
1600398980,7,7
1600400916,5,6
1600402838,7,6
1600404732,9,3
1600406653,9,17
1600408606,4,1158
1600410490,12,657
1600412518,25,199
1600414358,5,8
1600416254,15,13
1600418170,6,7
1600420120,10,4
1600422015,6,6
1600424177,9,11
1600426092,18,19
1600428012,16,40
1600429952,45,49
1600431880,46,47
1600433784,41,58
1600435938,61,1163
1600437853,716,876
1600439800,1247,775
1600441705,754,683
1600443611,849,828
1600445558,829,372
1600447452,370,6
1600449371,7,7
1600451319,9,11
1600453230,8,9
1600455131,10,6
1600457078,16,14
1600458983,8,48
1600460915,10,8
1600462867,17,4
1600464735,32,7
1600466709,8,7
1600468595,9,9
1600470498,8,12
1600472305,12,8
1600474354,32,11
1600476276,8,9
1600478219,13,5
1600480103,12,17
1600482026,8,15
1600484021,17,4
1600485874,12,13
1600487795,8,6
1600489731,9,4
1600492594,18,19
1600494497,8,4
1600496411,9,6
1600498329,11,23
1600500339,11,4
1600502173,10,12
1600504366,10,12
1600507477,13,13
1600509372,18,8
1600511539,16,63
1600513483,76,75
1600515402,77,111
1600517385,116,70
1600519276,78,256
1600521134,255,582
1600523052,550,497
1600525246,502,645
1600527133,640,631
1600529254,516,721
1600532169,300,684
1600534094,1048,12
1600536007,156,7
1600537942,14,9
1600539849,11,8
1600541841,10,11
1600543688,13,13
1600545644,13,6
1600547556,15,13
1600549470,19,17
1600551367,19,27
1600553562,57,11
1600555455,12,11
1600557371,16,5
1600559461,15,13
1600561477,17,33
1600563368,11,11
1600565313,17,11
1600568185,7,15
1600570114,8,13
1600572008,8,13
1600573956,5,8
1600575849,9,3
1600577768,11,8
1600579724,8,13
1600582633,18,12
1600584490,13,10
1600586433,10,9
1600588328,9,11
1600590276,7,6
1600592172,8,8
1600594087,11,8
1600597221,69,20
1600599137,15,25
1600601081,10,11
1600602977,70,9
1600604900,10,25
1600607001,14,245
1600608973,14,1225
1600611139,70,794
1600613059,238,928
1600615000,1123,847
1600616898,883,85
1600618810,724,506
1600620760,898,350
1600622651,729,8
1600624602,399,13
1600626587,9,11
1600629399,18,18
1600631291,380,12
1600633210,16,11
1600635178,10,13
1600637070,11,21
1600638992,10,18
1600640944,14,53
1600643783,13,21
1600645695,12,12
1600647651,10,19
1600649538,10,12
1600651458,7,15
1600653260,15,7
1600655395,18,4
1600657650,10,8
1600659620,10,8
1600661532,9,5
1600663451,12,14
1600665254,3,7
1600667314,11,15
1600669236,11,10
1600671129,10,14
1600673078,19,13
1600674996,12,7
1600676888,19,10
1600679794,19,13
1600681692,13,55
1600683651,17,8
1600685643,13,100
1600687452,94,95
1600689421,101,189
1600691288,120,199
1600694172,201,174
1600696127,155,80
1600698007,81,215
1600701261,190,2282
1600703312,790,1574
1600705213,374,1156
1600707148,708,904
1600709103,202,761
1600711056,7,362
1600712890,618,8
1600714951,949,12
1600716787,1127,403
1600718694,1222,13
1600720605,942,14
1600722532,1084,10
1600724413,1278,11
1600726425,825,7
1600728279,38,16
1600730256,9,7
1600732092,15,3
1600734082,18,10
1600735959,75,6
1600737883,9,5
1600739878,12,10
1600741793,14,14
1600743712,7,5
1600745558,12,2
1600747585,23,9
1600749404,8,10
1600751567,213,3
1600753453,610,5
1600755398,357,11
1600757295,412,112
1600759219,109,2
1600761156,13,5
1600763056,7,18
1600764984,8,8
1600766920,19,9
1600769822,22,15
1600771695,8,13
1600773885,12,11
1600775814,170,52
1600777735,59,61
1600779667,69,60
1600781595,71,106
1600783574,369,102
1600785403,115,12
1600787351,11,8
1600789216,9,9
1600791183,13,2
1600793076,15,14
1600794995,12,7
1600796994,5,6
1600798938,9,13
1600800792,24,60
1600802684,7,379
1600804610,3,459
1600806578,12,305
1600808513,19,509
1600810390,18,424
1600812557,21,518
1600814439,4,82
1600816356,9,14
1600818302,11,15
1600820190,14,11
1600822108,13,71
1600824062,9,10
1600825978,6,14
1600827914,7,18
1600829856,7,8
1600831691,2,12
1600833679,11,19
1600835623,6,12
1600837464,10,100
1600839423,4,776
1600841593,5,637
1600843469,9,529
1600845386,8,20
1600847345,8,11
1600849262,115,11
1600851176,6,8
1600853085,7,20
1600855011,5,21
1600856933,6,12
1600858935,8,63
1600862223,61,1743
1600864111,64,2098
1600867004,1337,2760
1600868917,2179,2388
1600870809,1562,1368
1600872734,2109,1891
1600874664,1945,877
1600876624,1759,763
1600878515,1317,486
1600880446,743,12
1600882328,553,8
1600884278,658,7
1600886175,11,21
1600888120,2,16
1600890014,9,6
1600891973,8,6
1600893881,6,22
1600895774,9,17
1600897691,10,11
1600900656,218,17
1600902555,4,13
1600904420,11,11
1600906370,26,17
1600908291,13,13
1600910173,18,11
1600912118,7,7
1600914017,9,7
1600915936,12,6
1600917879,4,7
1600919832,7,9
1600921692,10,8
1600923737,8,13
1600925793,3,16
1600927701,20,3
1600929614,35,12
1600931558,22,6
1600933459,10,5
1600935371,6,30
1600937317,2,6
1600939212,6,6
1600941135,10,6
1600943081,5,4
1600944978,6,9
1600946910,34,9
1600948968,8,50
1600950992,11,43
1600952897,4,4
1600954813,6,14
1600957046,8,24
1600958892,4,8
1600960835,8,7
1600962734,18,11
1600964667,3,283
1600966597,16,8
1600968492,13,8
1600970523,19,10
1600972363,11,10
1600974284,14,3
1600976195,20,6
1600978112,26,8
1600980034,20,7
1600981977,16,11
1600983860,18,10
1600985779,9,83
1600987724,14,185
1600989608,12,5
1600991782,18,10
1600993690,19,30
1600995760,14,20
1600997767,11,10
1600999936,11,10
1601001876,15,12
1601003793,14,7
1601005688,8,5
1601007639,17,8
1601009540,9,8
1601011478,17,5
1601013416,14,7
1601015304,6,30
1601017283,9,56
1601019213,14,21
1601021134,11,5
1601022995,13,6
1601024893,14,4
1601026808,9,8
1601028798,10,7
1601030693,49,383
1601032612,10,788
1601034513,17,798
1601036453,21,627
1601038377,13,626
1601040276,20,643
1601042254,11,716
1601044388,19,439
1601046273,14,532
1601048210,10,623
1601050122,12,576
1601052045,15,370
1601053988,13,17
1601055945,15,1847
1601057784,23,1081
1601059686,17,1606
1601061634,11,1198
1601063528,12,1705
1601065451,9,1317
1601067393,19,134
1601069303,22,28
1601071321,17,15
1601073131,28,9
1601075051,15,15
1601076992,21,21
1601078902,27,18
1601080814,10,13
1601083002,28,22
1601084906,26,12
1601086847,26,9
1601088736,62,19
1601090667,7,21
1601092664,15,28
1601094531,21,14
1601096564,23,23
1601098566,14,19
1601100517,13,21
1601102411,15,72
1601104328,75,12
1601106275,181,13
1601108168,145,14
1601110094,11,18
1601112034,19,11
1601113926,11,19
1601115852,17,12
1601117832,20,58
1601119706,19,17
1601121656,19,11
1601123582,311,28
1601125498,1462,17
1601127411,1112,22
1601129336,1214,16
1601131420,343,26
1601133392,1264,11
1601135291,1744,12
1601137260,1413,13
1601139152,18,11
1601141050,11,16
1601142994,14,12
1601144887,5,21
1601146835,21,18
1601148759,15,7
1601150751,18,8
1601152609,24,15
1601154515,9,18
1601156412,7,15
1601158327,12,12
1601160281,14,23
1601162171,10,14
1601164093,8,21
1601166033,20,20
1601167928,10,8
1601169849,8,22
1601171795,24,23
1601173693,6,17
1601175682,17,55
1601177530,9,11
1601179485,13,9
1601181617,17,22
1601183534,17,20
1601185480,9,8
1601187368,8,13
1601189292,11,9
1601191252,13,178
1601193131,21,13
1601195075,80,94
1601196969,8,13
1601199136,17,15
1601201082,12,7
1601203012,11,17
1601204901,3,16
1601206808,17,12
1601208756,6,15
1601210654,4,977
1601212577,4,883
1601214517,14,1731
1601216410,13,793
1601218353,8,398
1601220253,10,1324
1601222188,9,1818
1601224114,25,1014
1601227000,19,25
1601228906,12,16
1601230819,24,10
1601232756,13,17
1601234676,11,18
1601236572,13,17
1601238514,16,31
1601240475,12,17
1601242363,73,13
1601244333,25,15
1601246194,18,24
1601248368,13,11
1601250267,15,13
1601252204,15,9
1601254331,14,11
1601256253,20,11
1601258331,19,24
1601260353,14,9
1601262255,9,20
1601264170,14,12
1601266133,12,11
1601268016,17,19
1601269931,20,19
1601271899,20,15
1601273771,20,9
1601275690,7,15
1601277636,18,15
1601279552,7,22
1601281454,12,81
1601283398,20,9
1601285294,23,15
1601287432,25,15
1601289393,18,12
1601291337,14,4
1601293241,9,16
1601295178,13,7
1601297071,9,4
1601298985,9,4
