DateTime,AddedIPs,RemovedIPs
1600389384,12,4
1600391368,10,9
1600393215,5,13
1600395153,14,14
1600397082,11,18
1600398980,14,42
1600400916,6,27
1600402839,6,26
1600404732,10,24
1600406654,8,20
1600408607,24,9
1600410490,26,12
1600412536,15,10
1600414359,15,23
1600416254,11,28
1600418171,13,10
1600420121,13,14
1600422016,5,10
1600424178,1,16
1600426092,4,16
1600428012,7,10
1600429953,7,9
1600431881,12,10
1600433784,16,13
1600435938,17,14
1600437854,17,13
1600439800,20,12
1600441705,13,11
1600443611,19,8
1600445558,16,7
1600447452,10,11
1600449372,13,8
1600451319,21,9
1600453230,21,3
1600455131,19,5
1600457079,14,2
1600458983,15,4
1600460917,16,6
1600462877,14,12
1600464737,18,3
1600466713,11,5
1600468595,32,5
1600470498,12,11
1600472305,20,5
1600474355,13,12
1600476277,16,8
1600478220,16,7
1600480103,11,9
1600482027,13,14
1600484021,13,16
1600485875,18,10
1600487795,15,9
1600489731,9,7
1600492595,21,10
1600494497,25,21
1600496411,9,28
1600498330,17,10
1600500339,16,166
1600502174,153,10
1600504366,16,19
1600507478,17,20
1600509373,13,3
1600511539,13,1
1600513488,16,2
1600515403,11,7
1600517387,8,9
1600519282,7,5
1600521135,8,10
1600523053,7,12
1600525247,3,20
1600527133,12,9
1600529274,11,9
1600532169,12,21
1600534094,21,7
1600536007,12,14
1600537943,12,16
1600539850,17,14
1600541846,21,13
1600543688,9,11
1600545655,11,14
1600547557,17,17
1600549483,21,12
1600551368,10,11
1600553562,15,11
1600555457,8,16
1600557372,14,13
1600559462,20,15
1600561477,15,17
1600563369,26,14
1600565313,5,15
1600567305,16,8
1600569135,15,12
1600571084,16,8
1600572972,20,11
1600574889,22,12
1600576839,12,13
1600578739,14,13
1600580648,16,21
1600582634,17,7
1600584490,17,14
1600586433,17,15
1600588328,14,11
1600590277,9,9
1600592173,14,10
1600594088,14,9
1600597221,18,19
1600599138,8,7
1600601082,11,15
1600602978,11,7
1600604900,8,7
1600607003,10,9
1600608974,12,11
1600611140,14,6
1600613059,3,9
1600615000,14,12
1600616899,11,7
1600618811,9,8
1600620760,6,15
1600622651,7,12
1600624604,10,22
1600626588,11,17
1600629400,13,26
1600631292,10,16
1600633210,12,13
1600635179,2,21
1600637071,7,9
1600638993,9,10
1600640944,7,11
1600642899,10,16
1600644754,10,17
1600647104,6,15
1600649078,14,17
1600650969,5,9
1600652888,10,9
1600654955,10,21
1600657014,6,20
1600658956,8,21
1600660866,7,18
1600662773,12,10
1600664672,8,19
1600666607,15,14
1600668526,7,14
1600670422,20,21
1600672376,8,14
1600674273,15,13
1600676211,7,18
1600678107,13,15
1600680106,7,16
1600681956,14,15
1600683855,14,10
1600685786,10,11
1600687692,11,14
1600689705,9,13
1600691559,18,8
1600693499,16,7
1600695397,17,13
1600697569,13,18
1600701262,32,24
1600703313,21,13
1600705213,13,7
1600707149,19,5
1600709104,15,10
1600711057,14,8
1600712891,11,11
1600714959,16,12
1600716787,13,7
1600718694,9,9
1600720605,12,11
1600722532,14,5
1600724413,13,4
1600726442,16,10
1600728280,13,5
1600730257,5,12
1600732092,5,3
1600734082,9,11
1600735959,15,10
1600737883,5,11
1600739880,24,8
1600742917,27,16
1600744834,12,7
1600746761,23,4
1600748680,15,7
1600750644,9,8
1600752533,12,12
1600755399,17,18
1600757295,7,11
1600759219,7,20
1600761157,18,12
1600763056,7,10
1600764985,8,8
1600766920,2,6
1600769823,11,20
1600771696,17,10
1600773885,12,4
1600775815,13,11
1600777736,12,18
1600780578,19,24
1600782511,11,13
1600784444,10,16
1600786355,11,17
1600788300,8,17
1600790273,10,19
1600792090,9,9
1600794145,10,16
1600796192,9,13
1600798362,110,13
1600800262,86,16
1600802199,53,12
1600804090,31,14
1600806035,49,14
1600807965,37,12
1600810092,37,14
1600812039,9,12
1600813987,9,12
1600815851,8,6
1600817771,4,12
1600819719,17,4
1600821734,5,11
1600823773,6,10
1600825685,5,11
1600827631,1,22
1600829550,5,14
1600831453,8,14
1600833397,12,21
1600835303,115,19
1600838166,167,14
1600840113,60,12
1600842011,53,11
1600843927,50,7
1600845877,36,216
1600847815,241,9
1600849688,35,9
1600851664,44,10
1600853529,42,3
1600855503,45,3
1600857371,31,16
1600859332,29,10
1600862253,55,16
1600864114,44,11
1600867005,46,15
1600868917,16,6
1600870810,9,7
1600872734,10,15
1600874664,9,7
1600876627,13,7
1600878516,7,8
1600880454,8,10
1600882329,10,7
1600884278,11,32
1600886175,6,61
1600888121,14,35
1600890015,35,39
1600891974,31,27
1600893881,13,45
1600895775,41,58
1600897692,29,9
1600900656,194,14
1600902555,46,5
1600904421,36,8
1600906371,42,11
1600908292,24,3
1600910173,6,6
1600912118,8,5
1600914017,11,2
1600915936,8,7
1600917880,5,11
1600919833,10,7
1600921693,8,26
1600923751,9,72
1600925793,7,65
1600927701,5,46
1600929614,5,64
1600931559,7,53
1600933460,6,48
1600935371,8,54
1600937318,4,66
1600939212,8,59
1600941135,9,72
1600943082,5,63
1600944978,7,14
1600946910,5,58
1600948992,9,51
1600950993,7,71
1600952898,8,73
1600954813,6,17
1600957047,58,16
1600958892,79,8
1600960835,27,9
1600962735,3,14
1600964667,58,6
1600966598,14,9
1600968493,48,8
