DateTime,AddedIPs,RemovedIPs
1599758667,0,2
1599760776,1,0
1599762762,0,1
1599764684,1,0
1599766570,2,1
1599770428,1,0
1599772348,1,1
1599776171,1,0
1599781932,0,1
1599785818,0,2
1599787691,0,1
1599793456,0,1
1599801162,1,1
1599804995,1,0
1599809052,1,0
1599812891,1,1
1599814888,2,0
1599819643,0,3
1599823464,1,0
1599825403,1,0
1599829311,0,2
1599831159,0,1
1599833108,1,1
1599835006,0,1
1599836912,0,1
1599838849,1,0
1599840989,1,1
1599842918,1,1
1599844809,1,0
1599846736,2,1
1599850571,0,1
1599852492,2,1
1599854492,0,1
1599858320,0,2
1599862334,0,1
1599864276,2,0
1599866189,2,0
1599871941,1,0
1599881582,1,0
1599885371,1,0
1599887333,1,1
1599891170,3,1
1599895234,2,1
1599897132,1,0
1599899084,1,1
1599900988,1,2
1599904887,1,0
1599908673,1,0
1599910599,1,2
1599914410,1,0
1599916365,1,0
1599918252,2,0
1599920192,0,1
1599922121,2,0
1599924033,2,1
1599926888,1,0
1599928808,0,2
1599930756,0,1
1599932672,0,2
1599936515,1,0
1599938426,0,2
1599940575,1,0
1599947812,1,0
1599951729,1,3
1599953535,0,1
1599957456,0,1
1599963178,2,0
1599967115,1,0
1599968932,0,1
1599972800,0,1
1599974662,0,1
1599976583,0,2
1599978659,1,1
1599980605,2,2
1599984762,2,1
1599986656,0,2
1599990534,0,1
1599992442,1,0
1599994343,1,1
1599996299,0,1
1599998232,1,0
1600000119,1,0
1600002193,2,2
1600004167,0,1
1600006157,1,1
1600008012,0,2
1600009931,0,1
1600011876,2,2
1600014037,1,0
1600023631,1,1
1600025558,1,0
1600027738,0,1
1600031565,1,0
1600033477,0,1
1600035386,1,0
1600039232,2,1
1600048890,0,1
1600050732,0,1
1600052732,2,0
1600054604,1,1
1600062275,2,0
1600064173,1,0
1600066087,1,2
1600068035,0,1
1600072017,1,2
1600078200,0,1
1600080049,0,1
1600083858,0,1
1600085782,0,1
1600087690,1,0
1600089623,0,2
1600091543,2,1
1600097537,1,0
1600099477,1,3
1600104319,1,0
1600110110,0,1
1600111939,0,1
1600115799,1,0
1600117721,0,1
1600121769,0,1
1600125654,0,2
1600129490,1,0
1600131411,1,0
1600139288,1,2
1600141476,0,1
1600143425,1,0
1600147244,2,0
1600149177,0,3
1600153024,1,1
1600154903,1,0
1600158797,1,1
1600166488,1,0
1600174159,0,1
1600177972,0,2
1600179911,1,0
1600183716,0,1
1600186808,0,1
1600188734,1,0
1600190672,0,1
1600198374,2,0
1600200275,1,0
1600202207,1,1
1600206014,1,0
1600215638,1,1
1600217528,1,0
1600219452,0,1
1600221398,1,0
1600225459,0,1
1600227386,1,0
1600229357,0,1
1600233169,1,2
1600236978,2,0
1600238918,1,0
1600240856,0,1
1600242729,1,0
1600244703,2,2
1600246572,2,0
1600248517,1,0
1600252363,1,0
1600254251,1,1
1600262890,1,0
1600266028,1,1
1600269846,2,0
1600275633,1,1
1600283289,1,1
1600285240,2,1
1600287374,0,1
1600289300,0,1
1600291211,1,0
1600293129,0,1
1600301805,2,0
1600303696,0,2
1600307558,0,1
1600313585,1,1
1600317375,1,0
1600320254,1,1
1600322201,0,1
1600324097,1,1
1600326116,1,1
1600329855,1,1
1600331773,1,4
1600333779,1,1
1600335612,1,0
1600339455,0,1
1600341373,0,1
1600345211,2,0
1600347131,1,0
1600349082,1,1
1600351010,6,1
1600354942,0,1
1600356762,0,1
1600362540,1,1
1600368296,0,1
1600370210,0,1
1600372108,0,1
1600377875,1,1
1600385533,1,0
1600387527,0,2
1600395153,1,0
1600397083,1,0
1600400916,1,1
1600402839,0,1
1600404733,0,1
1600406654,1,0
1600410491,1,1
1600412566,0,1
1600414567,0,1
1600416517,1,0
1600418416,1,1
1600420329,0,1
1600422277,1,1
1600424178,1,0
1600426093,1,0
1600431882,2,2
1600433785,1,1
1600435939,0,2
1600437855,0,5
1600439801,1,0
1600445559,1,0
1600449372,0,1
1600453231,2,0
1600458985,1,0
1600460917,1,0
1600462896,1,0
1600464737,0,1
1600466721,1,0
1600468596,1,0
1600470499,3,1
1600482028,1,1
1600485875,1,0
1600487796,0,2
1600489732,1,0
1600492595,2,0
1600494497,1,1
1600498330,1,1
1600500340,1,0
1600502179,1,1
1600504366,0,1
1600509374,1,1
1600511540,1,1
1600513495,0,1
1600515403,2,0
1600519287,1,3
1600525247,0,1
1600530270,1,0
1600532170,1,1
1600537944,1,0
1600539850,0,2
1600541848,1,0
1600545677,0,2
1600549485,0,1
1600553563,0,1
1600555457,0,2
1600557372,1,2
1600559464,1,0
1600561478,1,0
1600563370,1,0
1600565314,1,0
1600567329,1,0
1600569136,0,1
1600571084,0,1
1600574890,1,0
1600576840,0,2
1600578740,1,1
1600580649,2,1
1600582635,1,0
1600584491,0,1
1600586434,0,1
1600588330,1,1
1600590277,1,0
1600592174,1,0
1600594089,0,1
1600597926,1,1
1600601795,1,2
1600606591,0,1
1600610479,1,0
1600612342,1,0
1600614296,2,0
1600616185,1,1
1600620096,0,1
1600623871,1,1
1600627714,0,1
1600629640,3,0
1600631558,1,0
1600633461,1,0
1600635408,1,0
1600637344,1,0
1600639245,1,0
1600643327,0,1
1600645209,0,1
1600647105,3,1
1600649078,0,1
1600652889,1,2
1600657015,3,0
1600661830,1,1
1600665642,0,2
1600667528,0,2
1600675282,1,1
1600677153,2,1
1600679236,0,1
1600683151,0,1
1600685049,2,0
1600687242,0,1
1600691048,1,0
1600697806,2,1
1600701262,0,3
1600703314,2,1
1600705214,1,0
1600707149,1,0
1600709113,1,1
1600714971,0,1
1600716788,0,2
1600718695,1,1
1600720607,1,2
1600724414,0,1
1600726468,0,1
1600732092,0,1
1600734083,0,2
1600739882,0,1
1600743729,0,3
1600745559,1,0
1600747621,1,1
1600753454,1,0
1600757296,1,0
1600761171,1,1
1600763057,0,1
1600764989,0,1
1600766921,1,0
1600769824,0,1
1600771697,1,1
1600777737,0,1
1600780579,1,0
1600782511,0,1
1600784446,2,1
1600790274,1,2
1600792091,0,1
1600794158,1,2
1600796193,1,0
1600802200,1,0
1600804091,0,1
1600806036,1,0
1600807966,0,1
1600823773,1,0
1600825686,2,0
1600831453,0,1
1600833397,0,1
1600838167,1,0
1600840114,0,1
1600843928,0,1
1600847819,3,1
1600852644,0,1
1600854488,1,0
1600858357,0,1
1600863059,1,0
1600867006,0,1
1600870810,0,2
1600874665,1,0
1600876630,0,1
1600881400,0,2
1600883307,3,0
1600889055,0,1
1600891014,0,1
1600892893,1,0
1600898721,1,0
1600910174,2,1
1600912119,1,2
1600914018,1,0
1600921694,1,0
1600923792,1,0
1600925794,0,1
1600933461,0,2
1600935372,1,1
1600941136,0,1
1600944980,1,0
1600950993,1,1
1600952898,1,0
1600958893,1,0
1600960836,0,1
1600962736,1,0
1600968494,0,1
1600970544,2,2
1600974352,1,0
1600976197,1,0
1600980035,1,1
1600983861,1,0
1600985781,0,1
1600995806,1,1
1600997768,0,1
1600999937,0,2
1601003794,2,0
1601005689,1,0
1601009541,0,2
1601013418,1,0
1601017350,1,0
1601021166,0,1
1601022996,1,0
1601030695,0,1
1601040277,0,2
1601044389,1,1
1601046298,1,0
1601050124,1,1
1601053989,1,0
1601055976,1,2
1601057785,1,0
1601059717,0,1
1601061635,0,1
1601065452,0,1
1601069304,1,1
1601071349,1,0
1601073395,1,0
1601079154,1,0
1601081069,0,1
1601084908,1,0
1601090668,0,3
1601092665,1,0
1601096568,1,0
1601098568,1,1
1601100519,1,0
1601102412,0,1
1601104329,1,0
1601108169,0,1
1601112036,1,0
1601121671,1,0
1601127413,1,0
1601131499,0,1
1601133393,0,1
1601135292,3,1
1601137261,1,0
1601139153,1,0
1601141051,2,1
1601142995,0,1
1601144888,0,1
1601146839,2,0
1601154517,0,1
1601156413,0,1
1601158328,1,0
1601160282,0,1
1601166034,1,1
1601167929,2,0
1601171796,0,1
1601175709,1,0
1601177531,2,0
1601179500,2,1
1601181619,0,1
1601183536,0,1
1601185481,0,1
1601187369,2,0
1601189294,1,0
1601191254,0,1
1601196970,1,0
1601199138,1,1
1601203014,1,0
1601208757,0,1
1601212580,1,0
1601214519,0,1
1601216412,1,0
1601218355,2,0
1601220254,0,2
1601222191,2,1
1601224115,2,1
1601227001,0,1
1601228907,0,2
1601232757,0,1
1601234677,0,1
1601236574,1,0
1601245473,0,1
1601247368,1,0
1601253482,0,3
1601259131,1,0
1601261076,1,0
1601262971,0,2
1601264888,0,2
1601266830,0,1
1601272610,0,1
1601274515,0,1
1601277637,0,1
1601279553,1,0
1601283399,0,1
1601285295,0,1
1601289395,0,1
1601291338,1,0
1601293242,1,0
1601297071,1,0
1601298986,0,1
1601302835,0,1
1601304760,0,2
1601308618,0,2
1601310528,1,2
1601322014,0,1
1601323968,2,0
1601331609,1,0
1601333551,1,1
1601341432,1,0
1601343445,1,0
1601345677,0,1
1601347776,1,1
1601349609,1,0
1601366171,0,1
1601372891,1,0
1601374857,1,0
