DateTime,AddedIPs,RemovedIPs
1598816649,1,1
1598822413,0,1
1598845749,3,0
1598882244,0,1
1598891789,0,1
1598893696,0,3
1598895640,1,0
1598899481,1,0
1598901732,1,0
1598905456,1,0
1598907258,0,1
1598913192,1,0
1598915064,3,0
1598932397,0,3
1598936175,1,0
1598946339,4,0
1598948208,1,0
1598956106,3,0
1598965178,1,0
1598988538,0,1
1598991635,0,2
1598993532,1,0
1598995501,3,1
1598999321,1,1
1599002492,0,2
1599018008,2,0
1599033423,0,4
1599073694,3,0
1599079456,0,1
1599081370,0,1
1599083334,3,8
1599085210,0,1
1599100844,1,0
1599104652,3,2
1599110413,0,1
1599134684,1,0
1599157693,1,0
1599159728,0,1
1599165402,1,0
1599169215,0,1
1599171163,0,1
1599173055,0,3
1599182894,1,0
1599186806,1,0
1599188683,0,1
1599190577,0,3
1599196584,1,0
1599219893,1,0
1599221792,0,1
1599244839,0,1
1599250582,0,1
1599269782,0,1
1599273644,0,1
1599306503,0,1
1599321859,3,0
1599369885,0,1
1599387372,1,0
1599396976,3,0
1599402730,3,0
1599408496,0,2
1599418645,0,1
1599473812,3,0
1599483418,0,1
1599487485,1,0
1599489377,0,2
1599506892,0,1
1599524203,1,0
1599526211,2,0
1599531897,1,0
1599541693,0,3
1599543621,2,0
1599551318,1,0
1599558973,1,3
1599564764,1,0
1599568815,1,0
1599574578,1,1
1599588258,1,0
1599590197,1,0
1599597854,1,0
1599599804,3,0
1599611353,0,2
1599618973,0,1
1599626659,2,0
1599630516,0,1
1599638187,1,0
1599645888,0,1
1599651622,0,1
1599655485,0,1
1599659537,2,1
1599663404,0,1
1599679005,0,1
1599684742,0,1
1599686568,0,3
1599688605,0,2
1599711857,1,0
1599713772,0,2
1599724610,0,1
1599729436,1,0
1599738055,1,0
1599741880,1,0
1599745701,0,2
1599756778,14,0
1599764684,1,0
1599774284,1,0
1599793457,1,0
1599797321,1,1
1599816769,0,1
1599825404,0,1
1599827298,1,0
1599829320,0,1
1599838849,3,0
1599842919,0,14
1599850572,0,1
1599854498,1,0
1599860226,0,1
1599873854,0,1
1599883478,1,2
1599891170,1,0
1599914411,0,1
1599926888,0,3
1599928809,1,0
1599942491,0,1
1599949693,1,0
1599955690,1,0
1599957852,4,0
1599963611,1,0
1599969640,0,1
1599975372,1,0
1599977294,0,1
1599983293,1,0
1600000865,2,0
1600017372,0,1
1600021466,1,0
1600025292,1,0
1600036819,0,1
1600042573,0,4
1600044520,0,1
1600046415,3,0
1600048348,0,1
1600062009,0,1
1600069930,0,1
1600083859,2,0
1600085782,1,2
1600095383,1,0
1600110128,0,1
1600111939,1,1
1600115800,3,0
1600133292,0,3
1600170292,0,2
1600172225,0,1
1600181807,1,1
1600183717,3,0
1600201496,0,3
1600212519,1,0
1600222577,1,0
1600234130,1,0
1600258879,1,0
1600268727,1,1
1600270674,0,3
1600278276,2,0
1600295554,1,0
1600297672,0,1
1600299637,1,0
1600306330,1,0
1600308406,1,0
