DateTime,AddedIPs,RemovedIPs
1600247338,1,0
1600249263,1,0
1600251194,2,2
1600253134,3,0
1600255069,2,1
1600256971,1,2
1600258880,6,0
1600260767,4,0
1600262707,1,2
1600264621,1,1
1600266767,1,4
1600268728,1,0
1600270676,2,2
1600272564,2,1
1600274480,2,0
1600276390,2,0
1600280236,1,3
1600282122,1,2
1600284053,3,6
1600286001,1,0
1600289859,1,0
1600291727,4,1
1600294811,2,4
1600296756,1,0
1600298659,1,1
1600300570,3,0
1600302517,1,1
1600306331,4,0
1600308411,3,1
1600310448,2,1
1600316211,1,1
1600318332,1,2
1600320255,0,1
1600322202,1,0
1600324098,2,3
1600326133,3,0
1600327992,1,0
1600331775,2,1
1600333782,3,0
1600335614,0,1
1600337569,1,6
1600339456,2,2
1600341374,4,3
1600343320,3,1
1600345213,1,4
1600347134,1,3
1600349083,1,0
1600351015,2,1
1600352927,1,1
1600354957,0,1
1600356763,2,0
1600358663,2,3
1600360601,0,2
1600362543,0,1
1600366341,0,1
1600368297,0,10
1600370211,2,3
1600372109,2,1
1600374108,2,0
1600375988,0,1
1600377877,3,4
1600379833,3,2
1600381692,3,1
1600384989,4,2
1600386967,2,3
1600388913,4,1
1600390856,2,0
1600392759,0,4
1600394665,1,3
1600396607,0,2
1600398527,1,0
1600402334,3,0
1600406176,3,2
1600408089,1,1
1600410038,4,2
1600411932,1,2
1600413869,2,2
1600415832,1,0
1600417692,3,2
1600420571,2,3
1600422491,1,0
1600424434,2,1
1600426330,0,3
1600428275,2,3
1600430170,0,2
1600432089,2,1
1600434070,1,1
1600435940,0,1
1600437856,2,2
1600439802,1,1
1600441706,0,1
1600443612,2,2
1600445560,1,1
1600447453,4,0
1600457084,2,3
1600458986,2,1
1600460919,3,3
1600464993,4,4
1600466890,3,4
1600468807,1,2
1600470760,2,3
1600472702,1,1
1600474649,1,4
1600476516,0,2
1600478408,2,1
1600482269,1,0
1600484174,1,0
1600486124,1,1
1600488971,1,3
1600492849,0,2
1600494767,1,2
1600496688,1,4
1600498570,3,1
1600500754,2,3
1600502655,2,0
1600504616,0,3
1600506557,4,2
1600508411,2,1
1600510358,0,1
1600512252,1,1
1600514418,1,1
1600516332,2,1
1600518257,3,2
1600520207,0,1
1600522120,2,0
1600525248,1,2
1600527135,0,1
1600529482,0,2
1600531456,2,0
1600533367,2,3
1600535309,2,2
1600537209,1,0
1600539180,1,0
1600542990,0,2
1600544923,1,2
1600548743,4,2
1600550679,3,2
1600552628,2,6
1600554507,2,1
1600557373,2,3
1600559465,0,1
1600561480,1,1
1600565315,1,2
1600567378,0,1
1600571297,1,1
1600573236,0,2
1600575130,2,0
1600580890,0,1
1600582810,3,0
1600584754,0,3
1600586667,2,1
1600588598,0,4
1600592482,0,3
1600594330,1,0
1600596251,1,2
1600598196,1,1
1600602007,1,3
1600603957,2,3
1600605862,1,0
1600607813,0,2
1600609688,3,1
1600611608,2,0
1600615452,1,0
1600619314,0,4
1600621272,2,0
1600623126,0,2
1600625075,3,1
1600626977,1,1
1600628898,1,0
1600630838,0,1
1600634896,1,3
1600636810,0,3
1600638759,0,3
1600640701,1,2
1600642605,0,2
1600644490,1,0
1600646522,1,0
1600648358,0,1
1600650252,0,1
1600652171,1,0
1600654119,1,0
1600656260,1,1
1600658082,0,1
1600661831,0,2
1600665644,5,0
1600667529,1,0
1600669529,1,3
1600671409,1,0
1600673309,2,2
1600677156,1,0
1600681232,0,1
1600683184,0,1
1600685075,0,1
1600687243,1,0
1600689147,1,1
1600691049,2,2
1600693012,3,1
1600694912,1,1
1600696874,2,3
1600698728,3,1
1600700704,1,0
1600702593,0,1
1600704550,2,0
1600706414,2,0
1600708354,2,2
1600710373,3,3
1600712441,2,0
1600714330,6,2
1600718244,4,0
1600720087,1,0
1600722976,2,1
1600724890,1,0
1600726842,2,0
1600730657,0,1
1600732595,3,1
1600738356,2,1
1600740271,0,1
1600742206,0,1
1600744170,1,0
1600746087,1,0
1600751805,1,3
1600753712,2,3
1600755700,2,0
1600757633,2,2
1600759450,0,2
1600761370,2,0
1600763315,2,0
1600765250,0,1
1600767133,2,0
1600769107,2,0
1600770968,3,0
1600772921,0,1
1600776738,1,3
1600778652,2,2
1600780580,0,2
1600782512,1,0
1600784447,0,2
1600786357,1,3
1600788302,2,1
1600790275,0,1
1600792092,1,2
1600794207,2,3
1600796194,1,2
1600798364,0,2
1600800264,2,4
1600802201,0,2
1600804091,0,1
1600806037,0,2
1600807967,1,6
1600810094,4,1
1600812097,2,1
1600813988,0,1
1600817772,1,3
1600819722,1,0
1600823774,0,1
1600825687,1,1
1600829552,1,0
1600831454,1,1
1600833398,0,1
1600835323,1,0
1600838168,0,1
1600840115,2,2
1600842013,2,2
1600843930,3,2
1600845878,1,0
1600847828,4,2
1600849689,1,2
1600851676,2,0
1600853530,0,2
1600855548,2,2
1600857373,6,2
1600859335,2,0
1600862282,2,0
1600864122,1,2
1600866081,2,1
1600867963,0,1
1600871819,2,1
1600873806,0,1
1600875642,2,1
1600879456,2,3
1600881401,1,0
1600883308,2,1
1600885214,1,0
1600887160,1,1
1600892894,1,0
1600896039,0,2
1600897959,1,3
1600900169,1,1
1600903000,1,1
1600906812,1,0
1600908751,1,0
1600914507,1,0
1600916488,0,1
1600918363,0,1
1600920276,1,2
1600922253,2,0
1600926042,0,2
1600927970,2,0
1600929887,2,5
1600931802,2,0
1600933738,0,2
1600935675,0,1
1600939482,0,2
1600941392,5,2
1600943308,0,5
1600945327,3,2
1600947184,1,2
1600949034,0,4
1600950994,0,1
1600952899,2,2
1600954815,2,0
1600957052,0,1
1600958894,1,1
1600960837,2,1
1600962737,2,0
1600964668,0,2
1600966599,0,1
1600968495,0,2
1600970559,0,1
1600972365,0,1
1600974368,0,1
1600978115,2,0
1600980036,1,1
1600981979,1,4
1600983862,1,1
1600985782,1,1
1600987727,1,0
1600989610,1,1
1600991784,1,0
1600993693,0,1
1600995891,1,1
1600999939,0,1
1601001879,1,0
1601003795,2,0
1601005690,0,1
1601007640,0,1
1601009542,2,0
1601013419,1,1
1601015306,1,2
1601017392,1,2
1601019215,1,1
1601022998,1,0
1601026812,1,0
1601028801,2,4
1601030696,1,3
1601032614,3,0
1601034516,6,2
1601036485,2,0
1601038381,2,1
1601040278,2,3
1601042257,2,0
1601046341,1,2
1601048213,0,2
1601050126,0,1
1601055982,1,0
1601057786,2,0
1601059718,2,0
1601061636,1,0
1601063530,1,1
1601065453,0,1
1601067396,1,2
1601069305,2,0
1601071400,1,1
1601073396,2,2
1601075292,0,1
1601077213,1,1
1601079155,0,1
1601081070,1,0
1601083004,0,1
1601086850,1,0
1601088739,2,2
1601090669,1,1
1601092666,1,0
1601094533,1,1
1601096569,1,1
1601098569,0,1
1601102413,1,2
1601104330,2,0
1601106278,5,1
1601108170,1,0
1601110098,0,1
1601112037,0,1
1601113928,2,0
1601115855,2,3
1601117835,1,1
1601119727,0,2
1601121727,0,8
