DateTime,AddedIPs,RemovedIPs
1600089624,3,0
1600091544,1,0
1600093493,1,3
1600095384,2,2
1600097538,1,0
1600099477,0,1
1600101404,0,1
1600104321,0,1
1600106198,1,2
1600108094,4,0
1600110140,0,2
1600111940,1,1
1600113886,2,0
1600115800,0,1
1600117722,2,1
1600119855,0,1
1600121770,0,1
1600123721,1,0
1600125655,1,0
1600127556,1,0
1600129491,1,0
1600131414,1,1
1600133292,0,1
1600137395,0,2
1600141479,1,0
1600143426,2,0
1600145311,1,1
1600147245,1,12
1600149178,2,0
1600151065,1,2
1600153026,1,1
1600154904,1,1
1600156925,2,2
1600158797,1,0
1600160852,0,1
1600163059,2,1
1600164971,0,1
1600166922,1,3
1600168815,1,0
1600170739,4,1
1600172679,2,1
1600174601,1,0
1600176487,12,0
1600178484,0,2
1600180331,2,1
1600182301,0,2
1600184215,1,1
1600188008,1,0
1600190202,4,0
1600194099,2,4
1600197854,2,1
1600199796,4,2
1600201694,1,0
1600203685,0,1
1600205542,2,1
1600209400,1,0
1600211571,0,1
1600215380,2,0
1600217288,2,1
1600219233,1,1
1600223052,1,0
1600225003,1,0
1600226923,1,1
1600229769,3,1
1600231687,0,1
1600233637,1,1
1600235542,1,2
1600237498,0,1
1600239367,0,1
1600241531,1,2
1600243451,0,1
1600245400,0,2
1600249263,1,1
1600251193,1,1
1600253134,1,0
1600255068,0,2
1600256971,0,4
1600258880,2,2
1600260758,2,1
1600262707,1,1
1600266767,0,12
1600270675,2,0
1600272563,2,0
1600274479,2,2
1600276390,2,3
1600278276,2,0
1600280235,1,2
1600284053,0,1
1600286001,3,1
1600287874,2,2
1600289858,2,1
1600291727,1,3
1600293760,2,0
1600295786,3,2
1600299637,14,0
1600302517,0,3
1600304478,0,2
1600308409,2,0
1600310448,0,1
1600312332,1,1
1600314283,0,2
1600316211,1,0
1600320255,1,1
1600322202,1,1
1600324098,3,0
1600327991,0,1
1600329857,1,0
1600331774,1,0
1600333781,1,1
1600335613,0,1
1600337568,2,3
1600339456,0,1
1600345213,1,1
1600347134,0,2
1600351014,0,1
1600352927,0,1
1600354953,0,1
1600356763,0,2
1600360600,1,1
1600362543,0,1
1600364484,0,2
1600366340,1,1
1600368296,0,4
1600370210,1,0
1600372108,1,2
1600374108,2,1
1600375988,0,1
1600379833,1,2
1600381692,1,3
1600385768,1,14
1600393687,0,2
1600395635,1,0
1600397532,0,1
1600401399,1,1
1600406175,1,1
1600408089,0,1
1600410038,1,1
1600413868,1,0
1600415832,1,0
1600417691,0,1
1600420571,13,1
1600422491,3,0
1600424434,0,2
1600426330,0,1
1600430168,1,1
1600432089,1,3
1600434988,4,0
1600440732,3,0
1600446488,1,1
1600449373,1,0
1600451321,2,0
1600453232,0,2
1600455133,0,1
1600457084,1,2
1600458985,1,0
1600460918,1,1
1600466889,0,1
1600468807,1,1
1600470759,1,1
1600476489,1,0
1600482267,2,1
1600484172,3,0
1600488970,1,1
1600492848,0,1
1600494740,0,1
1600498570,1,0
1600500753,3,0
1600502655,0,1
1600506550,1,0
1600508411,3,15
1600512251,1,0
1600516331,2,2
1600518257,2,0
1600520206,0,2
1600522120,0,1
1600525247,0,1
1600527134,1,1
1600529447,1,1
1600531276,1,0
1600533156,0,1
1600535308,0,2
1600537209,2,1
1600541092,1,1
1600542990,2,0
1600544923,0,2
1600546854,0,1
1600550678,1,0
1600552628,1,1
1600554507,1,1
1600557373,0,3
1600559465,1,0
1600563371,1,1
1600567363,1,1
1600569395,0,2
1600571297,2,2
1600573235,3,0
1600575129,2,0
1600577048,0,1
1600584754,0,1
1600586667,0,1
1600588597,1,1
1600590488,0,1
1600592472,1,1
1600594329,0,1
1600596250,1,1
1600598196,0,1
1600602006,1,0
1600603956,0,1
1600605861,2,2
1600607812,1,0
1600609688,0,1
1600611608,1,0
1600613554,0,2
1600615451,0,4
1600617370,0,1
1600621262,1,0
1600623126,1,1
1600625075,3,0
1600626977,1,0
1600628898,0,1
1600630838,0,2
1600632731,3,0
1600634895,1,0
1600638758,2,0
1600640700,2,1
1600646498,0,2
1600650251,1,2
1600652170,1,3
1600654118,0,2
1600656260,1,0
1600658082,0,3
1600659904,0,2
1600661831,0,3
1600663714,1,0
1600665643,1,0
1600667529,1,0
1600675340,0,1
1600677156,0,1
1600681232,3,0
1600683180,0,1
1600687243,0,1
1600693011,0,2
1600696867,0,1
1600700695,1,0
1600702593,1,0
1600706413,0,1
1600710372,1,1
1600712440,1,4
1600714330,3,1
1600716248,2,0
1600718243,2,1
1600720086,0,1
1600722040,1,0
1600723965,1,0
1600725851,1,1
1600727770,3,1
1600729717,1,0
1600731608,1,0
1600737372,0,1
1600739289,1,1
1600741250,3,0
1600743155,1,5
1600747031,0,1
1600748888,2,0
1600750884,1,0
1600752728,1,2
1600754723,1,0
1600756583,0,1
1600760455,1,0
1600764272,0,1
1600766216,0,2
1600768106,0,2
1600770047,2,0
1600775817,1,0
1600779682,3,0
1600781596,1,0
1600783577,1,0
1600787375,0,1
1600789217,2,1
1600791184,2,0
1600793077,2,0
1600796995,0,1
1600798953,0,1
1600800793,1,1
1600802685,0,1
1600806579,1,0
1600809637,1,3
1600811528,2,2
1600813449,1,2
1600815401,2,1
1600817287,0,2
1600819234,1,1
1600825206,1,1
1600827132,0,1
1600829074,1,3
1600830972,1,0
1600834837,2,0
1600836733,0,2
1600842547,1,0
1600845387,3,3
1600847346,1,0
1600856934,0,1
1600858971,1,0
1600862278,2,1
1600864121,1,0
1600866073,1,3
1600867963,1,1
1600869958,0,1
1600871819,2,1
1600873804,1,0
1600875641,2,2
1600877548,0,1
1600879456,1,1
1600881401,1,0
1600883307,1,0
1600885214,1,0
1600887159,3,2
1600889057,1,0
1600891015,1,0
1600892894,0,1
1600894902,1,1
1600898724,0,1
1600900657,0,1
1600902556,0,1
1600904422,0,2
1600912120,1,0
1600914019,0,1
1600915937,1,2
1600917881,0,1
1600919837,0,1
1600923809,1,0
1600925795,1,0
1600927703,0,2
1600929616,0,1
1600933461,0,2
