DateTime,Entries,UniqueIPs
1600089624,73,73
1600091544,74,74
1600093493,72,72
1600095384,72,72
1600097538,73,73
1600099477,72,72
1600101404,71,71
1600104321,70,70
1600106198,69,69
1600108094,73,73
1600110140,71,71
1600111940,71,71
1600113886,73,73
1600115800,72,72
1600117722,73,73
1600119855,72,72
1600121770,71,71
1600123721,72,72
1600125655,73,73
1600127556,74,74
1600129491,75,75
1600131414,75,75
1600133292,74,74
1600137395,72,72
1600141479,73,73
1600143426,75,75
1600145311,75,75
1600147245,64,64
1600149178,66,66
1600151065,65,65
1600153026,65,65
1600154904,65,65
1600156925,65,65
1600158797,66,66
1600160852,65,65
1600163059,66,66
1600164971,65,65
1600166922,63,63
1600168815,64,64
1600170739,67,67
1600172679,68,68
1600174601,69,69
1600176487,81,81
1600178484,79,79
1600180331,80,80
1600182301,78,78
1600184215,78,78
1600188008,79,79
1600190202,83,83
1600194099,81,81
1600197854,82,82
1600199796,84,84
1600201694,85,85
1600203685,84,84
1600205542,85,85
1600209400,86,86
1600211571,85,85
1600215380,87,87
1600217288,88,88
1600219233,88,88
1600223052,89,89
1600225003,90,90
1600226923,90,90
1600229769,92,92
1600231687,91,91
1600233637,91,91
1600235542,90,90
1600237498,89,89
1600239367,88,88
1600241531,87,87
1600243451,86,86
1600245400,84,84
1600249263,84,84
1600251193,84,84
1600253134,85,85
1600255068,83,83
1600256971,79,79
1600258880,79,79
1600260758,80,80
1600262707,80,80
1600266767,68,68
1600270675,70,70
1600272563,72,72
1600274479,72,72
1600276390,71,71
1600278276,73,73
1600280235,72,72
1600284053,71,71
1600286001,73,73
1600287874,73,73
1600289858,74,74
1600291727,72,72
1600293760,74,74
1600295786,75,75
1600299637,89,89
1600302517,86,86
1600304478,84,84
1600308409,86,86
1600310448,85,85
1600312332,85,85
1600314283,83,83
1600316211,84,84
1600320255,84,84
1600322202,84,84
1600324098,87,87
1600327991,86,86
1600329857,87,87
1600331774,88,88
1600333781,88,88
1600335613,87,87
1600337568,86,86
1600339456,85,85
1600345213,85,85
1600347134,83,83
1600351014,82,82
1600352927,81,81
1600354953,80,80
1600356763,78,78
1600360600,78,78
1600362543,77,77
1600364484,75,75
1600366340,75,75
1600368296,71,71
1600370210,72,72
1600372108,71,71
1600374108,72,72
1600375988,71,71
1600379833,70,70
1600381692,68,68
1600385768,55,55
1600393687,53,53
1600395635,54,54
1600397532,53,53
1600401399,53,53
1600406175,53,53
1600408089,52,52
1600410038,52,52
1600413868,53,53
1600415832,54,54
1600417691,53,53
1600420571,65,65
1600422491,68,68
1600424434,66,66
1600426330,65,65
1600430168,65,65
1600432089,63,63
1600434988,67,67
1600440732,70,70
1600446488,70,70
1600449373,71,71
1600451321,73,73
1600453232,71,71
1600455133,70,70
1600457084,69,69
1600458985,70,70
1600460918,70,70
1600466889,69,69
1600468807,69,69
1600470759,69,69
1600476489,70,70
1600482267,71,71
1600484172,74,74
1600488970,74,74
1600492848,73,73
1600494740,72,72
1600498570,73,73
1600500753,76,76
1600502655,75,75
1600506550,76,76
1600508411,64,64
1600512251,65,65
1600516331,65,65
1600518257,67,67
1600520206,65,65
1600522120,64,64
1600525247,63,63
1600527134,63,63
1600529447,63,63
