DateTime,AddedIPs,RemovedIPs
1600158798,34,1
1600160892,49,1
1600163060,43,2
1600164972,36,2
1600166923,48,0
1600168816,33,3
1600170740,35,1
1600172680,35,2
1600174605,41,1
1600176488,30,0
1600178554,26,1
1600180595,44,1
1600182492,12,2
1600184410,70,2
1600186358,71,1
1600188250,67,2
1600190203,59,1
1600192098,57,4
1600194101,58,15
1600195935,48,58
1600197855,53,52
1600199823,64,47
1600201695,48,49
1600204828,80,78
1600206731,49,54
1600208675,43,59
1600210494,47,51
1600212520,56,53
1600214595,47,52
1600216568,37,52
1600218523,32,51
1600220467,31,42
1600222578,50,40
1600224528,37,47
1600226440,37,40
1600228349,35,50
1600230300,44,37
1600232239,37,38
1600234131,25,41
1600237245,2,74
1600239151,1,39
1600241134,1,40
1600243010,5,42
1600245147,1,38
1600247338,5,50
1600249264,4,37
1600251195,0,39
1600253135,3,44
1600255070,0,37
1600256971,3,36
1600258881,3,36
1600260767,2,35
1600262708,3,36
1600264621,4,24
1600266768,1,37
1600268731,0,21
1600270676,1,67
1600272565,1,64
1600274480,3,65
1600276391,0,61
1600278277,3,59
1600280236,0,53
1600282123,3,54
1600284054,1,55
1600286002,4,66
1600287875,4,46
1600289859,1,58
1600291728,6,34
1600293771,1,53
1600295786,4,52
1600297673,1,43
1600299638,3,59
1600302518,4,55
1600304529,0,30
1600306331,1,32
1600308412,7,49
1600310449,2,41
1600312333,0,39
1600314284,0,34
1600316212,2,46
1600318333,2,37
1600320256,0,31
1600322203,1,1
1600324100,3,2
1600326136,0,1
1600327992,3,1
1600329858,0,6
1600331775,3,1
1600333784,3,4
1600335615,1,4
1600337570,3,0
1600339457,1,1
1600341375,4,4
1600343321,2,3
1600345214,3,3
1600347135,1,2
1600349083,3,3
1600351017,3,4
1600352928,4,1
1600354964,4,0
1600356993,2,1
1600358919,5,1
1600360808,3,3
1600362729,4,0
1600364678,2,3
1600366566,6,0
1600368736,4,3
1600370649,0,2
1600372609,2,3
1600374490,1,4
1600377374,7,5
1600379289,0,3
1600381211,2,1
1600383129,5,3
1600384990,1,2
1600386968,2,4
1600388914,0,2
1600392759,0,1
1600394667,0,6
1600396610,2,3
1600400410,2,0
1600402335,0,2
1600404280,4,1
1600406176,0,1
1600408105,2,1
1600410039,1,1
1600411933,2,2
1600413870,1,2
1600415833,4,0
1600417693,2,3
1600419659,0,3
1600421557,0,1
1600423741,1,3
1600425608,1,1
1600427572,1,4
1600429454,0,1
1600431371,1,2
1600433316,1,1
1600435207,1,4
1600437130,1,3
1600439076,1,2
1600440967,0,5
1600442892,2,3
1600444897,0,6
1600446729,1,2
1600448662,0,4
1600450601,3,3
1600452548,0,6
