DateTime,AddedIPs,RemovedIPs
1599311808,0,1
1599315668,0,2
1599319513,0,2
1599321398,1,2
1599323306,0,1
1599325352,1,1
1599329164,0,1
1599331072,1,2
1599332922,0,1
1599334862,2,1
1599340617,1,1
1599346458,1,0
1599352138,0,2
1599354149,1,2
1599356008,0,2
1599359818,0,2
1599361717,0,2
1599363617,0,2
1599365587,0,2
1599367455,2,0
1599371322,1,0
1599375135,2,1
1599377090,0,1
1599380897,1,0
1599382965,0,1
1599384769,0,1
1599388607,0,1
1599392419,0,1
1599394366,0,1
1599396258,0,3
1599400123,1,0
1599403936,2,0
1599407776,0,1
1599409723,1,0
1599412883,0,1
1599416668,1,1
1599420522,0,1
1599423375,2,1
1599427212,0,1
1599429130,2,0
1599432979,1,1
1599434919,1,0
1599438814,2,0
1599440811,0,1
1599442899,1,0
1599446682,1,0
1599450493,1,0
1599452437,0,1
1599454632,0,1
1599458556,0,1
1599462257,1,2
1599464194,1,0
1599466132,1,1
1599468025,1,0
1599469972,1,0
1599477620,1,0
1599479542,0,1
1599481487,1,0
1599485609,0,1
1599487490,2,0
1599489380,0,2
1599493247,2,0
1599497326,2,1
1599503058,1,0
1599506894,2,0
1599508938,0,2
1599514600,1,1
1599516507,0,1
1599518413,1,0
1599520367,1,1
1599522311,0,1
1599524205,1,0
1599526251,0,2
1599528277,2,0
1599530173,1,1
1599532094,0,1
1599534125,1,0
1599537773,1,1
1599539827,1,0
1599541695,1,0
1599547453,0,1
1599551321,2,2
1599553211,0,1
1599555136,1,2
1599557087,2,0
1599562961,1,0
1599564767,0,1
1599566897,2,0
1599568818,0,1
1599572661,0,1
1599574580,1,1
1599576521,1,0
1599580575,1,2
1599582491,1,1
1599584560,0,1
1599586593,1,0
1599588494,0,1
1599590411,1,0
1599592637,1,1
1599594491,1,1
1599596415,1,0
1599600266,0,1
1599602184,1,0
1599607038,1,2
1599608909,1,0
1599610841,0,1
1599614690,0,2
1599616659,1,1
1599620571,0,1
1599622403,1,0
1599624428,1,0
1599626660,2,1
1599628577,0,2
1599630538,1,0
1599632419,1,0
1599638188,0,2
1599642134,2,1
1599644173,2,2
1599646344,1,0
1599648279,0,1
1599650207,2,0
1599652104,0,1
1599654089,0,1
1599655959,1,0
1599657876,1,0
1599659812,0,1
1599661717,0,1
1599667507,0,1
1599669425,1,1
1599673257,0,1
1599677321,2,1
1599679232,0,1
1599681170,0,1
1599683137,0,1
1599686921,1,0
1599688833,0,1
1599692650,0,1
1599696764,0,1
1599702508,0,1
1599710171,0,1
1599712114,0,1
1599714054,0,1
1599717901,0,2
1599723643,1,0
1599725531,1,0
1599727448,0,1
1599729438,0,1
1599731360,0,1
1599733456,0,1
1599735372,0,1
1599737316,0,1
1599744007,0,1
1599754809,1,0
1599756778,0,1
1599761791,1,0
1599763690,0,2
1599767553,1,0
1599769457,0,2
1599784819,3,0
1599794436,1,0
1599798252,1,0
1599802091,0,1
1599810012,0,1
1599819646,4,0
1599821543,1,0
1599823468,1,0
1599840118,0,1
1599841933,2,0
1599846016,1,0
1599847991,2,1
1599851770,1,0
1599853741,1,1
1599857556,4,0
1599859451,1,0
1599871206,0,3
1599881054,0,1
1599882999,1,0
1599884909,0,1
1599888782,1,0
1599890714,1,0
1599892611,1,0
1599894495,1,0
1599900522,1,0
1599902406,1,1
1599904357,1,0
1599906275,1,4
1599908170,2,2
1599910086,1,0
1599918008,0,1
1599925720,1,0
1599927616,0,1
1599929550,0,1
1599931488,0,1
1599933371,0,2
1599937377,0,1
1599939186,0,1
1599944946,1,4
1599946820,0,1
1599967163,1,0
1599969155,1,0
1599971052,0,1
1599972968,1,0
1599975849,0,1
1599977808,1,1
1599979710,1,2
1599987375,0,1
1599989360,0,1
1599991257,0,1
1599993203,0,2
1599995105,0,1
1599997009,0,1
1599998987,1,0
1600010698,1,1
1600014493,1,0
1600016485,1,0
1600020272,1,0
1600031116,0,1
1600034921,1,0
1600054100,0,1
1600058169,1,0
1600060123,0,1
1600063847,0,1
1600065884,0,1
1600075953,1,0
1600087693,1,0
1600089626,2,0
1600095386,0,1
1600097540,1,0
1600099538,0,1
1600105477,2,2
1600107379,1,0
1600118894,1,0
1600121772,0,1
1600141481,0,1
1600157025,1,0
1600163061,1,2
1600174620,1,2
1600176489,3,1
1600180596,0,1
1600184411,0,1
1600192099,1,3
1600194104,1,0
1600204859,0,1
1600206733,1,0
1600212521,1,0
1600220468,1,0
1600228350,1,0
1600232241,1,0
1600243011,0,1
1600253137,0,1
1600255071,1,0
1600260770,0,1
1600262709,0,3
1600266769,1,0
1600268732,1,0
1600274481,1,0
1600278278,0,1
1600280237,1,1
1600286004,1,0
1600291731,1,0
1600293794,2,1
1600299641,0,1
1600306570,0,1
1600314285,1,1
1600318334,1,1
1600326138,1,0
1600333797,2,0
1600335616,1,0
1600341376,0,1
1600349084,1,0
1600351019,1,0
1600352930,0,1
1600356995,0,1
1600360809,1,1
1600366568,0,1
1600368738,1,0
1600372618,0,1
1600379289,0,1
1600381211,0,2
1600390895,1,0
1600394667,2,0
1600400410,0,1
1600406177,0,1
1600410039,1,0
1600413870,0,1
1600415834,1,0
1600419669,0,2
1600421557,0,1
1600427572,2,0
1600435208,0,1
1600439076,1,0
1600442893,1,1
1600444904,1,0
1600446730,0,1
1600456375,1,1
1600478222,0,1
1600480105,0,2
1600482029,1,0
1600485877,1,0
1600487798,3,0
1600495572,0,1
1600503387,0,1
1600509151,1,0
1600511086,2,0
1600512995,0,1
1600516962,1,0
1600520891,0,1
1600522836,1,0
1600524767,1,1
1600530518,1,2
1600542056,0,1
1600557375,1,0
1600569397,0,1
1600571298,1,1
1600573240,0,2
1600575130,1,1
1600577049,2,0
1600596253,1,2
1600598197,3,1
1600602008,0,1
1600607814,0,1
1600611609,0,1
1600619316,12,0
1600622203,12,0
1600624088,12,0
1600642931,0,2
1600658958,0,1
1600660874,0,1
1600662774,0,2
1600668527,1,0
1600676213,1,0
