DateTime,Entries,UniqueIPs
1600392760,1915,1915
1600394668,1921,1921
1600396612,1913,1913
1600398529,1904,1904
1600400411,1895,1895
1600402335,1900,1900
1600404281,1899,1899
1600406177,1898,1898
1600408105,1904,1904
1600410039,1898,1898
1600411934,1918,1918
1600413870,1931,1931
1600415835,1927,1927
1600417693,1922,1922
1600419677,1963,1963
1600421558,2229,2229
1600423748,2203,2203
1600425609,2193,2193
1600427572,2191,2191
1600429455,2181,2181
1600431372,2163,2163
1600433316,2154,2154
1600435235,2147,2147
1600437131,2119,2119
1600439076,2114,2114
1600440970,2103,2103
1600442893,2089,2089
1600444912,2092,2092
1600446740,2093,2093
1600448685,2106,2106
1600450602,2117,2117
1600452590,2106,2106
1600454410,2099,2099
1600456384,2066,2066
1600458254,2062,2062
1600460207,2049,2049
1600462094,2038,2038
1600464283,2026,2026
1600466182,2013,2013
1600468118,2000,2000
1600470155,1997,1997
1600472308,1971,1971
1600474357,1958,1958
1600476280,1949,1949
1600478222,1944,1944
1600480105,1952,1952
1600482029,1957,1957
1600484024,1935,1935
1600485877,1937,1937
1600487798,1933,1933
1600489734,1924,1924
1600491757,1954,1954
1600493593,1939,1939
1600495573,1926,1926
1600497439,1912,1912
1600499594,1881,1881
1600501490,1873,1873
1600503388,1860,1860
1600505324,1844,1844
1600507220,1842,1842
1600509151,1563,1563
1600511095,1570,1570
1600512995,1573,1573
1600514923,1561,1561
1600516963,1571,1571
1600518996,1579,1579
1600520891,1574,1574
1600522847,1572,1572
1600524767,1569,1569
1600526697,1566,1566
1600528629,1548,1548
1600530522,1617,1617
1600532449,1684,1684
1600534362,1674,1674
1600536324,1679,1679
1600538252,1682,1682
1600540096,1674,1674
1600542065,1686,1686
1600543960,1674,1674
1600545874,1677,1677
1600547791,1679,1679
1600549730,1669,1669
1600551633,1681,1681
1600553564,1684,1684
1600555467,1695,1695
1600557375,1701,1701
1600559467,1706,1706
1600561481,1707,1707
1600563384,1701,1701
1600565317,1695,1695
1600567404,1691,1691
1600569397,1691,1691
1600571299,1708,1708
1600573240,1714,1714
1600575131,1713,1713
1600577050,1704,1704
1600579021,1671,1671
1600580892,1659,1659
1600582813,1654,1654
1600584765,1658,1658
1600586669,1647,1647
1600588600,1638,1638
1600590491,1627,1627
1600592555,1626,1626
1600594594,1629,1629
1600596507,1597,1597
1600598415,1594,1594
1600600361,1578,1578
1600602265,1573,1573
1600604168,1583,1583
1600606133,1579,1579
1600608008,1586,1586
1600609954,1589,1589
1600611849,1585,1585
1600613771,1586,1586
1600615715,1587,1587
1600617624,1481,1481
1600619576,1486,1486
1600621487,1487,1487
1600623404,1480,1480
1600625341,1477,1477
1600627270,1477,1477
1600629142,1474,1474
1600631051,1448,1448
1600633007,1446,1446
1600634897,1444,1444
1600636811,1433,1433
1600638769,1414,1414
1600640702,1399,1399
1600642621,1384,1384
1600644491,1373,1373
1600646549,1364,1364
1600648359,1354,1354
1600650252,1347,1347
1600652172,1322,1322
1600654120,1324,1324
1600656261,1312,1312
1600658084,1294,1294
1600659906,1287,1287
1600661833,1273,1273
1600663716,1273,1273
1600665691,1271,1271
1600667531,1274,1274
1600669531,1280,1280
1600671413,1276,1276
1600673311,1281,1281
1600675445,1282,1282
1600677370,1279,1279
1600679255,1280,1280
1600681234,1296,1296
1600683193,1293,1293
1600685077,1313,1313
1600687245,1314,1314
1600689149,1309,1309
1600691050,1299,1299
1600693014,1308,1308
1600694914,1307,1307
1600697858,1305,1305
1600701264,1315,1315
1600703323,1296,1296
1600705216,1294,1294
1600707151,1284,1284
1600709138,1282,1282
1600711063,1265,1265
1600712893,1263,1263
1600714982,1276,1276
1600716790,1280,1280
1600718697,1274,1274
1600720616,1272,1272
1600722535,1280,1280
1600724415,1308,1308
1600726499,1316,1316
1600728537,1337,1337
1600730439,1353,1353
1600732346,1342,1342
1600734416,1351,1351
1600736509,1348,1348
1600738357,1361,1361
1600740276,1366,1366
1600742206,1366,1366
1600744171,1362,1362
1600746096,1351,1351
1600747979,1355,1355
1600749899,1352,1352
1600751807,1349,1349
1600753713,1360,1360
1600755701,1365,1365
1600757634,1371,1371
1600759460,1376,1376
1600761371,1410,1410
1600763315,1406,1406
1600765261,1420,1420
1600767134,1418,1418
1600769158,1413,1413
1600770968,1408,1408
1600772924,1410,1410
1600774834,1422,1422
1600776759,1424,1424
1600778653,1447,1447
1600780581,1448,1448
1600782513,1455,1455
1600784448,1460,1460
1600786358,1460,1460
1600788303,1456,1456
1600790285,1460,1460
1600792101,1462,1462
1600794226,1462,1462
1600796195,1478,1478
1600798364,1466,1466
1600800265,1477,1477
1600802202,1494,1494
1600804092,1504,1504
1600806038,1512,1512
1600807975,1524,1524
1600810094,1515,1515
1600812121,1510,1510
1600813992,1529,1529
1600815853,1526,1526
1600817773,1513,1513
1600819726,1519,1519
1600821736,1530,1530
1600823775,1527,1527
1600825688,1530,1530
1600827634,1529,1529
1600829553,1534,1534
1600831455,1532,1532
1600833399,1558,1558
1600835332,1573,1573
1600838169,1598,1598
1600840124,1596,1596
1600842014,1587,1587
1600843931,1592,1592
1600845887,1578,1578
1600847836,1543,1543
1600849690,1542,1542
1600851702,1541,1541
1600853531,1544,1544
1600855566,1537,1537
1600857374,1557,1557
1600859418,1566,1566
1600862334,1557,1557
1600865340,1549,1549
1600867500,1537,1537
1600869421,1515,1515
1600871319,1505,1505
1600873325,1494,1494
1600875186,1501,1501
1600878010,1520,1520
1600879954,1510,1510
1600881852,1505,1505
1600883768,1495,1495
1600885713,1472,1472
1600887660,1475,1475
1600889567,1454,1454
1600891454,1455,1455
1600893369,1442,1442
1600895326,1436,1436
1600897209,1431,1431
1600899209,1384,1384
1600901079,1387,1387
1600903003,1393,1393
1600904902,1390,1390
1600906814,1390,1390
1600908753,1390,1390
1600910680,1381,1381
1600912605,1400,1400
1600914509,1412,1412
1600916519,1411,1411
1600918366,1392,1392
1600920278,1382,1382
1600922254,1369,1369
1600924114,1357,1357
1600926045,1345,1345
1600927982,1349,1349
1600929888,1347,1347
1600931815,1347,1347
1600933740,1366,1366
1600935676,1370,1370
1600937543,1371,1371
1600939483,1363,1363
1600941394,1364,1364
1600943319,1341,1341
1600945376,1346,1346
1600947186,1343,1343
1600949066,1341,1341
1600950996,1353,1353
1600952901,1349,1349
1600954817,1361,1361
1600957098,1363,1363
1600959154,1372,1372
1600961049,1372,1372
1600962992,1359,1359
1600964916,1379,1379
1600967784,1396,1396
1600969946,1400,1400
1600971861,1404,1404
1600973798,1407,1407
1600975693,1412,1412
1600977756,1406,1406
1600979795,1416,1416
1600981700,1403,1403
1600983864,1410,1410
1600985785,1411,1411
1600987729,1416,1416
1600989612,1423,1423
1600991786,1405,1405
1600993694,1402,1402
1600995919,1439,1439
1600997771,1431,1431
1600999941,1416,1416
1601001881,1411,1411
1601003797,1410,1410
1601005692,1410,1410
1601007642,1405,1405
1601009544,1415,1415
1601011482,1422,1422
1601013421,1427,1427
1601015320,1418,1418
1601017407,1430,1430
1601019217,1430,1430
1601021173,1409,1409
1601023000,1415,1415
1601024900,1412,1412
1601026815,1423,1423
1601028803,1434,1434
1601030699,1431,1431
1601032616,1458,1458
1601034519,1459,1459
1601036487,1461,1461
1601040499,1454,1454
1601042736,1442,1442
1601044599,1435,1435
1601046768,1417,1417
1601048655,1421,1421
1601050576,1411,1411
1601052522,1408,1408
1601054421,1377,1377
1601056617,1376,1376
1601058499,1368,1368
1601060504,1381,1381
1601062363,1377,1377
1601064262,1373,1373
1601066175,1370,1370
1601068368,1373,1373
1601070257,1366,1366
1601072175,1357,1357
1601074125,1354,1354
1601076012,1358,1358
1601077931,1354,1354
1601079878,1360,1360
1601081774,1368,1368
1601083627,1365,1365
1601085879,1369,1369
1601087837,1383,1383
1601089800,1392,1392
1601091614,1383,1383
1601093534,1392,1392
1601095479,1379,1379
1601097385,1379,1379
1601099307,1386,1386
1601101262,1396,1396
1601103142,1418,1418
1601105070,1412,1412
1601107023,1420,1420
1601108918,1420,1420
1601110936,1414,1414
1601112780,1432,1432
1601115005,1443,1443
1601116842,1448,1448
1601118735,1446,1446
1601120681,1417,1417
1601122589,1404,1404
1601124498,1413,1413
1601126410,1376,1376
1601128380,1365,1365
1601130534,1374,1374
1601132471,1383,1383
1601134332,1378,1378
1601136236,1389,1389
1601138058,1393,1393
1601139915,1399,1399
1601142003,1409,1409
1601143960,1403,1403
1601145880,1386,1386
1601147774,1383,1383
1601149695,1374,1374
1601151664,1373,1373
1601153531,1372,1372
1601155458,1378,1378
1601157395,1382,1382
1601159292,1389,1389
1601162174,1379,1379
1601164096,1375,1375
1601166044,1369,1369
1601167931,1369,1369
1601169852,1371,1371
1601171800,1380,1380
1601173697,1374,1374
1601175749,1365,1365
1601177829,1391,1391
1601179715,1396,1396
1601181621,1397,1397
1601183538,1391,1391
1601185483,1376,1376
1601187371,1358,1358
1601189298,1336,1336
1601191266,1327,1327
1601193135,1336,1336
1601195087,1331,1331
1601196974,1327,1327
1601199140,1316,1316
1601201092,1306,1306
1601203025,1312,1312
1601204904,1302,1302
1601206812,1303,1303
1601208759,1307,1307
1601210657,1305,1305
1601212584,1295,1295
1601214523,1298,1298
1601216414,1300,1300
1601218357,1295,1295
1601220256,1311,1311
1601222197,1317,1317
1601224116,1328,1328
1601227026,1318,1318
1601228909,1323,1323
1601230829,1330,1330
1601232768,1348,1348
1601234680,1371,1371
1601236617,1370,1370
1601238517,1376,1376
1601240511,1357,1357
1601242389,1365,1365
1601244363,1357,1357
1601246208,1365,1365
1601248371,1385,1385
1601250271,1380,1380
1601252208,1384,1384
1601254333,1392,1392
1601256255,1394,1394
1601258333,1397,1397
1601260355,1393,1393
1601262258,1383,1383
1601264174,1355,1355
1601266135,1331,1331
1601268020,1327,1327
1601269933,1336,1336
1601271902,1344,1344
1601273784,1348,1348
1601275702,1353,1353
1601277639,1343,1343
1601279555,1347,1347
1601281457,1345,1345
1601283402,1467,1467
1601285297,1493,1493
1601287477,1517,1517
1601289406,1535,1535
1601291340,1558,1558
1601293245,1546,1546
1601295183,1542,1542
1601297074,1557,1557
1601298997,1561,1561
1601300982,1582,1582
1601302840,1594,1594
1601304771,1589,1589
1601306711,1577,1577
1601308624,1583,1583
1601310532,1609,1609
1601312580,1616,1616
1601314566,1619,1619
1601316539,1640,1640
1601318409,1640,1640
1601320333,1636,1636
1601322275,1639,1639
1601324168,1645,1645
1601326334,1672,1672
1601328267,1673,1673
1601330240,1681,1681
1601332101,1676,1676
1601334084,1687,1687
1601335950,1690,1690
1601337938,1692,1692
1601339795,1696,1696
1601341963,1699,1699
1601343854,1698,1698
1601345678,1721,1721
1601347779,1732,1732
1601349611,1716,1716
1601351530,1741,1741
1601353479,1755,1755
1601355374,1755,1755
1601357295,1757,1757
1601360414,1759,1759
1601362334,1768,1768
1601364292,1777,1777
1601366174,1776,1776
1601368092,1776,1776
1601370154,1657,1657
1601372049,1664,1664
1601373993,1648,1648
