DateTime,AddedIPs,RemovedIPs
1598107449,1,1
1598144170,1,0
1598151133,0,3
1598166758,0,1
1598193610,0,1
1598229618,0,1
1598238079,1,0
1598265139,1,0
1598280564,1,0
1598316993,1,0
1598325167,0,1
1598342582,3,0
1598352252,0,1
1598359933,1,0
1598368097,0,1
1598385747,1,0
1598403130,0,1
1598430300,0,3
1598445662,0,1
1598451374,3,0
1598496764,1,0
1598500645,1,0
1598504579,1,0
1598533693,1,0
1598537777,0,3
1598539719,1,1
1598560823,1,0
1598578090,2,0
1598583857,0,1
1598587725,0,1
1598591543,0,1
1598603115,1,0
1598607159,3,0
1598612919,1,0
1598620577,2,0
1598622518,0,1
1598626244,0,1
1598647720,0,1
1598665625,0,2
1598677860,1,0
1598689716,0,1
1598692152,1,0
1598694063,0,3
1598697928,0,1
1598705599,1,0
1598707505,0,2
1598711326,1,0
1598720923,4,0
1598728589,1,0
1598730509,1,0
1598734404,1,0
1598763747,0,1
1598779050,0,1
1598792584,0,1
1598796516,0,1
1598806088,0,1
1598808033,0,3
1598815703,0,1
1598817733,1,1
1598821454,0,1
1598845752,3,0
1598899932,1,0
1598901773,1,0
1598906754,0,1
1598914595,3,0
1598932154,0,3
1598935956,1,0
1598947864,5,0
1598956186,3,0
1598963806,1,0
1598987772,0,1
1598993533,1,0
1598995503,3,1
1599001418,0,2
1599018737,1,0
1599033155,0,4
1599074169,3,0
1599079965,0,1
1599081875,0,1
1599083835,3,8
1599102278,1,0
1599104174,3,1
1599111853,0,1
1599135854,1,0
1599159131,1,1
1599164889,1,0
1599169928,0,1
1599171877,0,1
1599173768,0,3
1599183395,1,0
1599187275,1,1
1599191052,0,3
1599196834,1,0
1599219967,1,0
1599221796,0,1
1599245051,0,1
1599250845,0,1
1599270278,0,1
1599274222,0,1
1599283726,0,1
1599305053,0,1
1599321132,2,0
1599396518,3,0
1599402278,3,0
1599409025,0,2
1599473835,3,0
1599483421,0,1
1599489381,0,2
1599541957,0,3
1599543857,2,0
1599551527,1,0
1599559273,1,3
1599572914,1,0
1599586594,1,0
1599590412,1,0
1599598360,1,0
1599600267,3,0
1599626661,2,0
1599630538,0,1
1599638189,1,0
1599646345,0,1
1599659822,2,1
1599676838,0,1
1599684491,0,1
1599686571,0,3
1599688608,0,3
1599711860,1,0
1599713775,0,2
1599725297,0,1
1599729146,1,0
1599747901,0,2
1599765150,1,0
1599774751,1,0
1599793972,1,0
1599797799,1,1
1599816489,0,1
1599826367,1,0
1599837911,3,0
1599851584,0,1
1599855415,1,0
1599861276,0,1
1599882999,0,1
1599884910,0,1
1599913242,0,1
1599924738,0,3
1599928602,1,0
1599942040,0,1
1599949694,1,0
1599955691,1,0
1599957858,3,0
1599963614,1,0
1600000871,2,0
1600017642,0,1
1600036830,0,1
1600042584,0,4
1600046417,3,0
1600048350,0,1
1600083862,2,0
1600085786,0,2
1600116034,2,0
1600133295,0,3
1600170742,0,2
1600182494,1,0
1600184412,3,0
1600201697,0,2
1600223053,1,0
1600233647,1,0
1600255072,1,0
1600268733,0,1
1600270695,0,3
1600278279,1,0
1600295789,1,0
1600299642,1,0
1600305616,1,0
1600309465,1,0
1600343323,3,0
1600379290,0,3
1600381212,0,1
1600385040,0,1
1600394668,0,1
1600396612,3,0
1600400411,0,1
1600406177,0,1
1600429455,0,3
1600458255,1,0
1600462094,1,0
1600476280,3,0
1600484024,0,3
1600522847,1,0
1600536325,3,0
1600544925,0,1
1600546856,3,1
1600563385,0,3
1600575131,1,0
1600600361,1,0
1600608008,0,1
1600619578,2,0
1600621492,1,0
1600623405,2,3
1600625361,2,0
1600627270,1,0
1600633007,1,0
1600634897,0,3
1600636812,1,0
1600640702,2,0
1600646560,2,0
1600648578,1,0
1600650539,5,0
1600652410,1,0
1600659907,0,1
1600663717,2,0
1600665691,1,0
1600673311,1,0
1600677371,2,0
1600683194,1,0
1600687245,0,1
1600691051,2,0
1600693014,3,0
1600696960,2,0
1600699136,1,0
1600703324,1,0
1600705216,0,2
1600707151,1,0
1600709138,0,1
1600711064,0,4
1600712894,2,1
1600716791,2,0
1600718697,0,1
1600720617,1,0
1600722535,2,1
1600724416,2,0
1600726509,0,2
1600728537,3,0
1600732346,2,2
1600736521,0,2
1600738357,6,0
1600740279,1,0
1600742207,3,0
1600744171,3,0
1600747980,3,0
1600749900,6,2
1600751807,2,0
1600755702,1,0
1600759460,4,1
1600761372,1,0
1600763316,1,1
1600769179,1,0
1600777212,0,1
1600779194,1,4
1600781063,1,0
1600782999,1,1
1600784926,0,1
1600787812,2,0
1600791610,2,0
1600793529,1,1
1600795477,1,0
1600797395,2,0
1600799318,0,2
1600802202,5,0
1600804093,1,1
1600806038,1,1
1600807976,1,0
1600810095,2,10
1600812126,1,1
1600813992,1,0
1600815854,2,3
1600817773,3,1
1600819726,1,1
1600823775,0,1
1600825688,1,7
1600827634,2,0
1600829554,8,5
1600831455,4,1
1600835333,0,7
1600838169,1,4
1600840124,1,0
1600842014,0,1
1600845888,0,4
1600847836,0,2
1600849690,4,1
1600853531,1,0
1600855575,4,2
1600865340,0,1
1600867501,1,1
1600869421,3,1
1600873335,1,0
1600875187,0,2
1600878010,1,2
1600879955,2,1
1600881852,2,1
1600883769,4,2
1600885713,2,1
1600887677,3,3
1600889567,2,1
1600891454,1,1
1600893370,1,1
1600895327,2,1
1600897209,1,3
1600899210,4,0
1600901080,1,1
1600903003,2,4
1600904902,2,1
1600908753,1,0
1600910680,1,0
1600912605,0,1
1600914509,1,6
1600916526,0,6
1600918366,0,2
1600920279,1,0
1600922255,2,0
1600924114,2,1
1600926045,1,0
1600927982,0,1
1600931815,1,0
1600935677,1,3
1600937544,0,1
1600941394,1,4
1600943319,0,1
1600945388,1,0
1600949300,1,0
1600955049,1,0
1600957099,0,3
1600959154,1,1
1600962993,1,1
1600964917,1,0
1600967785,1,4
1600969946,1,2
1600971861,0,4
1600973799,2,3
1600975693,0,2
1600979795,0,1
1600981703,0,2
1600983864,1,2
1600985785,0,3
1600987730,4,1
1600989613,2,2
1600991787,2,2
1600993695,3,0
1600995924,1,2
1600999941,0,1
1601005692,0,1
1601007642,3,1
1601009544,0,3
1601011483,2,1
1601013421,2,1
1601015320,1,0
1601019217,2,1
1601021173,1,1
1601023000,1,0
1601024901,2,0
1601026815,3,1
1601028804,1,0
1601032616,2,1
1601034520,1,0
1601036487,0,1
1601038417,4,0
1601042259,4,1
1601044392,3,0
1601046373,2,1
1601048241,1,1
1601050128,0,1
1601053992,2,1
1601055999,0,1
1601058106,1,0
1601059930,2,2
1601063794,1,0
1601067672,1,0
1601069529,0,1
1601071431,1,0
1601073398,0,2
1601075294,1,2
1601077214,1,3
1601079157,0,1
1601081072,1,3
1601083006,0,1
1601090671,1,0
1601094534,8,3
1601098571,3,1
1601100523,3,2
1601102416,1,1
1601104332,3,0
1601106280,1,3
1601108172,4,1
1601110101,5,1
1601112040,3,2
1601113929,0,2
1601117837,1,2
1601119735,2,0
1601121830,2,1
1601123769,3,4
1601127636,1,3
1601129532,0,4
1601131664,1,2
1601133611,3,0
1601135554,1,1
1601137453,1,0
1601139396,1,1
1601141289,3,1
1601143269,1,1
1601145154,7,1
1601147070,4,0
1601148968,2,1
1601150915,1,0
1601152814,3,1
1601154730,1,0
1601156676,0,1
1601158571,1,0
1601160493,0,1
1601162433,2,0
1601164328,0,1
1601166251,1,0
1601168195,1,1
1601170088,2,0
1601173954,0,1
1601175876,0,1
1601177831,0,2
1601179716,2,3
1601181621,0,5
1601183538,3,0
1601185484,0,3
1601187371,4,2
1601189298,0,1
1601191268,0,2
1601193136,1,1
1601195088,2,3
1601196974,1,7
1601199141,0,1
1601201093,1,0
1601203026,3,0
1601204904,3,1
1601206813,3,4
1601208759,1,2
1601210657,4,1
1601212584,2,4
1601216415,1,0
1601218357,2,3
1601220256,2,2
1601222197,2,0
1601224117,4,1
1601227032,2,2
1601228910,0,2
1601230829,0,4
1601232769,0,6
1601234680,0,3
1601238517,2,3
1601240514,0,2
1601242389,4,0
1601244364,7,1
1601246209,2,0
1601248371,2,1
1601256256,2,1
1601258333,2,0
1601264174,5,0
1601266136,3,0
1601268020,4,0
1601269934,4,0
1601271903,2,0
1601273785,1,0
1601275702,1,0
1601277640,1,0
1601279556,2,0
1601281457,2,0
1601283402,1,0
1601295183,1,0
1601297074,1,11
1601302841,2,0
1601308624,2,0
1601310533,2,0
1601312583,1,0
1601314566,1,0
1601316539,1,0
1601318410,3,0
1601320333,2,0
1601322276,3,1
1601324169,1,1
1601326335,1,34
1601328268,1,3
1601330243,3,7
1601332101,1,2
1601334101,1,3
1601335950,1,0
1601337940,1,0
1601339795,1,0
1601341963,0,1
1601343855,0,3
1601345679,1,0
1601347779,1,0
1601349612,1,3
1601351530,0,3
1601353480,1,3
1601355374,0,3
1601357296,0,4
1601359339,0,3
1601361395,3,0
1601363290,0,3
1601365210,0,2
1601367155,1,1
1601369052,2,0
1601370991,7,1
1601372894,2,0
