DateTime,AddedIPs,RemovedIPs
1600391811,14,4
1600393689,13,10
1600395639,11,16
1600397535,17,12
1600399452,8,6
1600401402,8,4
1600403288,10,12
1600405260,23,18
1600407155,8,18
1600409058,12,7
1600410972,10,8
1600412926,15,18
1600414812,20,11
1600416748,9,12
1600418702,9,9
1600420574,35,14
1600422494,265,13
1600424436,6,16
1600426333,18,10
1600428277,23,18
1600430173,6,17
1600432091,10,12
1600434154,18,18
1600436195,10,26
1600438110,7,15
1600440023,11,16
1600441957,11,10
1600443853,12,7
1600445769,21,11
1600447719,8,10
1600449611,14,7
1600451531,8,9
1600453477,8,13
1600455408,11,10
1600457329,15,17
1600459279,9,10
1600461146,8,10
1600463011,6,17
1600464998,12,4
1600466892,18,8
1600468811,8,12
1600470763,13,16
1600472766,12,20
1600474662,11,10
1600476520,16,8
1600478414,18,15
1600480361,23,9
1600482271,12,11
1600484179,7,19
1600486127,12,9
1600488051,8,7
1600489958,16,15
1600491793,38,13
1600493595,12,14
1600495613,7,9
1600497441,9,11
1600499595,7,21
1600501491,8,14
1600503389,11,13
1600505327,7,13
1600507221,8,8
1600509152,16,285
1600511096,10,9
1600512996,15,14
1600514924,12,25
1600517007,12,13
1600518997,14,12
1600520893,17,12
1600522848,12,7
1600524770,12,12
1600526698,16,12
1600528632,6,11
1600530548,85,10
1600532450,69,14
1600534364,10,12
1600536326,22,13
1600538259,21,8
1600540098,6,7
1600542993,27,17
1600544927,12,14
1600546857,12,6
1600548746,10,10
1600550684,10,14
1600552631,6,13
1600554510,12,9
1600557606,24,16
1600559468,12,17
1600561482,14,10
1600563386,17,19
1600565317,11,16
1600567406,19,19
1600569399,17,11
1600571299,18,9
1600573241,14,14
1600575132,6,9
1600577050,14,24
1600579026,13,31
1600580893,11,10
1600582817,5,4
1600584767,12,10
1600586670,5,3
1600588601,15,7
1600590492,13,16
1600593607,18,14
1600595531,15,14
1600597478,13,9
1600599369,13,20
1600601290,18,12
1600603333,14,13
1600605139,15,7
1600607030,20,19
1600608977,19,13
1600611141,14,14
1600613065,13,18
1600615002,12,6
1600616902,9,73
1600618816,14,74
1600620763,11,12
1600622653,15,22
1600624611,20,21
1600626590,12,10
1600629402,18,21
1600631294,7,18
1600633212,9,12
1600635180,3,9
1600637074,5,11
1600638996,12,6
1600640946,11,13
1600642969,13,9
1600644969,13,18
1600647108,5,16
1600649081,17,15
1600650972,9,12
1600652891,10,11
1600654959,11,14
1600657026,12,28
1600658959,14,13
1600661834,12,16
1600663718,15,10
1600665692,12,16
1600667532,8,12
1600669532,12,5
1600671416,11,12
1600673313,10,6
1600675455,19,15
1600677372,9,14
1600679281,13,9
1600681235,17,8
1600683195,17,19
1600685080,26,13
1600687246,21,21
1600689150,8,19
1600691052,5,11
1600693041,13,17
1600694916,11,19
1600697015,5,15
1600699188,14,12
1600701265,10,17
1600703326,12,11
1600705217,13,12
1600707152,8,14
1600709139,12,12
1600711065,14,23
1600712896,4,12
1600714991,13,13
1600716792,3,5
1600718701,2,12
1600720618,9,7
1600722539,8,4
1600724417,21,5
1600726529,17,16
1600728539,14,6
1600730441,26,9
1600732348,7,19
1600734419,11,7
1600736560,6,18
1600738585,12,5
1600741004,19,12
1600742918,11,16
1600744839,6,13
1600746764,10,12
1600748682,4,5
1600750648,14,15
1600752535,14,14
1600755402,21,14
1600757302,11,7
1600759221,15,15
1600761172,25,19
1600763059,6,7
1600764998,8,15
1600766923,10,13
1600769828,18,28
1600771699,19,20
1600773888,19,18
1600775823,7,8
1600777744,16,6
1600779724,9,11
1600781599,19,11
1600783584,18,6
1600785407,12,11
1600787411,19,12
1600789220,5,7
1600791187,22,8
1600793092,14,13
1600794998,7,11
1600797002,20,15
1600798987,11,11
1600800795,22,8
1600802688,23,8
1600804618,20,6
1600806581,18,3
1600808594,20,9
1600810395,11,20
1600812560,12,19
1600814444,9,10
1600816362,15,18
1600818305,10,22
1600820193,6,6
1600822112,12,7
1600824067,15,10
1600825981,16,12
1600827917,12,13
1600829863,5,13
1600831695,6,4
1600833751,15,10
1600835628,9,9
1600837468,21,9
1600839427,14,17
1600841596,12,18
1600843472,10,8
1600845390,9,17
1600847348,8,21
1600849267,13,7
1600851217,10,15
1600853093,14,7
1600855015,13,17
1600856935,20,15
1600858999,12,13
1600862344,28,24
1600865341,24,18
1600867502,14,17
1600869423,7,20
1600871321,14,12
1600873353,9,20
1600875188,12,8
1600878012,22,19
1600879956,11,17
1600881853,14,9
1600883770,8,18
1600885715,11,17
1600887707,17,13
1600889568,12,28
1600891457,10,18
1600893371,14,24
1600895329,12,16
1600897211,10,12
1600899273,10,8
1600901081,10,8
1600903004,15,10
1600904904,17,17
1600906815,8,8
1600908757,16,9
1600910681,13,15
1600912606,26,12
1600914513,25,9
1600916575,15,7
1600918628,8,11
1600920767,18,16
1600922649,9,8
1600924568,14,26
1600926514,6,10
1600928407,18,7
1600930331,13,11
1600932279,8,13
1600934182,20,5
1600936090,10,15
1600938992,24,21
1600940927,10,13
1600942807,10,11
1600944726,26,18
1600946676,10,16
1600948571,8,15
1600950518,19,9
1600952504,14,12
1600954341,15,15
1600956291,9,7
1600958205,16,13
1600960125,7,12
1600962021,4,13
1600963931,17,9
1600965885,5,16
1600967787,24,16
1600969948,14,8
1600971863,10,12
1600973800,14,9
1600975694,12,15
1600977781,9,16
1600979796,16,12
1600981718,10,17
1600983865,15,8
1600985786,12,10
1600987734,15,9
1600989613,16,13
1600991787,6,29
1600993696,6,7
1600995929,7,17
1600997776,6,15
1600999943,11,29
1601001882,9,14
1601003799,13,14
1601005693,16,10
1601007643,6,14
1601009545,21,8
1601011485,24,17
1601013422,12,6
1601015321,12,22
1601017411,16,9
1601019218,13,12
1601021174,12,18
1601023002,11,13
1601024902,10,17
1601026817,16,6
1601028806,14,11
1601030700,21,23
1601032617,9,11
1601034522,12,13
1601036488,10,18
1601038419,13,10
1601040280,14,16
1601042261,12,11
1601044393,13,15
1601046381,5,10
1601048246,7,4
1601050130,9,12
1601052050,13,7
1601053993,10,25
1601056060,9,15
1601058107,8,7
1601059931,16,15
1601061855,16,11
1601063795,12,12
1601065692,8,13
1601067690,9,12
1601069530,14,10
1601071433,10,15
1601073398,12,20
1601075294,18,8
1601077215,17,9
1601079157,12,11
1601081073,17,4
1601083007,5,5
1601084912,12,8
1601086863,11,6
1601088741,17,13
1601090671,14,15
1601092670,11,11
1601094535,12,15
1601096573,13,24
1601098572,24,14
1601100523,21,16
1601102417,30,13
1601104333,12,12
1601106282,14,13
1601108173,15,14
1601110102,9,13
1601112040,6,14
1601113930,10,13
1601115860,16,15
1601117838,20,15
1601119736,18,15
1601121865,16,16
1601123769,14,5
1601125755,29,11
1601127637,8,18
1601129533,10,11
1601131670,18,12
1601133612,9,6
1601135554,10,4
1601137454,10,9
1601139397,17,15
1601141291,8,9
1601143276,7,6
1601145158,7,14
1601147070,14,12
1601148968,7,15
1601150915,8,14
1601152816,3,10
1601154731,19,9
1601156678,17,14
1601158572,9,3
1601160494,10,20
1601162434,20,12
1601164329,8,20
1601166253,6,19
1601168197,9,9
1601170088,7,5
1601172064,19,9
1601173956,10,16
1601175877,18,21
1601177835,29,9
1601179716,18,10
1601181622,17,13
1601183539,6,13
1601185484,10,24
1601187372,6,18
1601189299,11,32
1601191274,6,11
1601193136,13,11
1601195088,8,17
1601196977,8,9
1601199141,14,5
1601201094,10,10
1601203028,14,15
1601204905,16,18
1601206815,10,21
1601208760,9,20
1601210658,11,16
1601212585,13,23
1601214527,8,10
1601216416,10,11
1601218359,14,19
1601220257,7,6
1601222198,13,9
1601224117,13,7
1601227034,15,27
1601228910,7,5
1601230831,11,9
1601232772,13,5
1601234681,19,9
1601236618,5,11
1601238518,8,5
1601240520,7,19
1601242391,14,10
1601244366,12,13
1601246209,15,8
1601248372,29,17
1601250273,11,17
1601252208,5,6
1601254334,11,7
1601256256,7,7
1601258334,23,18
1601260356,8,9
1601262259,12,22
1601264176,11,30
1601266136,3,19
1601268023,8,14
1601269934,15,8
1601271903,9,12
1601273785,8,6
1601275703,7,10
1601277642,7,7
1601279556,17,10
1601281458,10,11
1601283406,117,10
1601285297,21,8
1601287484,19,14
1601289408,20,12
1601291341,22,15
1601293246,7,15
1601295185,9,12
1601297078,14,9
1601298997,14,14
1601300983,17,7
1601302842,12,9
1601304772,11,16
1601306712,5,6
1601308626,8,10
1601310535,18,8
1601312590,17,15
1601314567,13,9
1601316540,10,9
1601318411,13,13
1601320334,14,15
1601322276,14,13
1601324169,11,7
1601326335,22,13
1601328268,24,10
1601330247,10,13
1601332102,11,15
1601335206,25,29
1601337130,13,15
1601339074,10,5
1601340991,11,7
1601342891,9,9
1601346018,21,23
1601347938,13,17
1601349884,2,13
1601351799,16,4
1601353706,9,7
1601355713,13,10
1601357572,11,9
1601359713,15,10
1601361626,10,7
1601363587,12,7
1601365456,12,13
1601367392,11,9
1601369340,14,112
1601371228,17,26
1601373167,16,19
1601375140,13,18
