DateTime,AddedIPs,RemovedIPs
1600325796,1,4
1600327688,1,2
1600329674,3,1
1600331556,2,1
1600333451,5,0
1600335469,2,2
1600337573,0,2
1600339462,1,4
1600341379,5,4
1600343326,3,2
1600345218,3,2
1600347140,1,1
1600349087,3,1
1600351028,3,1
1600352932,1,1
1600354995,2,0
1600357000,0,1
1600358924,3,1
1600360814,4,2
1600362734,1,2
1600364713,3,0
1600366572,1,4
1600368741,4,4
1600370655,2,1
1600372647,1,4
1600374497,2,2
1600376537,3,3
1600378368,2,3
1600380370,5,2
1600382225,1,1
1600384106,0,2
1600386042,0,3
1600387950,1,0
1600389854,1,2
1600391819,3,0
1600393691,3,1
1600395641,0,1
1600397537,1,1
1600399454,2,3
1600401404,1,3
1600403289,3,0
1600405280,2,1
1600407156,2,0
1600409060,1,0
1600410974,2,2
1600412927,3,3
1600414814,5,1
1600416749,1,4
1600418703,1,1
1600420575,5,3
1600422495,3,2
1600426334,2,3
1600428278,3,5
1600430174,3,3
1600432092,2,2
1600434162,1,3
1600436196,3,1
1600438111,2,1
1600441958,3,1
1600443854,2,0
1600445770,3,3
1600447720,3,3
1600451532,4,4
1600453478,3,0
1600455411,1,3
1600457334,3,2
1600459350,1,2
1600461173,0,2
1600463028,3,1
1600464999,1,3
1600466893,0,4
1600468812,1,1
1600470765,15,0
1600472771,2,0
1600474665,4,0
1600476521,0,2
1600478416,1,2
1600480362,4,4
1600484180,1,3
1600486129,3,2
1600488070,1,1
1600489960,0,5
1600491851,3,2
1600493772,0,5
1600495619,2,0
1600497444,0,1
1600499596,3,4
1600501492,2,5
1600503390,3,0
1600505328,0,3
1600507222,0,1
1600509153,8,2
1600511097,2,1
1600512998,3,2
1600514925,3,5
1600517012,3,2
1600518999,3,3
1600520894,0,1
1600522849,3,4
1600524771,1,0
1600526699,3,2
1600528633,1,3
1600530565,3,3
1600532451,1,3
1600534366,1,3
1600536327,0,2
1600538263,2,4
1600540100,2,2
1600542089,1,2
1600543962,4,4
1600545875,3,0
1600547792,2,0
1600549732,0,4
1600553566,3,0
1600555468,0,1
1600557377,6,16
1600559469,1,5
1600561483,1,1
1600563387,1,2
1600565318,2,1
1600567407,0,3
1600569400,0,2
1600571301,3,3
1600573244,0,1
1600575133,1,3
1600577052,2,1
1600579027,2,1
1600580893,2,2
1600582818,1,0
1600584768,3,0
1600586671,3,2
1600588603,2,6
1600590494,2,1
1600594596,3,1
1600596533,1,9
1600598423,1,2
1600600361,3,0
1600602267,0,5
1600604169,3,5
1600606135,3,3
1600608010,6,1
1600609955,0,1
1600611851,3,1
1600613774,3,1
1600615717,2,2
1600618598,1,5
1600620499,1,1
1600622414,2,2
1600624385,1,0
1600626591,3,1
1600629405,4,2
1600631296,3,5
1600633213,2,1
1600635182,5,2
1600637075,3,1
1600639014,3,4
1600640947,2,1
1600643001,3,6
1600644971,1,0
1600647110,2,1
1600649083,1,0
1600650974,5,1
1600652893,1,0
1600654961,2,1
1600657038,0,1
1600658961,1,1
1600660900,2,1
1600662777,0,3
1600664675,4,2
1600666611,0,3
1600668540,2,3
1600670426,5,4
1600672379,0,1
1600674277,4,2
1600676214,2,1
1600678112,4,0
1600680109,2,1
1600681960,1,3
1600683858,3,0
1600685789,1,3
1600687694,2,0
1600689773,6,2
1600691779,1,2
1600693975,1,3
1600695859,2,1
1600697865,7,2
1600701267,4,5
1600703327,5,0
1600705249,0,1
1600707153,2,0
1600709140,1,2
1600711069,2,4
1600712897,1,3
1600715011,3,0
1600717218,1,5
1600719140,1,2
1600721080,3,5
1600722978,2,2
1600724895,4,4
1600726844,4,1
1600728735,5,3
1600730659,2,1
1600732634,1,3
1600734748,0,1
