DateTime,AddedIPs,RemovedIPs
1600285700,1,5
1600287636,4,0
1600289572,1,1
1600291477,0,1
1600293371,1,0
1600295317,2,2
1600298200,3,1
1600300092,0,1
1600302008,1,0
1600303981,2,2
1600307769,1,2
1600309995,3,1
1600313774,0,1
1600315752,1,2
1600317627,2,1
1600319534,2,0
1600321481,1,2
1600323383,1,0
1600325534,1,0
1600327490,0,1
1600329407,1,2
1600331291,0,1
1600333347,3,2
1600335469,1,2
1600337573,2,0
1600339463,1,1
1600341379,1,0
1600343327,1,1
1600345218,1,4
1600347141,1,0
1600349087,2,1
1600351029,0,4
1600352932,2,1
1600355001,0,1
1600357001,1,0
1600358925,3,2
1600360816,0,3
1600362736,2,1
1600364715,0,2
1600366573,1,0
1600368744,0,1
1600370656,2,0
1600372649,1,3
1600374498,2,3
1600378582,1,0
1600380782,0,1
1600382685,0,4
1600384601,1,1
1600386521,1,0
1600388444,0,1
1600390395,2,2
1600392289,1,0
1600394250,2,1
1600396138,2,3
1600398279,1,0
1600402131,1,1
1600404018,1,2
1600405930,3,2
1600407882,0,1
1600409771,0,1
1600411693,2,0
1600413636,0,1
1600415530,1,1
1600419397,0,3
1600421314,2,1
1600424437,1,2
1600426335,2,1
1600428279,0,2
1600430175,2,0
1600432092,0,1
1600434164,1,1
1600436196,1,2
1600438111,1,0
1600440026,1,2
1600441959,4,1
1600443855,3,1
1600445770,1,2
1600447721,1,0
1600449612,0,2
1600453479,0,1
1600457334,2,2
1600459368,1,2
1600461173,2,1
1600463084,1,0
1600465000,0,1
1600466894,3,0
1600468814,2,0
1600470766,2,1
1600472773,0,1
1600474666,2,0
1600476523,1,2
1600478417,3,1
1600480363,1,2
1600482273,0,2
1600484182,1,1
1600486130,3,0
1600488083,2,1
1600489960,0,1
1600491858,0,3
1600493772,2,0
1600495620,1,0
1600497445,1,1
1600499597,1,1
1600501492,1,1
1600505329,1,0
1600507222,1,1
1600509153,2,2
1600512998,1,2
1600514925,0,1
1600517013,0,1
1600518999,1,0
1600520894,2,1
1600522849,1,1
1600524771,1,1
1600526699,1,3
1600528634,0,3
1600530589,2,2
1600532452,1,2
1600536328,1,0
1600538263,1,0
1600542102,1,0
1600543963,0,2
1600545877,0,1
1600547792,1,2
1600549733,0,1
1600551634,2,0
1600553566,1,3
1600555469,0,2
1600557377,1,2
1600559470,1,0
1600561484,2,3
1600563388,0,1
1600565319,0,2
1600567407,0,1
1600571302,0,3
1600573245,1,2
1600575134,1,1
1600577052,1,0
1600579027,2,2
1600580894,1,0
1600582819,3,2
1600584768,2,1
1600586671,2,0
1600588604,0,1
1600592655,0,2
1600594597,1,0
1600596536,1,2
1600598424,2,1
1600600362,2,0
1600602268,1,0
1600604170,2,1
1600606136,1,2
1600609956,2,1
1600611852,0,1
1600613775,1,1
1600615718,1,1
1600617673,0,1
1600619580,2,1
1600621523,1,1
1600623405,1,0
1600625369,1,1
1600627271,1,0
1600629143,2,1
1600631053,1,0
1600633008,1,0
1600634898,2,1
1600636813,1,1
1600638771,1,2
1600640703,2,0
1600644493,1,1
1600646597,2,1
1600648582,1,2
1600650542,4,0
1600652412,2,0
1600656263,1,0
1600658086,1,1
1600659908,1,0
1600661836,0,1
1600663720,3,1
1600665694,0,3
1600667534,1,1
1600669552,2,2
1600671418,1,3
1600673314,1,1
1600679283,1,0
1600681236,1,1
1600683197,2,1
1600685082,0,2
1600687247,0,2
1600689151,0,3
1600693046,1,1
1600694918,0,1
1600697103,1,1
1600699239,2,1
1600701268,1,1
1600703329,2,0
1600707155,1,3
1600709141,4,1
1600711072,2,1
1600712898,1,0
1600715019,3,3
1600717221,1,1
1600719143,1,1
1600721082,1,2
1600722979,0,1
1600724897,3,1
1600726847,1,2
1600730661,3,0
1600732664,4,3
1600734749,2,1
1600736654,2,4
1600738588,0,1
1600741007,5,1
1600742921,1,1
1600744843,0,1
1600746767,1,1
1600748685,1,2
1600750653,1,1
1600752540,3,0
1600755407,1,2
1600757305,0,2
1600759225,3,1
1600765009,1,1
1600766926,1,1
1600769832,3,2
1600771702,5,0
1600775828,2,0
1600779873,4,1
1600782016,1,0
1600783970,2,1
1600785856,0,2
1600787845,2,1
1600789721,1,2
1600791616,1,0
1600793533,2,1
1600795483,3,4
1600797411,1,1
1600799321,0,2
1600802205,2,3
1600804096,1,1
1600806041,0,1
1600807979,2,1
1600810099,0,2
1600812228,0,1
1600814447,0,1
1600816365,0,2
1600818314,2,1
1600820195,0,5
1600822114,0,2
1600824070,0,1
1600825985,0,3
1600827920,0,2
1600829870,2,1
1600833834,2,1
1600835772,1,1
1600837975,2,2
1600839853,2,2
1600842021,1,1
1600843934,1,0
1600845890,1,3
1600847842,1,0
1600849692,3,0
1600851850,1,1
1600853770,2,2
1600855588,0,2
1600857639,0,4
1600862477,6,3
1600865356,1,1
1600867505,3,4
1600871348,3,2
1600873371,2,2
1600875192,2,0
1600878016,1,2
1600879959,3,2
1600881857,1,3
1600883773,1,1
1600885719,2,0
1600887823,0,1
1600890020,3,2
1600893885,1,2
1600895778,1,0
1600897711,1,0
1600899625,1,0
1600901563,1,0
1600903449,1,0
1600905398,1,2
1600907289,2,0
1600909281,2,0
1600911132,1,0
1600915941,1,2
1600917885,2,0
1600919846,1,0
1600921698,0,3
1600923853,2,1
1600925800,2,2
1600927706,2,2
1600929622,1,1
1600931567,1,0
1600933468,2,2
1600935375,3,3
1600937325,2,1
1600941140,0,2
1600943086,3,0
1600944987,1,1
1600946932,2,4
1600949070,1,1
1600951001,2,1
1600952904,1,0
1600954820,0,3
1600956694,2,2
1600958667,4,1
1600960582,2,3
1600962744,4,1
1600964673,2,2
1600967529,1,2
1600969478,1,1
1600971369,0,3
1600973292,1,0
1600975217,0,2
1600977128,0,1
1600979080,2,0
1600980978,2,1
1600982889,0,1
1600984861,4,1
1600986732,1,1
1600988592,2,1
1600990593,0,1
1600992505,1,2
1600994661,1,3
1600996604,2,1
1601002357,2,1
1601004256,3,2
1601006172,0,1
1601008089,2,0
1601010068,2,1
1601011960,0,2
1601013850,3,3
1601015774,1,1
1601017733,1,1
1601019616,2,1
1601021578,1,4
1601023452,0,2
1601027326,4,0
1601029210,0,2
1601031164,1,2
1601033054,0,2
1601035007,1,1
1601036921,2,1
1601038909,3,2
1601040759,3,0
1601042745,1,1
1601044600,1,3
1601046769,0,4
1601048655,0,4
1601050577,2,2
1601052523,1,0
1601054422,3,1
1601056619,0,1
1601058501,1,0
1601060532,1,1
1601062364,1,0
1601064264,1,0
1601066176,1,3
1601068370,0,1
1601070259,0,2
1601072177,2,2
1601074126,1,1
1601076013,1,2
1601079879,1,2
1601081776,3,0
1601083628,2,2
1601087839,2,2
1601089803,3,3
1601093536,2,0
1601095481,1,4
1601097387,1,0
1601099310,2,1
1601101265,0,3
1601103144,3,0
1601105074,0,3
1601107026,1,0
1601108920,1,1
1601111008,2,0
1601112996,1,2
1601115023,2,2
1601116874,1,1
1601120683,1,0
1601122591,1,2
1601124501,1,2
1601126412,2,4
1601128383,0,1
1601130608,2,2
1601132555,3,0
1601136519,2,0
1601138417,2,3
1601140350,1,2
1601142279,2,1
1601144172,2,1
1601146093,1,1
1601148034,3,0
1601149938,1,2
1601151853,1,1
1601153795,2,0
1601157681,0,1
1601159556,1,2
1601161483,1,1
1601163385,2,0
1601165315,0,1
1601167214,0,2
1601169132,0,3
1601170996,1,0
1601172845,1,1
1601174735,1,1
1601176606,1,3
1601178499,1,0
1601180443,2,2
1601182346,0,1
1601184283,1,3
1601186212,2,0
1601188097,1,2
1601190229,1,1
1601192174,1,0
1601194365,0,1
1601196268,2,2
1601198183,2,2
1601202015,0,3
1601203934,1,0
1601205877,1,0
1601207776,3,2
1601211812,0,2
1601213795,1,1
1601217668,0,5
1601219530,1,0
1601223435,3,3
1601225321,1,2
1601227210,1,0
1601229162,3,3
1601231053,0,1
1601232982,1,2
1601234951,1,2
1601237822,6,2
1601239690,0,1
1601241633,2,1
1601245477,1,1
1601247388,1,1
1601249292,0,2
1601251377,1,0
1601253544,1,0
1601257474,1,1
1601259378,1,1
1601262551,5,2
1601264447,1,1
1601266608,1,2
1601268787,2,0
1601270693,0,1
1601272615,0,2
1601274520,0,1
1601276621,0,1
1601278584,1,1
1601280521,3,0
1601282408,3,0
1601284388,2,4
1601286310,3,0
1601290168,2,1
1601292012,1,1
1601294175,2,3
1601296093,2,0
1601298215,2,0
1601300197,0,1
1601302115,1,0
1601305958,2,1
1601309798,0,3
1601311688,1,1
1601313633,2,1
1601315530,1,3
1601317454,1,0
1601319398,0,1
1601321301,1,1
1601323479,1,6
1601327335,0,1
1601329218,0,1
1601331164,1,1
1601333069,2,0
1601334978,2,1
1601338814,2,2
1601344576,1,1
1601346816,0,1
1601348925,1,5
1601350849,1,1
1601352816,2,1
1601354660,0,2
1601356576,1,0
1601358521,1,0
1601360417,1,0
1601364295,2,1
1601366177,3,0
1601368094,0,6
1601370191,1,1
1601372068,0,1
1601374088,0,3
