DateTime,AddedIPs,RemovedIPs
1600392971,138,145
1600394972,416,92
1600396816,830,105
1600398984,860,88
1600400919,835,98
1600402842,116,102
1600404735,71,55
1600406657,123,127
1600408612,60,59
1600410493,105,137
1600412607,82,89
1600414570,98,112
1600416520,82,155
1600418442,67,163
1600420331,106,100
1600422280,78,71
1600424181,119,142
1600426095,78,70
1600428016,136,107
1600429957,79,66
1600431885,131,139
1600433795,81,65
1600435943,124,123
1600437858,69,79
1600439806,96,124
1600441709,94,90
1600443615,85,97
1600445593,93,100
1600447457,122,62
1600449378,120,89
1600451324,68,71
1600453238,141,143
1600455145,91,68
1600457090,135,115
1600458992,103,72
1600460956,138,135
1600463095,200,108
1600465001,205,127
1600466896,182,81
1600468815,189,68
1600470767,205,87
1600472785,170,64
1600474667,208,95
1600476524,83,57
1600478418,119,109
1600480364,83,100
1600482274,113,718
1600484183,71,797
1600486132,139,817
1600488100,92,471
1600489961,164,116
1600491869,98,52
1600493773,121,127
1600495620,93,87
1600497446,96,96
1600499598,144,114
1600501493,101,55
1600503392,124,63
1600505330,92,82
1600507223,199,92
1600509154,88,81
1600511100,109,127
1600513000,119,79
1600514926,95,132
1600517018,72,110
1600519000,152,125
1600520895,134,131
1600522850,99,83
1600524772,120,128
1600526700,78,68
1600528635,105,85
1600530593,97,89
1600532453,141,110
1600534368,88,94
1600536329,139,118
1600538265,82,68
1600540102,156,133
1600543234,214,185
1600545130,75,104
1600547072,141,115
1600548997,93,176
1600550890,136,244
1600552835,82,178
1600554752,107,207
1600556654,105,235
1600558594,112,220
1600560487,121,247
1600562411,146,141
1600564358,170,140
1600566272,90,94
1600568191,138,120
1600570116,87,90
1600572011,127,115
1600573968,128,96
1600575852,123,149
1600577771,72,93
1600579727,122,146
1600581666,65,104
1600583563,133,120
1600585727,105,134
1600588605,121,183
1600590495,98,101
1600592680,120,108
1600594598,90,189
1600596537,131,122
1600598425,93,124
1600600363,143,113
1600602269,93,86
1600604170,127,129
1600606137,104,102
1600608012,137,123
1600609957,81,89
1600611853,115,105
1600613777,82,85
1600615719,102,109
1600617684,77,89
1600619581,437,130
1600621533,83,108
1600623406,133,103
1600625371,150,126
1600627272,127,106
1600629144,118,141
1600631053,75,69
1600633011,108,145
1600634899,88,82
1600636814,149,132
1600638772,94,76
1600640705,93,117
1600642639,78,104
