DateTime,Entries,UniqueIPs
1600392971,12520,12520
1600394972,12844,12844
1600396816,13569,13569
1600398984,14341,14341
1600400919,15078,15078
1600402842,15092,15092
1600404735,15108,15108
1600406657,15104,15104
1600408612,15105,15105
1600410493,15073,15073
1600412607,15066,15066
1600414570,15052,15052
1600416520,14979,14979
1600418442,14883,14883
1600420331,14889,14889
1600422280,14896,14896
1600424181,14873,14873
1600426095,14881,14881
1600428016,14910,14910
1600429957,14923,14923
1600431885,14915,14915
1600433795,14931,14931
1600435943,14932,14932
1600437858,14922,14922
1600439806,14894,14894
1600441709,14898,14898
1600443615,14886,14886
1600445593,14879,14879
1600447457,14939,14939
1600449378,14970,14970
1600451324,14967,14967
1600453238,14965,14965
1600455145,14988,14988
1600457090,15008,15008
1600458992,15039,15039
1600460956,15042,15042
1600463095,15134,15134
1600465001,15212,15212
1600466896,15313,15313
1600468815,15434,15434
1600470767,15552,15552
1600472785,15658,15658
1600474667,15771,15771
1600476524,15797,15797
1600478418,15807,15807
1600480364,15790,15790
1600482274,15185,15185
1600484183,14459,14459
1600486132,13781,13781
1600488100,13402,13402
1600489961,13450,13450
1600491869,13496,13496
1600493773,13490,13490
1600495620,13496,13496
1600497446,13496,13496
1600499598,13526,13526
1600501493,13572,13572
1600503392,13633,13633
1600505330,13643,13643
1600507223,13750,13750
1600509154,13757,13757
1600511100,13739,13739
1600513000,13779,13779
1600514926,13742,13742
1600517018,13704,13704
1600519000,13731,13731
1600520895,13734,13734
1600522850,13750,13750
1600524772,13742,13742
1600526700,13752,13752
1600528635,13772,13772
1600530593,13780,13780
1600532453,13811,13811
1600534368,13805,13805
1600536329,13826,13826
1600538265,13840,13840
1600540102,13863,13863
1600543234,13892,13892
1600545130,13863,13863
1600547072,13889,13889
1600548997,13806,13806
1600550890,13698,13698
1600552835,13602,13602
1600554752,13502,13502
1600556654,13372,13372
1600558594,13264,13264
1600560487,13138,13138
1600562411,13143,13143
1600564358,13173,13173
1600566272,13169,13169
1600568191,13187,13187
1600570116,13184,13184
1600572011,13196,13196
1600573968,13228,13228
1600575852,13202,13202
1600577771,13181,13181
1600579727,13157,13157
1600581666,13118,13118
1600583563,13131,13131
1600585727,13102,13102
1600588605,13040,13040
1600590495,13037,13037
1600592680,13049,13049
1600594598,12950,12950
1600596537,12959,12959
1600598425,12928,12928
1600600363,12958,12958
1600602269,12965,12965
1600604170,12963,12963
1600606137,12965,12965
1600608012,12979,12979
1600609957,12971,12971
1600611853,12981,12981
1600613777,12978,12978
1600615719,12971,12971
1600617684,12959,12959
1600619581,13266,13266
1600621533,13241,13241
1600623406,13271,13271
1600625371,13295,13295
1600627272,13316,13316
1600629144,13293,13293
1600631053,13299,13299
1600633011,13262,13262
1600634899,13268,13268
1600636814,13285,13285
1600638772,13303,13303
1600640705,13279,13279
1600642639,13253,13253
1600644494,13268,13268
1600646603,13237,13237
1600648583,13380,13380
1600650543,13583,13583
1600652413,13572,13572
1600654437,13673,13673
1600656264,13808,13808
1600658088,13986,13986
1600659909,14105,14105
1600661837,14139,14139
1600663721,14186,14186
1600665695,14216,14216
