DateTime,AddedIPs,RemovedIPs
1600392290,88,123
1600394252,304,89
1600396139,919,69
1600398333,1195,81
1600400186,1110,69
1600402131,302,63
1600404020,67,62
1600405932,75,55
1600407883,56,56
1600409773,78,74
1600411695,88,66
1600413638,82,84
1600415532,54,50
1600417457,68,208
1600419398,62,59
1600421315,84,79
1600423338,42,72
1600425157,77,71
1600427161,95,71
1600428999,71,59
1600431169,80,76
1600433054,61,73
1600434994,81,80
1600436927,65,63
1600438810,80,74
1600440736,60,68
1600442679,85,90
1600444578,56,65
1600446491,75,61
1600449379,121,95
1600451326,42,63
1600453240,87,80
1600455146,46,59
1600457091,71,73
1600458996,64,42
1600460957,63,80
1600463097,226,75
1600465002,274,62
1600466897,204,57
1600468816,261,65
1600470768,251,71
1600472786,242,37
1600474668,195,62
1600476525,101,50
1600478419,65,59
1600480365,76,81
1600482275,49,876
1600484186,45,1032
1600486133,125,953
1600488140,60,515
1600489962,84,81
1600491898,56,64
1600493774,49,78
1600495624,51,45
1600497448,80,43
1600499599,101,77
1600501495,88,39
1600503393,63,55
1600505331,50,53
1600507225,82,82
1600509155,77,36
1600511101,106,69
1600513002,57,45
1600514927,90,70
1600517022,52,65
1600519002,109,80
1600520896,70,223
1600522852,76,54
1600524774,57,143
1600526702,56,59
1600528636,87,83
1600530619,66,71
1600532454,80,67
1600534369,78,75
1600536338,77,87
1600538270,49,41
1600540103,139,68
1600542218,74,49
1600544173,124,85
1600546127,80,57
1600548066,69,167
1600549930,87,304
1600551933,106,372
1600553773,96,284
1600555716,119,338
1600557609,74,363
1600559471,71,316
1600561485,107,273
1600563389,95,106
1600565320,94,102
1600567409,76,128
1600569402,83,85
1600571304,110,98
1600573246,155,107
1600575137,115,104
1600577054,92,69
1600579029,85,96
1600580895,60,58
1600582820,72,99
1600584769,92,85
1600586673,119,125
1600588608,65,88
1600590496,94,61
1600592721,98,73
1600594601,102,114
1600596539,125,108
1600598427,53,79
1600600364,87,74
1600602270,114,81
1600604172,65,119
1600606138,108,95
1600608013,100,101
1600609959,52,82
1600611854,113,68
1600613779,63,59
1600615720,84,100
1600617712,66,83
1600619582,79,102
1600621580,54,92
1600623474,101,56
1600625388,100,87
1600627273,122,131
1600629145,124,116
1600631055,84,95
1600633012,89,108
1600634900,130,61
1600636815,105,107
1600638773,105,141
1600640706,98,153
1600642640,72,97
1600644495,105,96
1600646607,77,102
1600648605,137,83
1600650544,113,93
1600652415,69,98
1600654439,108,96
1600656266,80,63
1600658089,82,120
1600659910,81,104
1600661838,88,120
1600663722,58,72
1600665696,68,94
1600667536,82,69
1600669554,83,105
1600671420,103,72
1600673316,102,108
1600675485,93,108
1600677376,85,95
1600679285,101,94
1600681238,96,78
1600683199,94,123
1600685085,90,67
1600687249,111,136
1600689153,93,83
1600691055,98,94
1600693049,86,83
1600694920,54,95
1600697157,75,126
1600699398,241,83
1600701270,140,81
1600703331,53,91
1600705252,72,108
1600707157,73,55
1600709144,252,68
1600711074,134,70
1600712900,284,133
1600715037,91,112
1600717224,179,133
1600719153,230,90
1600721084,238,89
1600722982,196,153
1600724899,128,125
1600726877,152,100
1600728738,183,78
1600730664,207,112
1600732667,150,75
1600734751,203,118
1600736666,136,96
1600738591,182,85
1600740473,155,84
1600742440,169,120
1600744583,183,95
1600746770,164,94
1600748688,174,114
1600750656,648,68
1600752549,107,75
1600755410,223,116
1600757308,133,78
1600759227,156,110
1600761179,134,66
1600763064,141,86
1600765018,119,81
1600766929,180,88
1600769834,188,140
1600771714,115,86
1600773894,112,103
1600775830,93,62
1600777750,104,132
1600779882,133,90
1600782018,125,76
1600783973,153,71
1600785859,94,74
1600787848,91,161
1600789724,56,47
1600791619,100,64
1600793535,104,84
1600795487,108,113
1600797422,86,96
1600799332,111,250
1600801334,89,53
1600803370,115,110
1600805294,89,123
1600807238,109,153
1600809131,133,188
1600811078,112,94
1600812976,107,143
1600814889,93,100
1600816841,120,144
1600818729,92,115
1600820653,93,138
1600822600,65,101
