DateTime,Entries,UniqueIPs
1600392290,6591,6591
1600394252,6806,6806
1600396139,7656,7656
1600398333,8770,8770
1600400186,9811,9811
1600402131,10050,10050
1600404020,10055,10055
1600405932,10075,10075
1600407883,10075,10075
1600409773,10079,10079
1600411695,10101,10101
1600413638,10099,10099
1600415532,10103,10103
1600417457,9963,9963
1600419398,9966,9966
1600421315,9971,9971
1600423338,9941,9941
1600425157,9947,9947
1600427161,9971,9971
1600428999,9983,9983
1600431169,9987,9987
1600433054,9975,9975
1600434994,9976,9976
1600436927,9978,9978
1600438810,9984,9984
1600440736,9976,9976
1600442679,9971,9971
1600444578,9962,9962
1600446491,9976,9976
1600449379,10002,10002
1600451326,9981,9981
1600453240,9988,9988
1600455146,9975,9975
1600457091,9973,9973
1600458996,9995,9995
1600460957,9978,9978
1600463097,10129,10129
1600465002,10341,10341
1600466897,10488,10488
1600468816,10684,10684
1600470768,10864,10864
1600472786,11069,11069
1600474668,11202,11202
1600476525,11253,11253
1600478419,11259,11259
1600480365,11254,11254
1600482275,10427,10427
1600484186,9440,9440
1600486133,8612,8612
1600488140,8157,8157
1600489962,8160,8160
1600491898,8152,8152
1600493774,8123,8123
1600495624,8129,8129
1600497448,8166,8166
1600499599,8190,8190
1600501495,8239,8239
1600503393,8247,8247
1600505331,8244,8244
1600507225,8244,8244
1600509155,8285,8285
1600511101,8322,8322
1600513002,8334,8334
1600514927,8354,8354
1600517022,8341,8341
1600519002,8370,8370
1600520896,8217,8217
1600522852,8239,8239
1600524774,8153,8153
1600526702,8150,8150
1600528636,8154,8154
1600530619,8149,8149
1600532454,8162,8162
1600534369,8165,8165
1600536338,8155,8155
1600538270,8163,8163
1600540103,8234,8234
1600542218,8259,8259
1600544173,8298,8298
1600546127,8321,8321
1600548066,8223,8223
1600549930,8006,8006
1600551933,7740,7740
1600553773,7552,7552
1600555716,7333,7333
1600557609,7044,7044
1600559471,6799,6799
1600561485,6633,6633
1600563389,6622,6622
1600565320,6614,6614
1600567409,6562,6562
1600569402,6560,6560
1600571304,6572,6572
1600573246,6620,6620
1600575137,6631,6631
1600577054,6654,6654
1600579029,6643,6643
1600580895,6645,6645
1600582820,6618,6618
1600584769,6625,6625
1600586673,6619,6619
1600588608,6596,6596
1600590496,6629,6629
1600592721,6654,6654
1600594601,6642,6642
1600596539,6659,6659
1600598427,6633,6633
1600600364,6646,6646
1600602270,6679,6679
1600604172,6625,6625
1600606138,6638,6638
1600608013,6637,6637
1600609959,6607,6607
1600611854,6652,6652
1600613779,6656,6656
1600615720,6640,6640
1600617712,6623,6623
1600619582,6600,6600
1600621580,6562,6562
1600623474,6607,6607
1600625388,6620,6620
1600627273,6611,6611
1600629145,6619,6619
1600631055,6608,6608
1600633012,6589,6589
1600634900,6658,6658
1600636815,6656,6656
1600638773,6620,6620
1600640706,6565,6565
1600642640,6540,6540
1600644495,6549,6549
1600646607,6524,6524
1600648605,6578,6578
1600650544,6598,6598
1600652415,6569,6569
1600654439,6581,6581
1600656266,6598,6598
1600658089,6560,6560
1600659910,6537,6537
1600661838,6505,6505
1600663722,6491,6491
1600665696,6465,6465
1600667536,6478,6478
1600669554,6456,6456
1600671420,6487,6487
1600673316,6481,6481
1600675485,6466,6466
1600677376,6456,6456
1600679285,6463,6463
1600681238,6481,6481
1600683199,6452,6452
1600685085,6475,6475
1600687249,6450,6450
1600689153,6460,6460
1600691055,6464,6464
1600693049,6467,6467
1600694920,6426,6426
1600697157,6375,6375
1600699398,6533,6533
1600701270,6592,6592
1600703331,6554,6554
1600705252,6518,6518
1600707157,6536,6536
1600709144,6720,6720
1600711074,6784,6784
1600712900,6935,6935
1600715037,6914,6914
1600717224,6960,6960
1600719153,7100,7100
1600721084,7249,7249
1600722982,7292,7292
1600724899,7295,7295
1600726877,7347,7347
1600728738,7452,7452
1600730664,7547,7547
1600732667,7622,7622
1600734751,7707,7707
1600736666,7747,7747
1600738591,7844,7844
1600740473,7915,7915
1600742440,7964,7964
1600744583,8052,8052
1600746770,8122,8122
1600748688,8182,8182
1600750656,8762,8762
1600752549,8794,8794
1600755410,8901,8901
1600757308,8956,8956
1600759227,9002,9002
1600761179,9070,9070
1600763064,9125,9125
1600765018,9163,9163
1600766929,9255,9255
1600769834,9303,9303
1600771714,9332,9332
1600773894,9341,9341
1600775830,9372,9372
1600777750,9344,9344
1600779882,9387,9387
1600782018,9436,9436
1600783973,9518,9518
1600785859,9538,9538
1600787848,9468,9468
1600789724,9477,9477
1600791619,9513,9513
1600793535,9533,9533
1600795487,9528,9528
1600797422,9518,9518
1600799332,9379,9379
1600801334,9415,9415
1600803370,9420,9420
1600805294,9386,9386
1600807238,9342,9342
1600809131,9287,9287
1600811078,9305,9305
1600812976,9269,9269
1600814889,9262,9262
1600816841,9238,9238
1600818729,9215,9215
1600820653,9170,9170
1600822600,9134,9134
1600824497,9080,9080
1600826482,9026,9026
1600828359,8963,8963
1600830268,8900,8900
1600832172,8845,8845
1600834128,8767,8767
1600836011,8727,8727
1600837978,8147,8147
1600839856,8097,8097
1600842024,8010,8010
1600843936,7945,7945
1600845892,7848,7848
1600847845,7784,7784
1600849694,7763,7763
1600851952,7708,7708
1600853773,7654,7654
1600855597,7585,7585
1600857641,7537,7537
1600862516,7579,7579
1600865358,7610,7610
1600867508,7597,7597
1600869432,7583,7583
1600871350,7552,7552
1600873376,7538,7538
1600875195,7551,7551
1600878019,7365,7365
1600879961,7325,7325
1600881861,7287,7287
1600883776,7217,7217
1600885721,7223,7223
1600887832,7232,7232
1600890022,7213,7213
1600891979,7177,7177
1600893887,7141,7141
1600895781,7087,7087
1600897714,7054,7054
1600899647,6986,6986
1600901592,6921,6921
1600903451,6873,6873
1600905401,6838,6838
1600907291,6796,6796
1600909352,6790,6790
1600911395,6783,6783
1600913298,6790,6790
1600915215,6773,6773
1600917158,6792,6792
1600919058,6775,6775
1600920970,6754,6754
1600922915,6737,6737
1600924811,6754,6754
1600926731,6750,6750
1600928680,6753,6753
1600930572,6771,6771
1600932511,6800,6800
1600934484,6800,6800
1600936335,6658,6658
1600938294,6674,6674
1600940200,6665,6665
1600942093,6627,6627
1600944014,6589,6589
1600945963,6619,6619
1600947854,6675,6675
1600949796,6720,6720
1600951719,6727,6727
1600953655,6702,6702
1600955530,6668,6668
1600957469,6683,6683
1600959397,6708,6708
1600961307,6722,6722
1600964184,6699,6699
1600966088,6688,6688
1600968035,6689,6689
1600969950,6704,6704
1600971886,6700,6700
1600973803,6648,6648
1600975727,6646,6646
1600977799,6653,6653
1600979798,6663,6663
1600981724,6636,6636
1600983870,6681,6681
1600985791,6689,6689
1600987738,6696,6696
1600989619,6718,6718
1600991792,6728,6728
1600993700,6731,6731
1600995951,6737,6737
1600997782,6761,6761
1600999948,6790,6790
1601001887,6790,6790
1601003804,6795,6795
1601005698,6816,6816
1601007648,6851,6851
1601009549,6886,6886
1601011489,6894,6894
1601013427,6879,6879
1601015326,6868,6868
