DateTime,AddedIPs,RemovedIPs
1600396139,2,3
1600398344,8,5
1600400186,5,2
1600402132,7,6
1600404024,4,7
1600405932,8,5
1600407883,3,5
1600409773,7,2
1600411695,3,6
1600413638,4,6
1600415534,8,7
1600417462,3,6
1600419398,6,6
1600421315,7,3
1600423351,4,6
1600425157,6,1
1600427169,8,5
1600428999,11,6
1600431171,6,4
1600433055,4,4
1600434995,6,6
1600436929,6,5
1600438811,2,3
1600440738,8,7
1600442680,8,9
1600444579,9,3
1600446491,4,5
1600449379,7,4
1600451326,4,3
1600453244,6,1
1600455146,4,3
1600457092,7,2
1600459000,3,7
1600460958,3,3
1600463098,7,1
1600465003,4,3
1600466897,1,1
1600468816,4,6
1600470769,3,2
1600472787,5,11
1600474668,7,3
1600476525,6,4
1600478420,1,5
1600480366,5,8
1600482276,3,3
1600484187,5,4
1600486133,6,8
1600488153,3,6
1600489963,7,5
1600491905,5,6
1600493775,9,5
1600495625,2,6
1600497450,4,5
1600499599,8,4
1600501495,7,7
1600503393,5,3
1600505331,6,7
1600507226,2,7
1600509156,9,2
1600511114,8,7
1600513002,5,6
1600514928,2,8
1600517023,5,9
1600519002,4,5
1600520897,7,7
1600522852,4,7
1600524774,6,2
1600526703,5,6
1600528637,6,9
1600530621,7,8
1600532455,5,5
1600534369,8,4
1600536339,8,6
1600538271,6,3
1600540103,8,5
1600542228,7,6
1600544175,2,7
1600546127,6,2
1600548067,11,4
1600549931,3,5
1600551934,4,4
1600553776,2,1
1600555716,5,6
1600557609,8,2
1600559472,6,6
1600561485,4,7
1600563389,7,5
1600565320,6,3
1600567409,5,4
1600569402,3,5
1600571327,5,4
1600573246,5,3
1600575139,4,6
1600577055,6,6
1600579029,2,5
1600580896,8,9
1600582820,3,1
1600584770,6,6
1600586673,5,7
1600588609,3,8
1600590497,7,4
1600592751,7,6
1600594604,3,6
1600596544,4,7
1600598427,5,6
1600600364,2,4
1600602271,2,2
1600604172,12,5
1600606138,7,5
1600608013,6,5
1600609959,3,7
1600611854,5,5
1600613780,7,6
1600615720,10,6
1600617726,6,6
1600619582,8,8
1600621586,9,6
1600623477,6,6
1600625416,3,7
1600627274,3,8
1600629145,5,5
1600631057,2,4
1600633012,1,6
1600634900,4,10
1600636815,7,2
1600638773,11,5
1600640706,2,4
1600642641,3,3
1600644495,5,9
1600646611,7,7
