DateTime,AddedIPs,RemovedIPs
1600311404,0,4
1600313591,2,0
1600316457,4,1
1600318337,2,2
1600320259,7,1
1600322208,2,0
1600324106,2,4
1600326161,0,5
1600327996,0,1
1600329863,1,0
1600331779,0,1
1600333817,0,5
1600335620,2,0
1600337576,2,3
1600339469,1,5
1600341381,0,3
1600343330,3,3
1600345221,1,2
1600347143,4,2
1600349090,0,1
1600351033,0,2
1600352934,1,0
1600356041,2,0
1600357931,4,0
1600359886,3,2
1600361800,2,3
1600363695,3,1
1600365725,2,2
1600367569,1,3
1600369464,2,0
1600371372,1,1
1600373323,2,1
1600375214,2,10
1600379293,1,2
1600381215,4,0
1600383133,0,2
1600385044,0,2
1600386973,2,2
1600388928,2,0
1600391029,4,2
1600392972,0,1
1600394973,1,0
1600396817,0,1
1600398986,4,0
1600400920,2,3
1600402843,1,3
1600404736,2,2
1600406657,1,7
1600408612,1,2
1600410494,2,2
1600412609,8,0
1600414571,1,0
1600416520,0,1
1600420332,3,0
1600422281,2,2
1600424182,0,2
1600426096,1,1
1600429958,0,3
1600431886,2,2
1600433796,3,3
1600435944,1,0
1600437860,1,0
1600439807,2,1
1600441710,1,2
1600445594,4,6
1600447458,4,2
1600449380,1,2
1600451326,3,3
1600453245,3,1
1600455147,4,2
1600457092,5,2
1600459001,1,0
1600460958,0,2
1600463100,2,2
1600465003,5,1
1600466898,1,1
1600468817,0,3
1600470769,3,0
1600472787,7,2
1600474669,1,2
1600476526,0,3
1600478420,2,1
1600480366,4,1
1600482276,3,0
1600484188,0,1
1600486133,0,5
1600488169,1,1
1600490168,2,0
1600492132,2,3
1600495966,2,1
1600497855,1,8
1600499772,2,2
1600501716,4,1
1600503609,2,0
1600505534,3,1
1600507481,0,3
1600509376,0,1
1600511543,5,1
1600513564,3,0
1600515407,1,0
1600517391,1,1
1600519294,4,3
1600521137,1,1
1600523057,3,1
1600525273,1,2
1600527141,1,1
1600530667,3,2
1600532676,1,6
1600535029,4,1
1600536995,2,3
1600538877,0,1
1600540811,8,7
1600542630,1,3
1600544680,3,3
1600548489,2,1
1600550437,2,4
1600552339,1,3
1600554280,6,0
1600556185,1,2
1600558114,3,5
1600561208,10,4
1600563137,4,1
1600565095,5,3
1600566981,3,2
1600568917,0,3
1600571087,1,0
1600572976,1,0
1600574892,2,1
1600576842,4,2
1600578742,0,2
1600582637,8,2
1600584494,2,1
1600586436,2,3
1600588331,0,3
1600590279,0,3
1600592176,1,2
1600596139,2,1
1600598198,0,4
1600600093,1,3
1600602009,1,1
1600603959,2,2
1600605864,0,3
1600607817,3,1
1600609690,1,3
1600611611,2,1
1600613557,4,1
1600615455,2,2
1600617374,5,1
1600619320,3,2
1600621320,2,3
1600623128,4,2
1600625079,3,0
1600626981,4,8
1600628901,4,1
1600630842,1,2
1600632734,3,1
1600634901,6,2
1600636816,4,2
1600638774,2,1
1600640707,1,6
1600642642,0,1
1600644496,0,3
1600646612,1,2
1600648606,6,12
1600650546,2,2
1600652416,2,3
1600654444,7,3
1600656268,4,0
1600658090,0,1
1600659911,0,2
1600661839,0,3
1600663723,5,2
1600667537,2,1
1600669555,2,9
1600671421,3,1
1600673318,3,1
1600675533,3,0
1600679286,2,1
1600683200,0,2
1600685086,2,0
1600687273,3,1
1600689154,3,1
1600691056,2,2
1600693051,0,1
1600694921,0,2
1600697181,0,2
1600699556,5,4
1600701614,0,3
1600703603,0,4
1600705474,1,4
1600707372,0,2
1600709287,6,3
1600711303,2,4
1600713157,1,4
1600715041,1,3
1600717227,3,2
1600719154,7,3
1600721085,14,6
1600722983,1,4
1600724900,3,2
1600726890,6,1
1600728740,5,0
1600730665,1,0
1600732669,4,1
1600734752,1,5
1600736669,2,3
1600738592,2,1
1600741528,5,11
1600743409,1,1
1600745296,3,0
1600747316,6,0
1600749133,2,3
1600751198,5,2
1600753239,5,0
1600755152,3,3
1600757090,0,3
1600758997,1,3
1600760918,2,3
1600762822,2,1
1600764759,2,1
1600766654,2,1
1600768599,7,0
1600770540,5,1
1600772508,4,2
1600774334,4,2
1600776344,4,3
1600778179,0,2
1600782279,1,0
1600784455,1,1
1600786390,0,4
1600788305,2,0
1600790290,2,0
1600792103,2,1
1600794236,4,0
1600796198,2,6
1600798366,2,3
1600800267,0,1
1600802207,0,2
1600804097,1,1
1600806043,0,11
1600807980,0,10
1600810101,1,2
1600812247,7,4
1600814449,6,8
1600816367,1,2
1600818317,2,0
1600820198,3,4
1600822117,2,2
1600824084,0,3
1600825987,3,2
1600827923,0,3
1600829875,1,1
1600831703,0,3
1600833838,2,6
1600835786,2,4
1600837979,2,4
1600839857,2,4
1600842031,0,3
1600845893,1,1
1600847849,1,2
1600849695,2,2
1600851991,1,4
1600854046,0,2
1600855942,0,8
1600857858,0,2
1600863714,3,12
1600865535,2,0
1600867508,1,0
1600869439,3,2
1600871352,1,0
1600873380,1,0
1600875195,2,2
1600878020,4,3
1600879962,0,2
1600881864,2,5
1600883776,1,1
1600885722,1,1
1600887841,1,0
1600890023,4,1
1600893888,1,0
1600895782,4,1
1600897715,3,3
1600899671,2,8
1600901593,0,2
1600903452,0,1
1600905403,0,5
1600907292,0,1
1600909361,4,1
1600911397,2,2
1600913299,2,1
1600917159,6,1
1600919062,0,2
1600920978,4,0
1600922916,4,4
1600924814,1,0
1600926732,0,2
1600930575,1,1
1600932513,2,0
1600934518,2,1
1600936336,1,2
1600938312,1,1
1600945967,1,2
1600947856,1,1
1600949797,3,0
1600951721,1,2
1600955531,0,3
1600957470,1,1
1600959405,0,2
1600961309,1,0
1600964186,2,5
1600966089,1,1
1600968038,2,1
1600969981,4,2
1600971888,3,1
1600973804,0,1
1600975748,1,4
1600977804,2,0
1600979799,1,1
1600981727,0,3
1600983871,1,4
1600985792,0,2
1600987739,1,0
1600989620,6,0
1600991793,7,0
1600993701,3,0
1600995952,3,5
1600997783,2,1
1600999949,4,2
1601001888,2,2
1601003805,0,4
1601007679,0,6
1601009550,2,2
1601011490,0,1
1601013428,3,0
1601017419,0,1
1601019224,1,2
1601021195,0,2
1601023009,1,1
1601024908,2,1
1601026825,1,0
1601030715,2,0
1601032624,2,1
1601034528,3,1
1601036494,0,4
1601038428,2,0
1601040285,3,0
1601044399,8,1
1601046391,2,0
1601048255,3,1
1601050138,0,1
1601052056,0,1
1601053999,2,3
1601056165,3,3
1601058138,0,4
1601060196,1,0
1601062094,0,1
1601064167,3,2
1601066177,1,1
1601068371,5,0
1601070259,0,1
1601074127,5,1
1601076014,0,6
1601077933,0,6
1601079880,3,4
1601081777,0,1
1601083629,2,3
1601085892,2,5
1601087840,3,2
1601091619,2,0
1601093537,2,0
1601095481,6,1
1601097388,3,1
1601099311,2,3
1601101265,1,0
1601105075,0,1
1601107027,3,0
1601108921,3,1
1601111014,2,2
1601112997,3,1
1601116874,1,1
1601118759,2,3
1601120684,6,2
1601122592,3,1
1601124502,0,2
1601126413,1,3
1601130773,4,8
1601132581,0,2
1601134573,0,3
