DateTime,AddedIPs,RemovedIPs
1600240862,3,0
1600242803,2,0
1600244709,3,0
1600246611,1,0
1600248526,0,2
1600250721,2,2
1600252820,1,0
1600254817,2,0
1600256654,1,1
1600258574,1,1
1600260523,1,0
1600264339,3,1
1600266323,2,0
1600268232,0,9
1600270121,0,1
1600272239,2,0
1600274181,2,0
1600276036,1,0
1600278283,0,4
1600280242,1,1
1600282130,1,4
1600284060,0,3
1600286010,4,0
1600287883,1,3
1600289865,2,5
1600291762,2,2
1600293920,6,2
1600295792,3,2
1600297697,1,1
1600299646,1,0
1600301545,1,0
1600303701,3,1
1600305620,1,0
1600307595,0,1
1600311404,1,3
1600313591,0,2
1600315487,1,0
1600317380,0,1
1600321256,1,2
1600323188,4,3
1600325096,2,1
1600326973,1,3
1600328899,3,1
1600330925,1,3
1600332747,1,0
1600334689,2,0
1600336579,4,1
1600338497,0,3
1600340664,2,2
1600342598,0,2
1600344496,0,1
1600346444,1,1
1600350253,2,1
1600352208,2,3
1600354093,0,1
1600356041,7,0
1600357931,1,2
1600359886,0,1
1600361800,3,0
1600363695,2,0
1600367570,1,1
1600369464,0,1
1600371372,2,2
1600373323,1,2
1600375214,4,0
1600377378,1,2
1600379293,0,2
1600381215,4,5
1600383133,2,2
1600385044,0,1
1600386974,2,1
1600388928,2,1
1600391036,2,2
1600392973,0,1
1600394974,2,1
1600396817,1,1
1600402843,0,1
1600404736,2,1
1600406658,1,0
1600408613,2,1
1600410495,3,2
1600414571,2,3
1600416521,3,1
1600418445,1,0
1600420333,0,2
1600422281,1,2
1600424183,0,1
1600428017,1,1
1600429959,2,2
1600435945,0,2
1600438811,2,5
1600440738,1,0
1600442680,1,4
1600444579,1,1
1600446491,1,2
1600449380,0,1
1600451327,2,2
1600453245,0,1
1600457092,1,1
1600459001,1,1
1600460958,2,2
1600463103,0,5
1600465003,2,0
1600466898,2,4
1600468817,4,3
1600470770,2,0
1600472787,0,2
1600474669,0,1
1600476526,3,4
1600478420,1,0
1600480366,2,2
1600484188,2,0
