DateTime,Entries,UniqueIPs
1600240862,73,73
1600242803,75,75
1600244709,78,78
1600246611,79,79
1600248526,77,77
1600250721,77,77
1600252820,78,78
1600254817,80,80
1600256654,80,80
1600258574,80,80
1600260523,81,81
1600264339,83,83
1600266323,85,85
1600268232,76,76
1600270121,75,75
1600272239,77,77
1600274181,79,79
1600276036,80,80
1600278283,76,76
1600280242,76,76
1600282130,73,73
1600284060,70,70
1600286010,74,74
1600287883,72,72
1600289865,69,69
1600291762,69,69
1600293920,73,73
1600295792,74,74
1600297697,74,74
1600299646,75,75
1600301545,76,76
1600303701,78,78
1600305620,79,79
1600307595,78,78
1600311404,76,76
1600313591,74,74
1600315487,75,75
1600317380,74,74
1600321256,73,73
1600323188,74,74
1600325096,75,75
1600326973,73,73
1600328899,75,75
1600330925,73,73
1600332747,74,74
1600334689,76,76
1600336579,79,79
1600338497,76,76
1600340664,76,76
1600342598,74,74
1600344496,73,73
1600346444,73,73
1600350253,74,74
1600352208,73,73
1600354093,72,72
1600356041,79,79
1600357931,78,78
1600359886,77,77
1600361800,80,80
1600363695,82,82
1600367570,82,82
1600369464,81,81
1600371372,81,81
1600373323,80,80
1600375214,84,84
1600377378,83,83
1600379293,81,81
1600381215,80,80
1600383133,80,80
1600385044,79,79
1600386974,80,80
1600388928,81,81
1600391036,81,81
1600392973,80,80
1600394974,81,81
1600396817,81,81
1600402843,80,80
1600404736,81,81
1600406658,82,82
1600408613,83,83
1600410495,84,84
1600414571,83,83
1600416521,85,85
1600418445,86,86
1600420333,84,84
1600422281,83,83
1600424183,82,82
1600428017,82,82
1600429959,82,82
1600435945,80,80
1600438811,77,77
1600440738,78,78
1600442680,75,75
1600444579,75,75
1600446491,74,74
1600449380,73,73
1600451327,73,73
1600453245,72,72
1600457092,72,72
1600459001,72,72
1600460958,72,72
1600463103,67,67
1600465003,69,69
1600466898,67,67
1600468817,68,68
1600470770,70,70
1600472787,68,68
1600474669,67,67
1600476526,66,66
1600478420,67,67
1600480366,67,67
1600484188,69,69
1600486134,70,70
1600488183,71,71
1600492133,68,68
1600494019,66,66
1600497856,63,63
1600499772,61,61
1600501716,60,60
1600503610,57,57
1600505535,58,58
1600507481,63,63
1600509377,64,64
1600511543,62,62
1600513568,64,64
1600515407,65,65
1600517392,65,65
1600519294,66,66
1600521137,67,67
1600523058,69,69
1600525273,70,70
1600527141,71,71
1600530675,71,71
1600535029,74,74
1600536995,73,73
1600538878,73,73
1600540812,73,73
1600542643,74,74
1600544680,77,77
1600546570,76,76
1600548489,77,77
1600550437,74,74
1600552339,71,71
1600554281,71,71
1600556185,71,71
1600558114,74,74
1600561209,75,75
1600563137,74,74
1600565096,73,73
1600566981,72,72
1600568918,73,73
1600571087,73,73
1600572976,72,72
1600574892,71,71
1600580652,70,70
1600582638,72,72
1600586436,73,73
1600588331,74,74
1600592176,73,73
1600594091,71,71
1600596153,68,68
1600598198,69,69
1600600093,69,69
1600602010,68,68
1600603959,68,68
1600605865,66,66
1600607817,67,67
1600609690,64,64
1600611611,62,62
1600613557,63,63
1600615455,64,64
1600617375,62,62
1600619320,63,63
1600621329,60,60
1600625079,60,60
1600626981,61,61
1600628901,61,61
1600630842,59,59
1600632734,64,64
1600634901,66,66
1600638774,67,67
1600640707,72,72
1600642642,68,68
1600644496,66,66
1600646613,68,68
1600650546,67,67
1600652416,66,66
1600656268,64,64
1600658090,65,65
1600663724,64,64
1600665697,65,65
1600667537,66,66
1600671422,67,67
1600673318,68,68
1600675544,68,68
1600679287,67,67
1600681253,69,69
1600683201,66,66
1600685087,67,67
1600687274,68,68
1600689154,69,69
1600691057,70,70
1600693052,71,71
1600694921,70,70
1600697184,71,71
1600699609,71,71
1600701614,70,70
1600703604,72,72
1600705474,73,73
1600707372,74,74
1600709288,74,74
1600711311,73,73
1600713158,73,73
1600715043,74,74
1600717228,75,75
1600719155,72,72
1600721086,70,70
1600722983,71,71
1600726905,68,68
1600728740,69,69
1600730665,69,69
1600732669,70,70
1600734753,73,73
1600736669,73,73
1600738592,74,74
1600741529,75,75
1600743412,75,75
1600745297,79,79
1600747320,80,80
1600755153,80,80
1600757090,80,80
1600758997,79,79
1600760919,76,76
1600766655,76,76
1600768600,76,76
1600770540,74,74
1600774334,72,72
1600776359,70,70
1600778180,73,73
1600782279,73,73
1600784455,74,74
1600786390,76,76
1600790291,78,78
1600792104,79,79
1600794239,78,78
1600796198,78,78
1600798367,78,78
1600800268,77,77
1600802208,76,76
1600804097,74,74
1600806043,76,76
1600807981,79,79
1600810101,81,81
1600812256,81,81
1600814450,80,80
1600816367,81,81
1600818317,83,83
1600820198,84,84
1600822117,84,84
1600824085,87,87
1600825988,87,87
1600829876,87,87
1600831704,80,80
1600833839,81,81
1600835786,82,82
1600839858,83,83
1600842031,84,84
1600843938,85,85
1600845894,84,84
1600847849,87,87
1600852000,88,88
1600855943,88,88
1600857859,89,89
1600862538,91,91
1600865536,91,91
1600867509,91,91
1600869439,89,89
1600871352,89,89
1600873381,85,85
1600875196,87,87
1600878020,84,84
1600881865,86,86
1600883777,83,83
1600885722,81,81
1600887844,80,80
1600890023,81,81
1600891981,78,78
1600893889,78,78
1600895782,78,78
1600897715,75,75
1600899673,75,75
1600901593,73,73
1600903452,77,77
1600905403,75,75
1600907293,80,80
1600909363,77,77
1600911397,74,74
1600913300,72,72
1600915217,71,71
1600917159,73,73
1600919062,73,73
1600920978,73,73
1600922916,74,74
1600924814,75,75
1600928681,73,73
1600930576,72,72
1600932513,71,71
1600934541,68,68
1600936598,71,71
1600938513,69,69
1600940411,70,70
1600942365,68,68
1600944254,66,66
1600948358,63,63
1600950290,64,64
1600952198,65,65
1600954343,65,65
1600956294,68,68
1600958209,70,70
1600962023,70,70
1600963932,74,74
1600965886,76,76
1600969982,75,75
1600973804,76,76
1600975752,74,74
1600977809,75,75
1600979799,77,77
1600981727,78,78
1600983872,79,79
1600985792,81,81
1600987740,77,77
1600989620,75,75
1600991794,74,74
1600993701,72,72
