DateTime,AddedIPs,RemovedIPs
1597861472,8,0
1597862915,14,0
1597867955,14,34
1597870332,8,0
1597873766,11,27
1597881130,28,65
1597887875,34,54
1597895074,49,33
1597902278,27,17
1597909476,18,25
1597916675,29,9
1597923878,24,9
1597930837,26,20
1597938275,19,41
1597945717,25,44
1597952917,21,27
1597959876,27,29
1597967077,29,31
1597974516,40,78
1597981719,42,28
1597988921,20,25
1597996116,37,27
1598003355,29,19
1598011044,29,33
1598018174,27,48
1598024911,25,24
1598032353,42,42
1598039555,20,22
1598046758,29,29
1598054193,34,37
1598061392,44,56
1598068590,45,32
1598076050,27,26
1598083244,20,25
1598090437,21,29
1598097643,29,34
1598104845,37,27
1598112046,21,37
1598119242,21,28
1598126445,24,27
1598133649,18,35
1598140851,16,55
1598148753,51,42
1598155954,42,27
1598163154,24,20
1598170354,19,13
1598177554,34,23
1598184773,29,20
1598192677,30,32
1598199873,27,21
1598207075,22,22
1598214275,27,28
1598221473,32,41
1598229392,43,49
1598236591,56,48
1598243794,28,21
1598250997,25,22
1598258915,46,21
1598266120,38,16
1598273315,28,32
1598280522,36,24
1598287714,40,33
1598294897,22,29
1598302087,34,38
1598309292,36,27
1598316972,36,51
1598319848,2,0
1598321293,28,0
1598323448,5,37
1598324177,24,0
1598325873,10,0
1598327313,10,0
1598334511,23,24
1598341713,16,23
1598348912,23,19
1598356111,41,37
1598363589,25,21
1598370969,27,17
1598378675,24,33
1598385607,35,32
1598393049,27,30
1598400506,33,32
1598407687,57,29
1598414901,34,98
1598422577,27,30
1598430008,25,24
1598436730,32,30
1598443954,23,36
1598451155,33,29
1598458831,30,36
1598466527,31,26
1598473231,23,36
1598480436,29,33
1598487631,38,56
1598494921,57,46
1598502070,42,19
1598508967,29,0
1598516169,24,17
1598523367,32,38
1598531074,29,25
1598538329,29,25
1598541877,6,0
1598545053,19,0
1598545713,0,18
1598552431,26,0
1598559631,31,29
1598566831,31,39
1598574033,33,94
1598581953,60,49
1598588497,37,26
1598596382,21,23
1598603557,34,32
1598610881,22,32
1598617451,23,0
1598624651,27,34
1598632260,33,40
1598639079,23,67
1598646966,29,34
1598653857,21,33
1598661183,30,59
1598669056,54,38
1598676032,38,20
1598683208,18,23
1598689953,30,0
1598697276,29,18
1598704481,43,53
1598711792,21,26
1598719502,30,36
1598726678,31,28
1598733875,23,36
1598741072,25,31
1598748274,30,44
1598755475,43,40
1598762674,37,16
1598769873,21,22
1598777073,23,23
1598784275,36,28
1598791474,26,38
1598798674,35,24
1598805877,41,0
1598813079,24,48
1598820510,42,34
1598827741,22,26
1598834910,35,45
1598842110,45,31
1598849311,38,25
1598856510,25,21
1598863710,32,23
1598871154,25,32
1598877873,26,0
1598885553,21,48
1598892753,30,23
1598900191,30,34
1598907151,24,29
1598914590,35,39
1598921811,47,51
1598928512,47,39
1598935713,52,22
1598943703,28,28
1598950330,36,33
1598957312,32,0
1598964996,31,59
1598971952,32,0
1598979151,35,26
1598986840,18,58
1598994043,24,40
1599000751,26,0
1599008445,39,92
1599015645,49,32
1599022594,46,17
1599029795,21,0
1599036992,25,47
1599044193,20,25
1599051639,24,45
1599059392,29,23
1599066019,23,29
1599073689,35,34
1599080892,26,23
1599088088,25,45
1599095083,40,52
1599102019,52,0
1599109453,36,65
1599116649,22,20
1599123623,25,25
1599131530,25,20
1599138730,27,38
1599145959,34,28
1599153131,25,32
1599160353,27,32
1599167552,36,40
1599174753,27,43
1599181966,45,52
1599189403,58,32
1599196133,28,23
1599203324,18,30
1599210758,31,39
1599217956,26,31
1599225173,27,27
1599232367,32,41
1599239566,34,34
1599246730,37,0
1599254167,32,57
1599261368,16,39
1599268380,45,63
1599276025,62,28
1599283212,29,23
1599290680,21,23
1599298085,30,24
1599305286,25,31
1599312273,27,35
1599319505,27,33
1599326677,20,34
1599334115,26,35
1599341310,26,31
1599348512,20,45
1599355994,40,63
1599363391,53,30
1599370592,31,23
1599377791,24,27
1599384991,32,27
1599391495,24,0
1599392190,1,23
1599399394,30,22
1599406831,32,20
1599414274,24,24
1599421472,22,29
1599428914,33,22
1599433474,15,0
1599434190,3,0
1599441162,36,47
1599448111,53,52
1599455314,34,19
1599463230,37,17
1599469962,27,22
1599477870,37,196
1599485072,36,20
1599492511,39,19
1599499962,40,34
1599507155,35,29
1599514592,28,25
1599521793,26,131
1599528997,56,55
1599536193,66,35
1599543394,41,27
1599550594,30,29
1599557797,28,42
1599564992,39,30
1599572205,27,30
1599580134,31,33
1599587317,29,31
1599592609,7,0
1599594037,34,38
1599601252,29,63
1599609150,36,38
1599616621,58,57
1599623796,61,24
1599631480,34,28
1599638680,33,30
1599645878,39,29
1599652594,35,31
1599659803,28,31
1599667965,32,17
1599674443,30,5
1599681877,33,63
1599689318,25,38
1599696758,33,51
1599703477,54,63
1599710680,55,30
1599717877,39,0
1599725792,22,65
1599733072,30,24
1599740192,31,21
1599747892,26,37
1599754352,41,0
1599762031,40,63
1599769958,42,33
1599777159,23,34
1599784362,32,45
1599791554,51,59
1599799473,41,34
1599806673,29,13
1599813878,27,22
1599821096,23,23
1599827827,23,45
1599835001,39,44
1599842193,37,25
1599849393,26,32
1599856833,28,31
1599864032,29,36
1599871475,43,57
1599878672,44,44
1599885872,46,0
1599893310,26,49
1599900515,30,38
1599907714,34,24
1599914912,21,41
1599922114,30,31
1599929313,36,35
1599936511,20,21
