DateTime,AddedIPs,RemovedIPs
1600435888,7,64
1600437303,4,7
1600438959,6,15
1600439666,8,104
1600440906,28,4
1600442723,15,58
1600443263,4,103
1600446323,31,89
1600447500,5,24
1600450466,0,3376
1600451640,3347,0
1600453528,39,92
1600455366,53,54
1600457665,7,79
1600459405,51,47
1600461269,12,17
1600462629,10,4
1600464326,56,69
1600465822,5,11
1600467196,52,23
1600468463,11,30
1600469883,61,5
1600471523,22,30
1600472064,18,4
1600474266,13,79
1600475670,10,47
1600477174,40,8
1600478437,39,22
1600479266,7,43
1600482868,51,34
1600484513,49,8
1600486464,10,15
1600488598,0,3242
1600490068,3247,0
1600491823,17,13
1600493663,11,11
1600496727,115,9
1600497266,3,6
1600499070,41,28
1600500324,4,3
1600501828,11,69
1600503806,49,124
1600505424,8,91
1600508069,46,124
1600509824,40,21
1600511127,1,7
1600512629,3,89
1600514727,43,11
1600516226,5,59
1600517986,55,13
1600518863,5,48
1600520723,25,33
1600521930,5,2
1600523429,4,124
1600525526,50,170
1600526068,3,93
1600528016,40,50
1600529127,4,5
1600530622,6,12
1600533262,50,98
1600534406,57,9
1600536328,18,59
1600537713,13,9
1600539218,43,60
1600540465,16,12
1600541779,16,6
1600543155,44,52
1600544064,7,11
1600547128,55,47
1600548563,9,6
1600549723,46,50
1600551261,4,4
1600554325,47,51
1600555830,7,11
1600557018,27,8
1600558470,15,6
1600559679,14,7
1600561525,15,53
1600562065,4,54
1600564246,90,63
1600565639,8,7
1600568726,59,14
1600570229,4,51
1600571496,31,11
1600572856,0,2566
1600576467,2591,0
1600578836,10,157
1600581024,12,16
1600583129,81,7
1600585780,51,86
1600587266,10,59
1600589294,116,15
1600591697,39,73
1600593363,83,6
1600594674,9,8
1600597044,98,22
1600600670,126,30
1600602317,4,11
1600604328,66,14
1600605265,4,17
1600606969,63,8
1600608871,11,12
1600611744,62,16
1600612462,6,15
1600614967,38,36
1600616064,1,12
1600617660,34,30
1600618756,10,4
1600620206,14,9
1600621536,65,31
1600623261,9,19
1600626325,50,49
1600626862,5,6
1600628824,0,2900
1600631428,2918,0
1600634066,50,46
1600635211,7,7
1600636723,46,49
1600637660,4,8
1600641268,43,71
1600642558,8,8
1600643979,41,14
1600645435,3,13
1600647926,16,13
1600648465,2,43
1600651269,52,42
1600652064,4,16
1600719809,184,901
1600720464,5,6
1600722184,28,49
1600724061,26,15
1600727669,316,54
1600730419,198,24
1600731837,13,17
1600734331,8,88
1600734870,0,24
1600737572,288,50
1600738467,5,14
1600739822,15,3
1600742069,137,52
1600745671,38,71
1600748141,14,9
1600750234,11,11
1600751480,6,90
1600753830,10,21
1600755129,138,30
1600756476,8,44
1600758361,5,101
1600759528,1,3
1600760662,12,27
1600762152,19,74
1600763318,6,3
1600764637,13,15
1600767298,21,81
1600769658,14,90
1600770867,6,9
1600773060,180,58
1600774473,14,15
1600775809,8,12
1600777059,50,54
1600778073,7,11
1600780105,90,57
1600782536,17,16
1600783851,80,33
1600785269,5,13
1600788142,70,33
1600788869,5,16
1600790331,47,62
1600792467,13,22
1600793736,58,2
1600795524,11,47
1600796068,2,12
1600797577,48,54
1600799114,6,7
1600800626,10,13
1600802726,55,40
1600804224,10,14
1600805826,36,48
1600806870,3,19
1600808636,38,54
1600810468,17,11
1600811625,3,6
1600813103,23,16
1600814075,2,32
1600817668,49,32
1600819323,10,55
1600820727,9,4
1600822227,11,6
1600824332,81,6
1600825769,4,4
1600828467,36,4
1600831196,54,7
1600832436,6,5
1600833862,22,6
1600835669,3,9
1600838707,0,2711
1600839268,2710,0
1600841136,90,3
1600842866,13,9
1600844826,46,3
1600846469,6,13
1600848386,23,10
1600850067,10,16
1600853675,81,52
1600855026,14,10
1600857268,50,8
1600858515,15,6
1600860326,48,9
1600861834,12,10
1600863387,8,9
1600865429,15,15
1600866755,10,8
1600868073,16,9
1600869353,8,4
1600871127,84,8
1600871672,2,4
1600872783,7,3
1600874730,13,15
1600877325,109,18
1600878515,6,2
1600879828,7,4
1600881052,28,15
1600882462,7,10
1600884283,24,6
1600885530,5,5
1600886641,6,12
1600889664,41,17
1600891833,34,28
1600893264,13,37
1600894388,10,5
1600896207,33,111
1600897827,7,90
1600899445,40,59
1600900470,8,57
1600902260,47,13
1600904071,4,12
1600905837,7,104
1600907664,4,85
1600908765,4,4
1600910726,86,73
1600912171,2,52
1600913523,42,18
1600914868,1,22
1600916526,3,14
1600918469,5,10
1600920348,60,11
1600922067,7,10
1600923228,6,1
1600925038,3,6
1600925668,2,132
1600927510,110,11
1600929266,7,12
1600932325,5,20
1600933492,5,20
1600934783,60,15
1600936468,8,11
1600937586,4,8
1600938833,3,7
1600940070,2,14
1600942013,9,74
1600943140,5,1
1600944275,2,74
1600946730,9,21
1600948230,8,41
1600949779,10,37
1600950877,3,43
1600953170,11,24
1600954475,5,43
1600957044,10,45
1600958062,5,13
1600959210,3,6
1600960888,145,45
1600961670,4,12
1600964294,207,49
1600965266,15,9
1600967790,55,38
1600968861,9,10
1600971263,80,13
1600972463,20,34
1600973634,28,10
1600975402,66,31
1600977039,23,12
1600978830,53,27
1600979701,11,5
1600982228,65,25
1600983270,17,10
1600985848,48,8
1600986865,10,29
1600989925,51,22
1600991428,6,7
1600993289,10,54
1600994068,9,7
1600995464,46,7
1600997134,42,40
1600997674,3,4
1601000540,44,39
1601001275,3,12
1601003922,50,16
1601004868,6,7
1601007540,36,13
1601008683,6,8
1601009944,7,75
1601011529,0,2916
1601012065,2922,0
1601013757,66,18
1601015670,14,39
1601016896,5,7
1601019270,12,32
1601021188,13,42
1601022870,15,38
1601023983,13,9
1601025932,19,12
1601027067,8,45
1601030065,75,61
1601033131,93,11
1601034626,9,8
1601037267,20,29
1601038640,9,6
1601040868,11,118
1601042009,13,1
1601043370,127,6
1601044470,14,8
1601046856,87,108
1601048070,9,9
1601050251,77,49
1601051664,10,14
1601054336,61,35
1601055468,6,8
1601057275,60,40
1601058866,8,14
1601060013,6,6
1601062462,63,55
1601064566,63,39
1601066071,6,18
1601069126,23,37
1601071450,109,37
1601073266,16,17
1601076866,55,30
1601079929,4,50
1601081430,7,5
1601084069,95,23
1601087665,52,15
1601089078,6,5
1601090729,3,30
1601091269,0,6
1601094875,56,18
1601097202,55,65
1601099428,165,11
1601102060,109,17
1601105126,51,11
1601106624,8,40
1601108023,55,8
1601109177,3,5
1601110595,68,2
1601112329,12,19
1601112868,1,6
1601114546,46,13
1601115927,5,8
1601117424,4,6
1601120072,57,23
1601121183,6,6
1601122894,56,12
1601123663,4,13
1601126726,170,8
1601127265,75,8
1601129466,108,38
1601130848,2,85
1601133446,43,101
1601134468,4,73
1601137304,53,52
1601138068,3,12
1601141127,45,56
1601145267,52,82
1601148867,43,60
1601152469,44,56
1601156060,0,3633
1601158113,3608,0
1601159413,5,16
1601160632,7,6
1601162729,57,11
1601164230,18,15
1601166114,5,72
1601166865,2,9
1601168648,93,49
1601170468,8,21
1601173525,54,16
1601175030,3,54
1601177092,97,47
1601178644,8,21
1601181271,7,22
1601183618,9,102
1601184867,3,10
1601186617,187,5
1601188465,13,17
1601190205,76,14
1601191535,18,4
1601193059,12,15
1601194740,14,23
1601196651,0,3755
1601198630,3878,0
1601199264,6,99
1601200595,60,6
1601201827,12,122
1601202869,8,13
1601204122,6,6
1601205924,57,11
1601207428,7,12
1601209365,63,15
1601210066,1,14
1601212410,52,75
1601217270,63,82
1601219769,51,35
1601220869,4,15
1601222489,50,37
1601224468,76,21
1601225760,53,11
1601227287,56,34
1601228067,6,13
1601230734,62,47
1601231666,3,18
1601233714,70,49
1601235265,7,20
1601236775,55,17
1601238331,8,5
1601241924,38,78
1601243423,11,15
1601246073,48,46
1601247770,4,14
1601249669,1,13
1601252029,66,35
1601253314,83,39
1601256868,42,66
1601260470,19,25
1601264065,33,46
1601266250,15,21
1601267668,10,43
1601269872,20,116
1601271070,0,3770
1601273851,3843,0
1601274871,11,34
1601278450,0,3820
1601281117,3724,0
1601282225,8,19
1601284284,17,46
1601285672,16,11
1601286938,10,2
1601288725,42,62
1601289269,27,15
1601291786,159,87
1601293452,47,20
1601295175,27,54
1601296472,16,95
1601299002,21,124
1601300068,9,11
1601301187,12,5
1601303133,21,59
1601304629,16,8
1601305848,6,50
1601307264,7,11
1601308763,13,56
1601309882,7,1
1601310871,4,3
1601313219,204,51
1601314466,7,9
1601317197,0,3621
1601318369,3643,0
1601320417,71,63
1601321851,110,16
1601323701,134,8
1601325265,3,19
1601327548,7,88
1601328868,12,22
1601330357,10,18
1601331936,5,13
1601332473,6,57
1601334700,16,23
1601336086,3,9
1601338472,8,22
1601339674,5,33
1601341158,6,8
1601342729,6,4
1601343270,3,23
1601345182,6,22
1601346332,3,3
1601347833,4,32
1601349301,40,7
1601350857,9,11
1601353538,15,12
1601354800,13,8
1601356987,16,69
1601357672,2,23
1601360077,197,26
1601361742,15,75
1601363395,13,16
1601364875,16,15
1601368468,22,91
1601369958,8,40
1601371536,12,7
1601373246,12,24
1601374517,4,34
