DateTime,Entries,UniqueIPs
1600435888,11646,11646
1600437303,11643,11643
1600438959,11634,11634
1600439666,11538,11538
1600440906,11562,11562
1600442723,11519,11519
1600443263,11420,11420
1600446323,11362,11362
1600447500,11343,11343
1600450466,7967,7967
1600451640,11314,11314
1600453528,11261,11261
1600455366,11260,11260
1600457665,11188,11188
1600459405,11192,11192
1600461269,11187,11187
1600462629,11193,11193
1600464326,11180,11180
1600465822,11174,11174
1600467196,11203,11203
1600468463,11184,11184
1600469883,11240,11240
1600471523,11232,11232
1600472064,11246,11246
1600474266,11180,11180
1600475670,11143,11143
1600477174,11175,11175
1600478437,11192,11192
1600479266,11156,11156
1600482868,11173,11173
1600484513,11214,11214
1600486464,11209,11209
1600488598,7967,7967
1600490068,11214,11214
1600491823,11218,11218
1600493663,11218,11218
1600496727,11324,11324
1600497266,11321,11321
1600499070,11334,11334
1600500324,11335,11335
1600501828,11277,11277
1600503806,11202,11202
1600505424,11119,11119
1600508069,11041,11041
1600509824,11060,11060
1600511127,11054,11054
1600512629,10968,10968
1600514727,11000,11000
1600516226,10946,10946
1600517986,10988,10988
1600518863,10945,10945
1600520723,10937,10937
1600521930,10940,10940
1600523429,10820,10820
1600525526,10700,10700
1600526068,10610,10610
1600528016,10600,10600
1600529127,10599,10599
1600530622,10593,10593
1600533262,10545,10545
1600534406,10593,10593
1600536328,10552,10552
1600537713,10556,10556
1600539218,10539,10539
1600540465,10543,10543
1600541779,10553,10553
1600543155,10545,10545
1600544064,10541,10541
1600547128,10549,10549
1600548563,10552,10552
1600549723,10548,10548
1600551261,10548,10548
1600554325,10544,10544
1600555830,10540,10540
1600557018,10559,10559
1600558470,10568,10568
1600559679,10575,10575
1600561525,10537,10537
1600562065,10487,10487
1600564246,10514,10514
1600565639,10515,10515
1600568726,10560,10560
1600570229,10513,10513
1600571496,10533,10533
1600572856,7967,7967
1600576467,10558,10558
1600578836,10411,10411
1600581024,10407,10407
1600583129,10481,10481
1600585780,10446,10446
1600587266,10397,10397
1600589294,10498,10498
1600591697,10464,10464
1600593363,10541,10541
1600594674,10542,10542
1600597044,10618,10618
1600600670,10714,10714
1600602317,10707,10707
1600604328,10759,10759
1600605265,10746,10746
1600606969,10801,10801
1600608871,10800,10800
1600611744,10846,10846
1600612462,10837,10837
1600614967,10839,10839
1600616064,10828,10828
1600617660,10832,10832
1600618756,10838,10838
1600620206,10843,10843
1600621536,10877,10877
1600623261,10867,10867
1600626325,10868,10868
1600626862,10867,10867
1600628824,7967,7967
1600631428,10885,10885
1600634066,10889,10889
1600635211,10889,10889
1600636723,10886,10886
1600637660,10882,10882
1600641268,10854,10854
1600642558,10854,10854
1600643979,10881,10881
1600645435,10871,10871
1600647926,10874,10874
1600648465,10833,10833
1600651269,10843,10843
1600652064,10831,10831
1600719809,10114,10114
1600720464,10113,10113
1600722184,10092,10092
1600724061,10103,10103
1600727669,10365,10365
1600730419,10539,10539
1600731837,10535,10535
1600734331,10455,10455
1600734870,10431,10431
1600737572,10669,10669
1600738467,10660,10660
1600739822,10672,10672
1600742069,10757,10757
1600745671,10724,10724
1600748141,10729,10729
1600750234,10729,10729
1600751480,10645,10645
1600753830,10634,10634
1600755129,10742,10742
1600756476,10706,10706
1600758361,10610,10610
1600759528,10608,10608
1600760662,10593,10593
1600762152,10538,10538
1600763318,10541,10541
1600764637,10539,10539
1600767298,10479,10479
1600769658,10403,10403
1600770867,10400,10400
1600773060,10522,10522
1600774473,10521,10521
1600775809,10517,10517
1600777059,10513,10513
1600778073,10509,10509
1600780105,10542,10542
1600782536,10543,10543
1600783851,10590,10590
1600785269,10582,10582
1600788142,10619,10619
1600788869,10608,10608
1600790331,10593,10593
1600792467,10584,10584
1600793736,10640,10640
1600795524,10604,10604
1600796068,10594,10594
1600797577,10588,10588
1600799114,10587,10587
1600800626,10584,10584
1600802726,10599,10599
1600804224,10595,10595
1600805826,10583,10583
1600806870,10567,10567
1600808636,10551,10551
1600810468,10557,10557
1600811625,10554,10554
1600813103,10561,10561
1600814075,10531,10531
1600817668,10548,10548
1600819323,10503,10503
1600820727,10508,10508
1600822227,10513,10513
1600824332,10588,10588
1600825769,10588,10588
1600828467,10620,10620
1600831196,10667,10667
1600832436,10668,10668
1600833862,10684,10684
1600835669,10678,10678
1600838707,7967,7967
1600839268,10677,10677
1600841136,10764,10764
1600842866,10768,10768
1600844826,10811,10811
1600846469,10804,10804
1600848386,10817,10817
1600850067,10811,10811
1600853675,10840,10840
1600855026,10844,10844
1600857268,10886,10886
1600858515,10895,10895
1600860326,10934,10934
1600861834,10936,10936
1600863387,10935,10935
1600865429,10935,10935
1600866755,10937,10937
1600868073,10944,10944
1600869353,10948,10948
1600871127,11024,11024
1600871672,11022,11022
1600872783,11026,11026
1600874730,11024,11024
1600877325,11115,11115
1600878515,11119,11119
1600879828,11122,11122
1600881052,11135,11135
1600882462,11132,11132
1600884283,11150,11150
1600885530,11150,11150
1600886641,11144,11144
1600889664,11168,11168
1600891833,11174,11174
1600893264,11150,11150
1600894388,11155,11155
1600896207,11077,11077
1600897827,10994,10994
1600899445,10975,10975
1600900470,10926,10926
1600902260,10960,10960
1600904071,10952,10952
1600905837,10855,10855
1600907664,10774,10774
1600908765,10774,10774
1600910726,10787,10787
1600912171,10737,10737
1600913523,10761,10761
1600914868,10740,10740
1600916526,10729,10729
1600918469,10724,10724
1600920348,10773,10773
1600922067,10770,10770
1600923228,10775,10775
1600925038,10772,10772
1600925668,10642,10642
1600927510,10741,10741
1600929266,10736,10736
1600932325,10721,10721
1600933492,10706,10706
1600934783,10751,10751
1600936468,10748,10748
1600937586,10744,10744
1600938833,10740,10740
1600940070,10728,10728
1600942013,10663,10663
1600943140,10667,10667
1600944275,10595,10595
1600946730,10583,10583
1600948230,10550,10550
1600949779,10523,10523
1600950877,10483,10483
1600953170,10470,10470
1600954475,10432,10432
1600957044,10397,10397
1600958062,10389,10389
1600959210,10386,10386
1600960888,10486,10486
1600961670,10478,10478
1600964294,10636,10636
1600965266,10642,10642
1600967790,10659,10659
1600968861,10658,10658
1600971263,10725,10725
1600972463,10711,10711
1600973634,10729,10729
1600975402,10764,10764
1600977039,10775,10775
1600978830,10801,10801
1600979701,10807,10807
1600982228,10847,10847
1600983270,10854,10854
1600985848,10894,10894
1600986865,10875,10875
1600989925,10904,10904
1600991428,10903,10903
1600993289,10859,10859
1600994068,10861,10861
1600995464,10900,10900
1600997134,10902,10902
1600997674,10901,10901
1601000540,10906,10906
1601001275,10897,10897
1601003922,10931,10931
1601004868,10930,10930
1601007540,10953,10953
1601008683,10951,10951
1601009944,10883,10883
1601011529,7967,7967
1601012065,10889,10889
1601013757,10937,10937
1601015670,10912,10912
1601016896,10910,10910
1601019270,10890,10890
1601021188,10861,10861
1601022870,10838,10838
1601023983,10842,10842
1601025932,10849,10849
1601027067,10812,10812
1601030065,10826,10826
1601033131,10908,10908
1601034626,10909,10909
1601037267,10900,10900
1601038640,10903,10903
1601040868,10796,10796
1601042009,10808,10808
1601043370,10929,10929
1601044470,10935,10935
1601046856,10914,10914
1601048070,10914,10914
1601050251,10942,10942
1601051664,10938,10938
1601054336,10964,10964
1601055468,10962,10962
1601057275,10982,10982
1601058866,10976,10976
1601060013,10976,10976
1601062462,10984,10984
1601064566,11008,11008
1601066071,10996,10996
1601069126,10982,10982
1601071450,11054,11054
1601073266,11053,11053
1601076866,11078,11078
1601079929,11032,11032
1601081430,11034,11034
1601084069,11106,11106
1601087665,11143,11143
1601089078,11144,11144
1601090729,11117,11117
1601091269,11111,11111
1601094875,11149,11149
1601097202,11139,11139
1601099428,11293,11293
1601102060,11385,11385
1601105126,11425,11425
1601106624,11393,11393
1601108023,11440,11440
1601109177,11438,11438
1601110595,11504,11504
1601112329,11497,11497
1601112868,11492,11492
1601114546,11525,11525
1601115927,11522,11522
1601117424,11520,11520
1601120072,11554,11554
1601121183,11554,11554
1601122894,11598,11598
1601123663,11589,11589
1601126726,11751,11751
1601127265,11818,11818
1601129466,11888,11888
1601130848,11805,11805
1601133446,11747,11747
1601134468,11678,11678
1601137304,11679,11679
1601138068,11670,11670
1601141127,11659,11659
1601145267,11629,11629
1601148867,11612,11612
1601152469,11600,11600
1601156060,7967,7967
1601158113,11575,11575
1601159413,11564,11564
1601160632,11565,11565
1601162729,11611,11611
1601164230,11614,11614
1601166114,11547,11547
1601166865,11540,11540
1601168648,11584,11584
1601170468,11571,11571
1601173525,11609,11609
1601175030,11558,11558
1601177092,11608,11608
1601178644,11595,11595
1601181271,11580,11580
1601183618,11487,11487
1601184867,11480,11480
1601186617,11662,11662
1601188465,11658,11658
1601190205,11720,11720
1601191535,11734,11734
1601193059,11731,11731
1601194740,11722,11722
1601196651,7967,7967
1601198630,11845,11845
1601199264,11752,11752
1601200595,11806,11806
1601201827,11696,11696
1601202869,11691,11691
1601204122,11691,11691
1601205924,11737,11737
1601207428,11732,11732
1601209365,11780,11780
1601210066,11767,11767
1601212410,11744,11744
1601217270,11725,11725
1601219769,11741,11741
1601220869,11730,11730
1601222489,11743,11743
1601224468,11798,11798
1601225760,11840,11840
1601227287,11862,11862
1601228067,11855,11855
1601230734,11870,11870
1601231666,11855,11855
1601233714,11876,11876
1601235265,11863,11863
1601236775,11901,11901
1601238331,11904,11904
1601241924,11864,11864
1601243423,11860,11860
1601246073,11862,11862
1601247770,11852,11852
1601249669,11840,11840
1601252029,11871,11871
1601253314,11915,11915
1601256868,11891,11891
1601260470,11885,11885
1601264065,11872,11872
1601266250,11866,11866
1601267668,11833,11833
1601269872,11737,11737
1601271070,7967,7967
1601273851,11810,11810
1601274871,11787,11787
1601278450,7967,7967
1601281117,11691,11691
1601282225,11680,11680
1601284284,11651,11651
1601285672,11656,11656
1601286938,11664,11664
1601288725,11644,11644
1601289269,11656,11656
1601291786,11728,11728
1601293452,11755,11755
1601295175,11728,11728
1601296472,11649,11649
1601299002,11546,11546
1601300068,11544,11544
1601301187,11551,11551
1601303133,11513,11513
1601304629,11521,11521
1601305848,11477,11477
1601307264,11473,11473
1601308763,11430,11430
1601309882,11436,11436
1601310871,11437,11437
1601313219,11590,11590
1601314466,11588,11588
1601317197,7967,7967
1601318369,11610,11610
1601320417,11618,11618
1601321851,11712,11712
1601323701,11838,11838
1601325265,11822,11822
1601327548,11741,11741
1601328868,11731,11731
1601330357,11723,11723
1601331936,11715,11715
1601332473,11664,11664
1601334700,11657,11657
1601336086,11651,11651
1601338472,11637,11637
1601339674,11609,11609
1601341158,11607,11607
1601342729,11609,11609
1601343270,11589,11589
1601345182,11573,11573
1601346332,11573,11573
1601347833,11545,11545
1601349301,11578,11578
1601350857,11576,11576
1601353538,11579,11579
1601354800,11584,11584
1601356987,11531,11531
1601357672,11510,11510
1601360077,11681,11681
1601361742,11621,11621
1601363395,11618,11618
1601364875,11619,11619
1601368468,11550,11550
1601369958,11518,11518
1601371536,11523,11523
1601373246,11511,11511
1601374517,11481,11481
