DateTime,AddedIPs,RemovedIPs
1599623143,1,0
1599628119,2,0
1599633274,0,2
1599634743,3,0
1599637763,1,1
1599639029,1,1
1599640482,0,3
1599641714,1,0
1599643078,2,0
1599646940,3,0
1599647681,0,1
1599649487,1,1
1599651278,1,0
1599654334,27,0
1599660900,0,1
1599663947,1,0
1599665672,0,1
1599669276,2,2
1599671013,2,1
1599672874,0,1
1599675930,2,0
1599676471,1,0
1599678058,2,0
1599691979,1,0
1599697552,1,0
1599699081,1,0
1599700215,2,0
1599708344,1,0
1599712479,1,0
1599726876,2,0
1599728218,1,0
1599729646,4,0
1599731183,7,0
1599732769,3,1
1599736674,1,0
1599738454,0,1
1599744340,0,2
1599747718,0,1
1599748476,1,0
1599751535,1,0
1599753047,0,1
1599754679,1,0
1599762330,1,0
1599763480,1,0
1599764731,1,0
1599777280,1,1
1599781873,1,0
1599783823,1,0
1599787534,1,1
1599791680,0,1
1599795282,0,1
1599800153,2,0
1599812736,0,1
1599813268,0,1
1599816010,1,0
1599816874,0,3
1599819054,1,1
1599824073,0,51
1599826771,1,0
1599827677,1,0
1599830306,3,0
1599833512,0,1
1599836799,0,2
1599839264,0,1
1599840375,0,2
1599842075,0,1
1599845671,0,3
1599847546,0,2
1599855036,2,0
1599862187,1,0
1599867271,1,2
1599869663,0,3
1599878074,0,1
1599881022,1,0
1599884236,1,0
1599892471,1,0
1599896074,1,1
1599898745,2,2
1599899673,0,4
1599903278,1,9
1599905194,0,1
1599920485,0,1
1599921267,0,1
1599924215,2,0
1599924879,0,2
1599930445,0,1
1599933199,1,1
1599934975,0,1
1599946477,1,1
1599953681,0,2
1599956752,1,1
1599959567,1,0
1599961873,3,0
1599969078,2,1
1599970222,0,1
1599973449,1,0
1599979990,2,0
1599981935,2,0
1599985523,1,0
1599986072,0,1
1599988411,2,0
1599989670,0,1
1599993273,1,0
1599996873,1,1
1599998081,0,2
1599999931,0,2
1600011270,0,1
1600018471,1,0
1600023824,1,0
1600025674,0,1
1600028738,1,0
1600031540,0,1
1600036473,0,1
1600046746,5,0
1600050342,0,1
1600053459,0,1
1600057544,1,0
1600058744,1,0
1600061676,0,1
1600065276,1,0
1600067572,0,1
1600069372,2,2
1600071936,0,1
1600085062,3,0
1600086873,1,0
1600088579,1,0
1600094078,1,2
1600097671,1,0
1600103452,0,1
1600107615,1,0
1600114057,0,1
1600122879,1,0
1600124203,1,0
1600126476,0,1
1600130266,2,3
1600133127,0,1
1600134459,2,0
1600139459,0,2
1600140877,2,0
1600142935,1,0
1600144045,0,1
1600144476,1,1
1600150636,0,4
1600154499,2,1
1600158873,0,2
1600161072,2,0
1600169672,1,0
1600171377,1,0
1600175023,2,0
1600178814,1,0
1600182930,1,0
1600186498,1,0
1600187673,0,1
1600189379,1,0
1600192266,1,1
1600198473,1,1
1600205671,3,0
1600212874,0,1
1600215934,0,1
1600219128,1,5
1600221534,1,0
1600223139,1,0
1600225658,1,1
1600230873,1,0
1600238080,0,2
1600243482,2,0
1600251686,1,0
1600255389,1,3
1600256097,0,1
1600257866,0,1
1600263278,1,1
1600266389,0,1
