DateTime,AddedIPs,RemovedIPs
1600423388,7,103
1600425277,3,95
1600426378,5,6
1600428335,13,45
1600428880,1,107
1600430191,3,4
1600431945,14,6
1600433401,3,20
1600434522,10,12
1600436077,7,64
1600437327,4,7
1600438973,6,15
1600439680,7,104
1600440927,29,4
1600442737,14,58
1600443277,4,103
1600446337,31,89
1600447530,5,24
1600450470,35,57
1600451661,15,19
1600457682,82,209
1600459430,51,47
1600461284,12,16
1600462646,9,3
1600464339,56,69
1600465836,5,11
1600467216,55,23
1600468480,9,31
1600469938,57,8
1600471537,22,21
1600472079,16,4
1600474284,13,79
1600477198,51,55
1600478465,36,22
1600479283,7,44
1600482882,51,33
1600484539,46,10
1600486482,10,10
1600488622,8,8
1600490085,9,4
1600491844,17,12
1600493679,10,11
1600496741,115,8
1600497279,3,6
1600499084,41,28
1600500338,4,3
1600501878,12,72
1600503824,48,121
1600505439,7,91
1600508082,46,124
1600509840,37,21
1600511142,1,5
1600512686,3,91
1600514740,43,9
1600516282,5,64
1600518003,55,9
1600518878,5,47
1600520737,25,33
1600521943,5,2
1600523484,4,176
1600525539,50,118
1600526082,5,93
1600528043,38,50
1600529140,4,5
1600530636,6,11
1600533275,50,97
1600534420,57,9
1600536343,19,59
1600537727,12,9
1600539231,43,60
1600540479,16,12
1600541792,16,6
1600543172,44,52
1600544078,7,11
1600547147,56,47
1600548585,9,6
1600549737,45,50
1600551275,4,5
1600554340,47,50
1600555883,7,12
1600557035,27,7
1600558490,14,6
1600559704,13,6
1600561540,16,53
1600562082,3,54
1600564255,90,53
1600565668,7,7
1600568743,59,14
1600570288,4,51
1600571554,31,10
1600572877,3,15
1600576482,54,17
1600578860,10,157
1600581040,12,16
1600583143,81,7
1600585794,51,86
1600587280,10,59
1600589316,116,16
1600591712,39,73
1600593405,83,6
1600594696,9,8
1600597077,98,22
1600600684,127,31
1600602345,4,10
1600604342,66,14
1600605310,4,17
1600607003,64,8
1600608885,10,12
1600611757,62,16
1600612475,6,15
1600614988,38,36
1600616078,1,12
1600618884,41,31
1600621549,79,40
1600623276,9,19
1600626340,51,49
1600626877,4,6
1600628840,54,35
1600631442,15,15
1600634080,49,46
1600635226,7,8
1600636737,46,48
1600637676,4,8
1600641285,43,71
1600642583,8,8
1600643995,41,14
1600645456,3,13
1600647940,16,12
1600648480,2,44
1600651294,53,42
1600652080,4,17
1600719839,173,897
1600720479,5,6
1600722233,25,49
1600724077,26,15
1600727685,316,54
1600730441,194,23
1600731863,13,17
1600734349,7,88
1600734886,0,24
1600737604,286,50
1600738484,4,13
1600739846,19,3
1600742085,132,52
1600745688,37,71
1600748167,13,9
1600750251,10,11
1600751498,5,90
1600753844,10,21
1600755187,136,31
1600756495,7,42
1600758384,4,101
1600759544,1,3
1600760678,10,27
1600762177,18,74
1600763385,5,15
1600764653,14,2
1600767317,19,81
1600768580,6,7
1600769674,7,83
1600770882,6,10
1600773091,181,58
1600774489,14,16
1600775825,6,12
1600777082,49,53
1600778105,7,11
1600780122,89,57
1600782563,17,16
1600783874,80,33
1600785285,5,13
1600788161,69,33
1600788882,5,15
1600790351,46,62
1600792482,12,21
1600793749,58,2
1600795539,10,47
1600796083,2,12
1600797593,47,54
1600799143,5,7
1600800640,8,13
1600802741,54,40
1600804240,10,14
1600805854,36,48
1600806886,3,19
1600808663,38,54
1600810482,7,11
1600811639,3,6
1600813127,23,16
1600814092,1,32
1600817682,48,32
1600819358,11,54
1600820741,9,4
1600822243,10,6
1600824347,81,6
1600825784,4,4
1600828483,36,3
1600831227,54,6
1600832454,6,5
1600833891,21,6
1600835685,3,8
1600838734,14,13
1600839284,1,3
1600841150,90,3
1600842881,13,9
1600844852,45,3
1600846482,6,13
1600848403,22,10
1600850083,10,15
1600853691,81,52
1600855048,15,10
1600857286,49,8
1600858531,15,6
1600860341,48,10
1600861850,12,9
1600863427,8,9
1600865445,16,14
1600866769,9,8
1600868091,16,9
1600869370,8,4
1600871142,84,8
1600871688,2,4
1600872807,7,4
1600874745,13,14
1600877340,108,18
1600878530,6,2
1600879844,7,4
1600881071,28,15
1600882476,6,10
1600884297,24,6
1600885545,5,5
1600886676,6,11
1600889678,42,17
1600891850,34,26
1600893281,13,37
1600894405,9,5
1600896222,33,111
1600897843,7,90
1600899467,40,57
1600900485,8,56
1600902276,47,13
1600904087,4,11
1600905861,8,103
1600907679,2,84
1600908789,3,4
1600910741,86,68
1600912186,2,52
1600913631,42,18
1600914884,1,22
1600916578,4,14
1600918530,4,10
1600920365,59,10
1600922083,7,8
1600923249,6,1
1600925061,3,5
1600925683,2,132
1600927537,110,10
1600929284,7,12
1600932340,5,18
1600933528,6,20
1600934805,58,14
1600936486,8,10
1600937608,4,8
1600938862,3,8
1600940087,2,11
1600942038,9,73
1600943159,5,1
1600944306,2,74
1600946748,9,19
1600948249,8,40
1600949795,10,35
1600950897,3,43
1600953206,12,23
1600954492,4,43
1600957064,10,44
1600958077,5,13
1600959223,4,5
1600960901,143,45
1600961683,4,10
1600964313,207,48
1600965281,16,9
1600967841,56,36
1600968878,8,7
1600971283,80,11
1600972477,21,35
1600973650,27,10
1600975419,66,31
1600977053,23,12
1600978846,54,27
1600979719,10,6
1600982246,66,25
1600983283,17,10
1600985866,48,8
1600986884,10,29
1600989940,51,21
1600991445,6,7
1600993304,10,54
1600994084,9,7
1600995480,49,7
1600997150,39,40
1600997689,3,4
1601000562,44,39
1601001290,2,12
1601003937,50,16
1601004884,6,7
1601007564,36,13
1601008706,5,8
1601009960,7,75
1601011540,13,6
1601012079,3,4
1601013791,67,18
1601015688,12,39
1601016926,6,7
1601019285,13,33
1601021204,12,42
1601022888,15,39
1601024009,12,8
1601025948,18,11
1601027100,7,45
1601030081,75,61
1601033145,93,11
1601034642,9,8
1601037319,20,29
1601038657,9,6
1601040884,11,118
1601042024,13,1
1601043392,128,6
1601044485,15,8
1601046874,84,107
1601048088,11,9
1601051680,81,60
1601054358,57,35
1601055489,6,7
1601057297,59,40
1601058880,8,14
1601060026,6,6
1601062477,63,55
1601064580,63,38
1601066090,6,18
1601069142,23,37
1601071481,109,37
1601073285,17,17
1601076882,54,29
1601079944,4,49
1601081451,6,5
1601084085,95,23
1601087680,52,15
1601089142,7,14
1601090745,2,21
1601091286,0,6
1601094891,56,19
1601097219,60,65
1601099443,160,11
1601102073,109,17
1601105139,51,11
1601106639,7,40
1601108035,56,8
1601109204,3,5
1601110608,66,2
1601112344,12,19
1601112883,1,5
1601114572,46,13
1601115943,5,9
1601117441,4,5
1601120087,57,23
1601121203,6,6
1601122918,56,12
1601123679,4,14
1601126739,169,8
1601127280,76,7
1601129486,107,38
1601130862,2,85
1601133462,44,101
1601134514,3,73
1601137318,53,52
1601138084,3,12
1601141142,45,56
1601145282,52,80
1601148881,43,60
1601152485,44,56
1601156077,9,62
1601158131,79,51
1601159450,6,16
1601160648,7,6
1601162745,56,11
1601164246,18,15
1601166136,5,72
1601166880,2,9
1601168674,93,49
1601170483,7,19
1601173539,54,17
1601175048,3,54
1601177131,98,37
1601178669,6,20
1601181288,8,22
1601183633,8,102
1601184884,3,9
1601186643,186,5
1601188480,13,16
1601190245,78,14
1601191549,15,4
1601193075,13,15
1601194763,14,23
1601196686,16,13
1601199279,144,116
1601200611,59,6
1601201852,12,122
1601202886,8,13
1601204136,6,5
1601205939,57,11
1601207444,6,12
1601209382,63,16
1601210082,1,14
1601212427,51,75
1601217286,64,81
1601219799,51,34
1601220885,4,15
1601222522,50,33
1601224485,76,21
1601225785,60,11
1601227303,50,34
1601228082,5,12
1601230758,61,47
1601231682,4,18
1601233729,69,49
1601235281,7,20
1601236789,55,17
1601238351,7,6
1601241939,38,78
1601243438,7,15
1601246092,48,46
1601247799,4,14
1601249686,2,12
1601252044,65,35
1601253336,83,39
1601256885,41,66
1601260488,20,26
1601264082,33,45
1601267691,25,64
1601269890,20,115
1601271097,7,19
1601273874,100,15
1601274889,11,34
1601278477,32,80
1601281147,22,69
1601282248,8,19
1601284302,17,46
1601285718,16,11
1601286953,10,2
1601288742,43,62
1601289283,28,15
1601291817,155,87
1601293483,48,20
1601295199,26,54
1601296490,16,94
1601299022,21,123
1601300086,8,10
1601303151,32,63
1601304649,15,8
1601305867,7,49
1601307280,6,11
1601308783,13,56
1601309908,7,1
1601310886,5,3
1601313234,203,51
1601314481,7,9
1601317224,68,51
1601318384,20,16
1601320431,74,63
1601321866,95,16
1601323720,134,8
1601325283,2,17
1601327605,7,88
1601330375,20,39
1601331952,5,13
1601332492,6,57
1601334715,16,23
1601336108,3,9
1601338488,8,22
1601339692,5,33
1601341178,6,8
1601342744,6,4
1601343286,3,23
1601345206,6,22
1601346349,3,3
1601347850,4,31
1601349336,40,7
1601350889,9,11
1601353559,15,10
1601354854,13,8
1601357009,15,69
1601357688,3,23
1601360092,196,25
1601361768,16,75
1601363431,14,16
1601364893,14,15
1601368486,21,91
1601369976,8,40
1601371551,12,7
1601373262,11,24
1601374561,4,34
