DateTime,Entries,UniqueIPs
1600423388,3961,3961
1600425277,3869,3869
1600426378,3868,3868
1600428335,3836,3836
1600428880,3730,3730
1600430191,3729,3729
1600431945,3737,3737
1600433401,3720,3720
1600434522,3718,3718
1600436077,3661,3661
1600437327,3658,3658
1600438973,3649,3649
1600439680,3552,3552
1600440927,3577,3577
1600442737,3533,3533
1600443277,3434,3434
1600446337,3376,3376
1600447530,3357,3357
1600450470,3335,3335
1600451661,3331,3331
1600457682,3204,3204
1600459430,3208,3208
1600461284,3204,3204
1600462646,3210,3210
1600464339,3197,3197
1600465836,3191,3191
1600467216,3223,3223
1600468480,3201,3201
1600469938,3250,3250
1600471537,3251,3251
1600472079,3263,3263
1600474284,3197,3197
1600477198,3193,3193
1600478465,3207,3207
1600479283,3170,3170
1600482882,3188,3188
1600484539,3224,3224
1600486482,3224,3224
1600488622,3224,3224
1600490085,3229,3229
1600491844,3234,3234
1600493679,3233,3233
1600496741,3340,3340
1600497279,3337,3337
1600499084,3350,3350
1600500338,3351,3351
1600501878,3291,3291
1600503824,3218,3218
1600505439,3134,3134
1600508082,3056,3056
1600509840,3072,3072
1600511142,3068,3068
1600512686,2980,2980
1600514740,3014,3014
1600516282,2955,2955
1600518003,3001,3001
1600518878,2959,2959
1600520737,2951,2951
1600521943,2954,2954
1600523484,2782,2782
1600525539,2714,2714
1600526082,2626,2626
1600528043,2614,2614
1600529140,2613,2613
1600530636,2608,2608
1600533275,2561,2561
1600534420,2609,2609
1600536343,2569,2569
1600537727,2572,2572
1600539231,2555,2555
1600540479,2559,2559
1600541792,2569,2569
1600543172,2561,2561
1600544078,2557,2557
1600547147,2566,2566
1600548585,2569,2569
1600549737,2564,2564
1600551275,2563,2563
1600554340,2560,2560
1600555883,2555,2555
1600557035,2575,2575
1600558490,2583,2583
1600559704,2590,2590
1600561540,2553,2553
1600562082,2502,2502
1600564255,2539,2539
1600565668,2539,2539
1600568743,2584,2584
1600570288,2537,2537
1600571554,2558,2558
1600572877,2546,2546
1600576482,2583,2583
1600578860,2436,2436
1600581040,2432,2432
1600583143,2506,2506
1600585794,2471,2471
1600587280,2422,2422
1600589316,2522,2522
1600591712,2488,2488
1600593405,2565,2565
1600594696,2566,2566
1600597077,2642,2642
1600600684,2738,2738
1600602345,2732,2732
1600604342,2784,2784
1600605310,2771,2771
1600607003,2827,2827
1600608885,2825,2825
1600611757,2871,2871
1600612475,2862,2862
1600614988,2864,2864
1600616078,2853,2853
1600618884,2863,2863
1600621549,2902,2902
1600623276,2892,2892
1600626340,2894,2894
1600626877,2892,2892
1600628840,2911,2911
1600631442,2911,2911
1600634080,2914,2914
1600635226,2913,2913
1600636737,2911,2911
1600637676,2907,2907
1600641285,2879,2879
1600642583,2879,2879
1600643995,2906,2906
1600645456,2896,2896
1600647940,2900,2900
1600648480,2858,2858
1600651294,2869,2869
1600652080,2856,2856
1600719839,2132,2132
1600720479,2131,2131
1600722233,2107,2107
1600724077,2118,2118
1600727685,2380,2380
1600730441,2551,2551
1600731863,2547,2547
1600734349,2466,2466
1600734886,2442,2442
1600737604,2678,2678
1600738484,2669,2669
1600739846,2685,2685
1600742085,2765,2765
1600745688,2731,2731
1600748167,2735,2735
1600750251,2734,2734
1600751498,2649,2649
1600753844,2638,2638
1600755187,2743,2743
1600756495,2708,2708
1600758384,2611,2611
1600759544,2609,2609
1600760678,2592,2592
1600762177,2536,2536
1600763385,2526,2526
1600764653,2538,2538
1600767317,2476,2476
1600768580,2475,2475
1600769674,2399,2399
1600770882,2395,2395
1600773091,2518,2518
1600774489,2516,2516
1600775825,2510,2510
1600777082,2506,2506
1600778105,2502,2502
1600780122,2534,2534
1600782563,2535,2535
1600783874,2582,2582
1600785285,2574,2574
1600788161,2610,2610
1600788882,2600,2600
1600790351,2584,2584
1600792482,2575,2575
1600793749,2631,2631
1600795539,2594,2594
1600796083,2584,2584
1600797593,2577,2577
1600799143,2575,2575
1600800640,2570,2570
1600802741,2584,2584
1600804240,2580,2580
1600805854,2568,2568
1600806886,2552,2552
1600808663,2536,2536
1600810482,2532,2532
1600811639,2529,2529
1600813127,2536,2536
1600814092,2505,2505
1600817682,2521,2521
1600819358,2478,2478
1600820741,2483,2483
1600822243,2487,2487
1600824347,2562,2562
1600825784,2562,2562
1600828483,2595,2595
1600831227,2643,2643
1600832454,2644,2644
1600833891,2659,2659
1600835685,2654,2654
1600838734,2655,2655
1600839284,2653,2653
1600841150,2740,2740
1600842881,2744,2744
1600844852,2786,2786
1600846482,2779,2779
1600848403,2791,2791
1600850083,2786,2786
1600853691,2815,2815
1600855048,2820,2820
1600857286,2861,2861
1600858531,2870,2870
1600860341,2908,2908
1600861850,2911,2911
1600863427,2910,2910
1600865445,2912,2912
1600866769,2913,2913
1600868091,2920,2920
1600869370,2924,2924
1600871142,3000,3000
1600871688,2998,2998
1600872807,3001,3001
1600874745,3000,3000
1600877340,3090,3090
1600878530,3094,3094
1600879844,3097,3097
1600881071,3110,3110
1600882476,3106,3106
1600884297,3124,3124
1600885545,3124,3124
1600886676,3119,3119
1600889678,3144,3144
1600891850,3152,3152
1600893281,3128,3128
1600894405,3132,3132
1600896222,3054,3054
1600897843,2971,2971
1600899467,2954,2954
1600900485,2906,2906
1600902276,2940,2940
1600904087,2933,2933
1600905861,2838,2838
1600907679,2756,2756
1600908789,2755,2755
1600910741,2773,2773
1600912186,2723,2723
1600913631,2747,2747
1600914884,2726,2726
1600916578,2716,2716
1600918530,2710,2710
1600920365,2759,2759
1600922083,2758,2758
1600923249,2763,2763
1600925061,2761,2761
1600925683,2631,2631
1600927537,2731,2731
1600929284,2726,2726
1600932340,2713,2713
1600933528,2699,2699
1600934805,2743,2743
1600936486,2741,2741
1600937608,2737,2737
1600938862,2732,2732
1600940087,2723,2723
1600942038,2659,2659
1600943159,2663,2663
1600944306,2591,2591
1600946748,2581,2581
1600948249,2549,2549
1600949795,2524,2524
1600950897,2484,2484
1600953206,2473,2473
