DateTime,AddedIPs,RemovedIPs
1600468444,63,92
1600469865,94,29
1600471504,97,44
1600472045,33,62
1600474248,116,138
1600475645,89,94
1600477153,92,59
1600478410,105,8
1600479248,54,96
1600480852,104,80
1600482306,83,3
1600482845,16,91
1600484411,110,65
1600485905,79,5
1600486444,28,65
1600488577,103,71
1600490044,83,61
1600491655,89,71
1600493105,84,0
1600493645,31,64
1600496704,229,77
1600497245,31,63
1600499054,119,95
1600500305,57,1
1600501805,91,127
1600503783,140,179
1600505405,101,140
1600508045,162,274
1600509786,94,79
1600511107,61,1
1600512605,69,388
1600514704,132,403
1600515805,56,425
1600517081,114,134
1600518845,92,111
1600520448,294,79
1600521904,109,0
1600523405,59,194
1600525504,139,222
1600526048,30,158
1600527996,105,106
1600529104,44,0
1600530201,61,76
1600532705,140,119
1600533244,20,86
1600534388,92,32
1600536305,70,100
1600537695,52,79
1600539201,95,118
1600540446,105,86
1600541757,79,25
1600543134,83,92
1600544044,40,72
1600547105,172,114
1600548532,52,74
1600549706,94,139
1600551244,64,64
1600554305,135,121
1600555805,54,70
1600556997,77,78
1600558446,65,78
1600559654,67,26
1600561504,80,96
1600562045,24,134
1600563592,123,122
1600565103,61,5
1600566690,81,75
1600568704,100,45
1600570205,54,96
1600571478,91,72
1600572845,53,88
1600576444,178,140
1600578820,70,227
1600581660,157,159
1600583105,58,0
1600585244,118,211
1600587244,77,111
1600589277,217,73
1600591676,153,131
1600593333,145,72
1600594658,47,47
1600597020,159,85
1600600654,249,145
1600602285,55,64
1600603254,82,74
1600605244,91,66
1600606946,121,62
1600608846,86,52
1600611723,151,63
1600612444,34,88
1600614946,142,75
1600616044,40,87
1600617596,68,110
1600618722,47,5
1600620185,72,71
1600621516,88,95
1600623244,75,77
1600626304,140,98
1600626843,46,65
1600628809,136,89
1600629903,53,0
1600631404,53,63
1600634046,146,178
1600635194,47,19
1600636705,84,88
1600637644,40,72
1600641245,145,194
1600642537,64,25
1600643957,87,68
1600645429,46,80
1600647905,108,82
1600648444,15,116
1600650050,99,118
1600651247,40,1
1600652045,39,94
1600716846,3456,3515
1600719782,362,125
1600720443,172,74
1600722162,201,127
1600724044,202,63
1600727645,527,175
1600730392,392,96
1600731818,104,67
1600734306,154,146
1600734850,44,92
1600737511,390,121
1600738445,58,57
1600739801,102,20
1600742045,319,163
1600745645,303,174
1600748090,147,58
1600750206,151,62
1600751460,87,155
1600753806,141,84
1600755110,202,105
1600756445,105,91
1600757549,94,17
1600759377,107,150
1600760637,102,171
1600762133,155,158
1600763290,74,3
1600764606,86,77
1600767278,166,202
1600768535,66,30
1600769635,60,123
1600770845,79,55
1600771940,98,11
1600773109,221,101
1600774444,99,79
1600775790,88,38
1600777039,142,89
1600778050,59,79
1600780078,185,115
1600782502,127,94
1600783831,130,99
1600785245,71,82
1600786796,103,79
1600788117,49,4
1600788846,41,65
1600790278,103,29
1600792444,105,158
