DateTime,Entries,UniqueIPs
1600425268,1691,1691
1600426370,1690,1690
1600428872,1678,1678
1600430177,1677,1677
1600431936,1665,1665
1600433392,1656,1656
1600434514,1643,1643
1600435901,1602,1602
1600436070,1603,1603
1600437312,1601,1601
1600438964,1583,1583
1600439673,1572,1572
1600440914,1549,1549
1600442728,1569,1569
1600443269,1560,1560
1600446329,1568,1568
1600447506,1557,1557
1600451646,1521,1521
1600453533,1503,1503
1600455373,1485,1485
1600457673,1494,1494
1600459412,1494,1494
1600461276,1498,1498
1600462637,1491,1491
1600464331,1495,1495
1600465827,1494,1494
1600467204,1471,1471
1600468470,1471,1471
1600469925,1445,1445
1600471529,1468,1468
1600472071,1462,1462
1600474275,1477,1477
1600475677,1475,1475
1600477181,1454,1454
1600478449,1481,1481
1600479272,1471,1471
1600482874,1454,1454
1600484519,1444,1444
1600486470,1462,1462
1600490076,1459,1459
1600491829,1474,1474
1600493669,1478,1478
1600496733,1466,1466
1600497272,1459,1459
1600499076,1461,1461
1600500330,1469,1469
1600501833,1471,1471
1600503816,1478,1478
1600505429,1482,1482
1600508075,1471,1471
1600509831,1466,1466
1600511133,1479,1479
1600512635,1478,1478
1600514732,1485,1485
1600516237,1490,1490
1600517994,1496,1496
1600518869,1495,1495
1600520730,1503,1503
1600521936,1515,1515
1600523434,1509,1509
1600525531,1511,1511
1600526074,1498,1498
1600528022,1499,1499
1600529133,1518,1518
1600530627,1525,1525
1600533267,1507,1507
1600534412,1499,1499
1600536335,1514,1514
1600537719,1499,1499
1600539223,1496,1496
1600540472,1477,1477
1600541784,1487,1487
1600543163,1481,1481
1600544069,1472,1472
1600547135,1497,1497
1600548573,1495,1495
1600549728,1482,1482
1600551266,1477,1477
1600554332,1487,1487
1600555836,1488,1488
1600557026,1479,1479
1600558476,1476,1476
1600559692,1486,1486
1600561530,1495,1495
1600562071,1476,1476
1600565645,1468,1468
1600568733,1473,1473
1600570236,1477,1477
1600571501,1474,1474
1600572866,1471,1471
1600576473,1460,1460
1600578842,1463,1463
1600581029,1456,1456
1600583135,1442,1442
1600585786,1427,1427
1600587272,1428,1428
1600589299,1431,1431
1600591704,1436,1436
1600593388,1441,1441
1600594680,1449,1449
1600597057,1438,1438
1600600676,1469,1469
1600602331,1471,1471
1600604333,1474,1474
1600605271,1487,1487
1600606975,1494,1494
1600608876,1519,1519
1600611749,1540,1540
1600612468,1537,1537
1600614977,1556,1556
1600616070,1567,1567
1600617729,1567,1567
1600618863,1576,1576
1600620211,1595,1595
1600621541,1586,1586
1600623266,1590,1590
1600626331,1600,1600
1600626868,1594,1594
1600631433,1643,1643
1600634072,1643,1643
1600635218,1644,1644
1600636728,1645,1645
1600637666,1647,1647
1600641274,1670,1670
1600642565,1680,1680
1600643985,1685,1685
1600645441,1694,1694
1600647932,1701,1701
1600648472,1692,1692
1600651278,1691,1691
1600652070,1691,1691
1600719824,1508,1508
1600720470,1505,1505
1600722208,1500,1500
1600724067,1492,1492
1600727676,1466,1466
1600730428,1447,1447
1600731845,1442,1442
1600734336,1437,1437
1600734878,1427,1427
1600737582,1385,1385
1600738475,1384,1384
1600739829,1386,1386
1600742075,1369,1369
1600745680,1384,1384
1600748150,1388,1388
1600750240,1388,1388
1600751487,1386,1386
1600755171,1384,1384
1600756484,1398,1398
1600758366,1394,1394
1600759535,1403,1403
1600760669,1409,1409
1600762161,1402,1402
1600763329,1405,1405
1600764643,1396,1396
1600767307,1401,1401
1600769666,1399,1399
1600770873,1403,1403
1600773072,1374,1374
1600774479,1383,1383
1600775815,1393,1393
1600777065,1382,1382
1600778086,1376,1376
1600780113,1374,1374
1600782547,1380,1380
1600783858,1366,1366
1600785275,1359,1359
1600788150,1341,1341
1600788874,1336,1336
1600790338,1313,1313
1600792474,1322,1322
1600793742,1314,1314
1600795531,1322,1322
1600796074,1307,1307
1600797584,1292,1292
1600799125,1310,1310
1600800632,1291,1291
1600802731,1284,1284
1600804230,1289,1289
1600805832,1281,1281
1600806875,1273,1273
1600808646,1259,1259
1600810473,1255,1255
1600811630,1256,1256
1600813110,1241,1241
1600814082,1235,1235
1600817674,1240,1240
1600819329,1239,1239
1600820733,1249,1249
1600822232,1241,1241
1600824338,1219,1219
1600825775,1221,1221
1600828472,1210,1210
1600831204,1217,1217
1600832442,1224,1224
1600833870,1231,1231
1600835676,1247,1247
1600838717,1274,1274
1600839275,1279,1279
1600841142,1267,1267
1600842872,1276,1276
1600844838,1277,1277
1600846475,1314,1314
1600848393,1372,1372
1600850075,1449,1449
1600853682,1487,1487
1600855034,1505,1505
1600857277,1502,1502
1600858520,1508,1508
1600860331,1509,1509
1600861839,1515,1515
1600863392,1511,1511
1600865435,1529,1529
1600866761,1536,1536
1600868080,1541,1541
1600869360,1543,1543
1600871132,1526,1526
1600871678,1512,1512
1600872789,1511,1511
1600874735,1524,1524
1600877330,1495,1495
1600878521,1502,1502
1600879835,1497,1497
1600881057,1496,1496
1600882468,1499,1499
1600884288,1485,1485
1600885535,1497,1497
1600886657,1491,1491
1600889670,1480,1480
1600891839,1480,1480
1600893271,1479,1479
1600894397,1480,1480
1600896214,1476,1476
1600897832,1476,1476
1600899454,1449,1449
1600900476,1456,1456
1600902266,1439,1439
1600904078,1458,1458
1600905845,1458,1458
1600907671,1459,1459
1600908770,1460,1460
1600910732,1462,1462
1600912176,1468,1468
1600913531,1451,1451
1600914873,1450,1450
1600916535,1456,1456
1600918481,1459,1459
1600920354,1454,1454
1600922074,1459,1459
1600923235,1457,1457
1600925044,1469,1469
1600925674,1455,1455
1600927523,1433,1433
1600929272,1437,1437
1600932331,1451,1451
1600933505,1450,1450
1600934793,1436,1436
1600936476,1442,1442
1600937594,1455,1455
1600938843,1455,1455
1600940077,1465,1465
1600942019,1465,1465
1600943146,1476,1476
1600944284,1479,1479
1600946736,1480,1480
1600948237,1483,1483
1600949785,1485,1485
1600950884,1494,1494
1600953186,1514,1514
1600954483,1510,1510
1600957055,1521,1521
1600958067,1532,1532
1600959216,1529,1529
1600960893,1508,1508
1600961676,1501,1501
1600964303,1472,1472
1600965271,1471,1471
1600967808,1474,1474
1600968867,1473,1473
1600971268,1466,1466
1600972469,1466,1466
1600973639,1473,1473
1600975409,1473,1473
1600977044,1473,1473
1600978836,1460,1460
1600979710,1463,1463
1600982237,1460,1460
1600983275,1458,1458
1600985856,1459,1459
1600986873,1461,1461
1600989930,1467,1467
1600991435,1460,1460
1600993295,1468,1468
1600994073,1465,1465
1600995470,1451,1451
1600997140,1458,1458
1600997680,1462,1462
1601000551,1457,1457
1601001280,1454,1454
1601003929,1450,1450
1601004876,1441,1441
1601007546,1427,1427
1601008691,1426,1426
1601009949,1424,1424
1601012070,1428,1428
1601013766,1410,1410
1601015677,1398,1398
1601016904,1390,1390
1601019276,1300,1300
1601021194,1242,1242
1601022877,1244,1244
1601023990,1253,1253
1601025938,1251,1251
1601027081,1248,1248
1601030071,1217,1217
1601033137,1204,1204
1601034632,1191,1191
1601037276,1176,1176
1601038647,1187,1187
1601040874,1182,1182
1601042015,1181,1181
1601043377,1183,1183
1601044475,1173,1173
1601046864,1181,1181
1601048080,1182,1182
1601050257,1188,1188
1601051670,1190,1190
1601054342,1195,1195
1601055474,1187,1187
1601057280,1180,1180
1601058871,1188,1188
1601060018,1197,1197
1601062468,1200,1200
1601064572,1209,1209
1601066079,1206,1206
1601069133,1227,1227
1601071458,1219,1219
1601073271,1220,1220
1601076872,1226,1226
1601079935,1241,1241
1601081440,1230,1230
1601084075,1234,1234
1601087671,1238,1238
1601089084,1255,1255
1601090736,1263,1263
1601091275,1260,1260
1601094881,1259,1259
1601097210,1260,1260
1601099434,1273,1273
1601102065,1253,1253
1601105132,1276,1276
1601106629,1288,1288
1601108028,1283,1283
1601109188,1286,1286
1601110600,1273,1273
1601112335,1290,1290
1601112874,1278,1278
1601114555,1262,1262
1601115934,1274,1274
1601117432,1282,1282
1601120077,1288,1288
1601121191,1291,1291
1601122903,1285,1285
1601123669,1286,1286
1601126732,1297,1297
1601127270,1281,1281
1601129476,1279,1279
1601130853,1282,1282
1601133453,1283,1283
1601134498,1279,1279
1601137310,1271,1271
1601138074,1272,1272
1601141133,1289,1289
1601145272,1281,1281
1601148873,1273,1273
1601152475,1299,1299
1601156068,1304,1304
1601158121,1287,1287
1601159426,1279,1279
1601160638,1288,1288
1601162735,1285,1285
1601164237,1291,1291
1601166119,1291,1291
1601166871,1261,1261
1601168654,1238,1238
1601170474,1251,1251
1601173531,1257,1257
1601175036,1251,1251
1601177110,1244,1244
1601178654,1247,1247
1601183625,1258,1258
1601184874,1273,1273
1601186626,1251,1251
1601188471,1264,1264
1601190212,1267,1267
1601191540,1278,1278
1601193064,1277,1277
1601194745,1282,1282
1601196664,1289,1289
1601198636,1286,1286
1601199272,1295,1295
1601200602,1287,1287
1601201833,1296,1296
1601202875,1301,1301
1601204127,1316,1316
1601205930,1326,1326
1601207435,1336,1336
1601209372,1347,1347
1601210071,1348,1348
1601212417,1353,1353
1601217276,1374,1374
1601219777,1381,1381
1601220876,1385,1385
