DateTime,AddedIPs,RemovedIPs
1600440902,18,33
1600442719,36,17
1600443259,8,36
1600446319,33,26
1600447496,18,33
1600450461,31,65
1600451636,9,8
1600453522,27,45
1600455361,25,60
1600457661,55,38
1600459401,28,38
1600461260,27,27
1600462623,11,12
1600464322,32,28
1600465817,22,30
1600467188,14,49
1600468458,9,29
1600469879,24,34
1600471519,53,22
1600472058,8,13
1600474262,41,27
1600475665,20,24
1600477170,26,40
1600478429,42,7
1600479262,18,27
1600482861,65,65
1600484507,31,42
1600486460,33,17
1600488593,28,31
1600490064,19,28
1600491819,30,25
1600493660,33,22
1600496722,43,46
1600497260,14,22
1600499066,33,35
1600500320,19,1
1600501822,30,22
1600503800,29,28
1600505420,23,22
1600508063,42,70
1600509817,26,38
1600511121,23,2
1600512624,23,34
1600514722,41,35
1600516219,32,28
1600517982,32,29
1600518860,18,26
1600520719,295,21
1600521925,10,0
1600523424,21,23
1600525522,33,28
1600526065,11,27
1600528013,38,40
1600529123,21,0
1600530616,25,16
1600533257,43,68
1600534402,24,26
1600536324,32,15
1600537710,20,32
1600539214,22,34
1600540461,12,43
1600541772,23,14
1600543149,22,33
1600544060,19,32
1600547124,60,29
1600548556,16,22
1600549719,17,47
1600551257,23,17
1600554321,53,43
1600555827,22,24
1600557014,22,38
1600558463,19,28
1600559673,27,12
1600561520,26,29
1600562061,3,42
1600563631,0,3051
1600565123,3049,0
1600566703,31,33
1600568720,27,27
1600570223,21,21
1600571492,19,23
1600572856,0,3043
1600576461,3030,0
1600578833,32,28
1600581020,32,30
1600583122,22,42
1600585776,32,66
1600587260,15,22
1600589291,46,40
1600591692,30,21
1600593356,23,30
1600594671,19,22
1600597035,29,48
1600600666,66,49
1600602312,25,15
1600604325,37,29
1600605261,22,14
1600606961,36,24
1600608865,42,19
1600611740,52,26
1600612458,13,19
1600614961,56,26
1600616061,20,22
1600617655,26,29
1600618751,16,0
1600620200,34,19
1600621532,19,31
1600623257,30,16
1600626322,56,34
1600626859,25,23
1600628822,48,29
1600631424,46,10
1600634062,45,47
1600635207,17,9
1600636719,24,20
1600637656,18,12
1600641261,60,55
1600642553,30,10
1600643974,28,23
1600645432,23,20
1600647921,47,29
1600648461,5,29
1600651264,57,46
1600652060,14,34
1600719802,815,1278
1600720461,6,24
1600722187,25,41
1600724058,22,25
1600727665,61,92
1600730409,61,69
1600731833,20,24
1600734324,34,26
1600734866,10,23
1600737564,40,84
1600738457,0,2638
1600739815,2643,0
1600742063,29,54
1600745665,74,53
1600748129,39,22
1600750228,52,25
1600751476,35,44
1600753826,71,15
1600755123,27,43
1600756467,37,21
1600758357,48,29
1600759520,25,2
1600760655,27,15
1600762147,26,40
1600763309,25,2
