DateTime,AddedIPs,RemovedIPs
1600428329,23,19
1600428874,2,4
1600430183,8,18
1600431938,12,23
1600433394,8,9
1600434516,4,9
1600435909,3,8
1600436072,0,2
1600437320,7,8
1600438966,13,11
1600439674,1,7
1600440921,8,8
1600442730,11,10
1600443271,5,4
1600446331,20,31
1600447514,10,14
1600451652,11,26
1600453535,4,7
1600455380,20,10
1600457675,11,26
1600459415,11,13
1600461277,10,13
1600462640,14,10
1600464333,7,7
1600465830,11,8
1600467209,6,10
1600468472,5,11
1600469928,6,11
1600471531,9,6
1600472073,3,3
1600474278,14,9
1600475679,15,13
1600477184,18,9
1600478452,5,15
1600479274,10,4
1600482876,19,17
1600484522,10,11
1600486474,17,25
1600488600,11,10
1600490078,10,14
1600491837,30,8
1600493673,7,16
1600496734,12,17
1600497273,9,8
1600499077,17,19
1600500332,1,14
1600501834,5,14
1600503817,7,10
1600505431,8,10
1600508076,23,18
1600509833,11,12
1600511135,4,17
1600512674,14,311
1600514734,6,275
1600517996,13,358
1600518870,8,3
1600520732,18,9
1600521937,4,9
1600523436,11,12
1600525533,6,4
1600526076,3,2
1600528029,3,9
1600529135,7,6
1600530629,10,10
1600533269,12,22
1600534414,9,10
1600536336,9,11
1600537721,70,6
1600539225,109,52
1600540474,603,17
1600541786,5,65
1600543165,10,55
1600544070,4,46
1600547137,131,74
1600548577,5,62
1600549730,5,31
1600551268,12,51
1600554334,10,76
1600555838,8,30
1600557028,6,17
1600558478,6,26
1600559694,370,10
1600561532,1,104
1600562073,2,29
1600565655,6,124
1600568735,7,55
1600570239,7,22
1600571542,14,25
1600572869,9,39
1600576475,15,64
1600578848,13,32
1600581032,13,37
1600583136,11,25
1600585788,20,37
1600587273,6,12
1600589307,3,40
1600591706,3,25
1600593391,8,6
1600594682,317,8
1600597063,218,100
1600600677,70,79
1600602335,32,60
1600604335,157,37
1600605304,4,71
1600606978,74,52
1600608878,6,60
1600611750,137,34
1600612469,4,58
1600614981,7,72
1600616072,3,43
1600617749,2,31
1600618869,3,19
1600620213,7,25
1600621543,13,24
1600623268,6,43
1600626334,16,61
1600626870,4,16
1600628827,13,36
1600631436,9,53
1600634073,4,38
1600635220,2,14
1600636729,4,17
1600637668,11,14
1600641275,21,38
1600642570,8,20
1600643987,8,13
1600645443,13,16
1600647934,18,22
1600648474,5,9
1600651282,15,22
1600652072,2,7
1600719825,17,195
1600720472,4,5
1600722203,10,6
1600724068,12,5
1600727678,31,14
1600730431,23,16
1600731851,11,13
1600734339,8,12
1600734879,1,3
1600737586,14,9
1600738477,5,4
1600739837,11,10
1600742078,14,16
1600745682,19,26
1600748154,15,12
1600750243,181,12
1600751489,429,37
1600755179,19,143
1600756486,2,52
1600758372,12,50
1600759538,5,29
1600760671,14,34
1600762169,7,28
1600763333,2,23
1600764646,6,36
1600767310,20,43
1600769668,17,36
1600770875,7,20
1600773075,14,51
1600774481,6,18
1600775816,10,20
1600777074,11,17
1600778094,5,11
1600780115,28,18
1600782551,22,41
1600783860,5,14
1600785277,5,17
1600788153,22,17
1600788876,5,4
1600790340,6,11
1600792475,14,15
1600793743,8,8
1600795533,4,12
1600796076,3,6
1600797586,4,10
1600799128,7,17
1600800634,6,9
1600802734,12,15
1600804233,14,5
1600805840,10,10
1600806877,17,11
1600808649,29,15
1600810475,16,23
1600811632,8,14
1600813114,5,17
1600814084,3,9
1600817675,17,18
1600819332,2,13
1600820735,6,8
1600822235,5,9
1600824340,10,5
1600825776,5,7
1600828474,3,3
1600831210,4,10
1600832445,4,0
1600833873,8,1
1600835678,6,9
1600838724,16,8
1600839277,2,2
1600841144,1,10
1600842873,6,4
1600844840,4,8
1600846476,4,4
1600848395,0,7
1600850077,9,2
1600853685,9,7
1600855038,0,3
1600857279,14,3
1600858522,2,4
1600860333,2,8
1600861841,2,6
1600863395,4,2
1600865438,8,6
1600866763,4,2
1600868085,1,5
1600869361,3,0
1600871134,10,7
1600871679,7,3
1600872794,9,3
1600874737,10,6
1600877332,11,7
1600878523,4,8
1600879837,4,2
1600881060,6,2
1600882469,9,4
1600884290,3,9
1600885537,3,5
1600886664,5,10
1600889672,9,17
1600891842,8,11
1600893273,8,7
1600894398,9,5
1600896216,8,10
1600897834,7,9
1600899458,4,4
1600900478,1,3
1600902270,1,7
1600904080,3,6
1600905850,9,7
1600907673,2,6
1600908776,3,3
1600910734,7,1
1600912178,6,5
1600913580,11,2
1600914876,3,4
1600916553,1,5
