DateTime,Entries,UniqueIPs
1600423337,12853,12853
1600426358,12844,12844
1600428318,12850,12850
1600428855,12834,12834
1600431918,12876,12876
1600433378,12863,12863
1600434502,12847,12847
1600435871,12835,12835
1600436056,12847,12847
1600437294,12857,12857
1600438953,12859,12859
1600439657,12843,12843
1600440900,12845,12845
1600442715,12864,12864
1600443255,12841,12841
1600446315,12892,12892
1600447494,12899,12899
1600450455,12917,12917
1600451634,12933,12933
1600453517,12971,12971
1600455357,12971,12971
1600457656,13005,13005
1600459396,13012,13012
1600461256,13028,13028
1600462621,13051,13051
1600464318,13087,13087
1600465815,13093,13093
1600467185,13103,13103
1600468455,13119,13119
1600469875,13144,13144
1600471514,13169,13169
1600472055,13135,13135
1600474259,13158,13158
1600475660,13190,13190
1600477167,13197,13197
1600478424,13250,13250
1600479259,13248,13248
1600482857,13261,13261
1600484504,13274,13274
1600486458,13310,13310
1600488589,13344,13344
1600490059,13373,13373
1600491816,13375,13375
1600493655,13411,13411
1600496717,13466,13466
1600497256,13446,13446
1600499063,13462,13462
1600500317,13511,13511
1600501816,13536,13536
1600503795,13575,13575
1600505416,13622,13622
1600508057,13610,13610
1600509805,13617,13617
1600511117,13674,13674
1600512618,13680,13680
1600514716,13711,13711
1600516214,13700,13700
1600517980,13718,13718
1600518856,13698,13698
1600521921,13733,13733
1600523417,13724,13724
1600525517,13753,13753
1600526060,13731,13731
1600528010,13747,13747
1600529118,13769,13769
1600530611,13777,13777
1600533254,13794,13794
1600534400,13808,13808
1600536320,13805,13805
1600537707,13719,13719
1600539211,13686,13686
1600540457,13129,13129
1600541768,13224,13224
1600543143,13280,13280
1600544055,13308,13308
1600547118,13264,13264
1600548551,13311,13311
1600549717,13322,13322
1600551254,13357,13357
1600554317,13431,13431
1600555821,13441,13441
1600557008,13451,13451
1600558457,13460,13460
1600559668,13119,13119
1600561515,13245,13245
1600562054,13252,13252
1600563611,13315,13315
1600565118,13382,13382
1600566701,13433,13433
1600568715,13470,13470
1600570217,13491,13491
1600571489,13504,13504
1600575915,13586,13586
1600576456,13577,13577
1600578830,13583,13583
1600583117,13625,13625
1600586715,13666,13666
1600587256,13642,13642
1600589288,13714,13714
1600591688,13782,13782
1600593348,13784,13784
1600594668,13485,13485
1600597030,13372,13372
1600600664,13369,13369
1600602307,13387,13387
1600604719,13298,13298
1600605256,13314,13314
1600606958,13282,13282
1600608859,13351,13351
1600611736,13261,13261
1600612455,13278,13278
1600614956,13373,13373
1600616057,13381,13381
1600617613,13358,13358
1600618732,13397,13397
1600620195,13398,13398
1600621529,13381,13381
1600623255,13409,13409
1600626318,13471,13471
1600626854,13466,13466
1600628820,13501,13501
1600631419,13553,13553
1600634058,13550,13550
1600635204,13582,13582
1600636717,13588,13588
1600637654,13558,13558
1600641256,13546,13546
1600642549,13576,13576
1600643971,13571,13571
1600647918,13556,13556
1600648457,13522,13522
1600651260,13530,13530
1600652056,13506,13506
1600719796,15038,15038
1600720456,15156,15156
1600722173,15264,15264
1600724055,15387,15387
1600727660,15491,15491
1600730404,15610,15610
1600731831,15657,15657
1600734319,15743,15743
1600734862,15735,15735
1600737533,15804,15804
1600739813,15877,15877
1600742058,15972,15972
1600745660,16120,16120
1600748122,16183,16183
1600750222,16077,16077
1600751471,15706,15706
1600753819,15805,15805
1600755120,15844,15844
1600756461,15933,15933
1600758355,16029,16029
1600759515,16094,16094
1600760650,16036,16036
1600762144,16121,16121
1600763305,16188,16188
1600764623,16217,16217
1600767289,16249,16249
1600769648,16312,16312
1600770858,16354,16354
1600773047,16485,16485
1600774463,16531,16531
1600775802,16577,16577
1600777051,16642,16642
1600778063,16638,16638
1600780092,16657,16657
1600782523,16699,16699
1600783845,16706,16706
1600785257,16712,16712
1600786812,16716,16716
1600788131,16742,16742
1600788860,16744,16744
1600790289,16778,16778
1600792456,16793,16793
1600793729,16819,16819
1600795516,16860,16860
1600796058,16839,16839
1600799102,16895,16895
1600800617,16901,16901
1600802718,16943,16943
1600804217,16945,16945
1600805802,16963,16963
1600806861,16948,16948
1600808624,16946,16946
1600810458,16990,16990
1600811620,17017,17017
1600813089,17031,17031
1600814065,17025,17025
1600817657,17024,17024
1600819306,17028,17028
1600820717,17056,17056
1600822219,17053,17053
1600824319,17028,17028
1600825762,17022,17022
1600828457,16970,16970
1600831189,16955,16955
1600832428,16914,16914
1600833844,16865,16865
1600835657,16832,16832
1600839256,16773,16773
1600841128,16751,16751
1600842858,16737,16737
1600844814,16712,16712
1600846461,16694,16694
1600848373,16702,16702
1600850058,16673,16673
1600853663,16599,16599
1600855017,16603,16603
1600857259,16525,16525
1600860317,16664,16664
1600861821,16799,16799
1600863379,16893,16893
1600865421,16972,16972
1600866749,16987,16987
1600868064,16955,16955
1600869344,16958,16958
1600871117,16964,16964
1600871658,16929,16929
1600872777,16917,16917
1600874719,16938,16938
1600877319,16868,16868
1600878509,16894,16894
1600879818,16860,16860
1600881046,16847,16847
1600882455,16825,16825
1600884277,16833,16833
1600885520,16861,16861
1600886634,16802,16802
1600889116,16763,16763
1600889656,16567,16567
1600891824,16530,16530
1600893256,16467,16467
1600894379,16463,16463
1600896201,16468,16468
1600897818,16426,16426
1600899430,16375,16375
1600900459,16337,16337
1600902248,16298,16298
1600904059,16269,16269
1600905826,16213,16213
1600907657,16175,16175
1600908759,16174,16174
1600910718,16142,16142
1600912162,16081,16081
1600913514,16026,16026
1600914856,15969,15969
1600916516,15876,15876
1600918460,15863,15863
1600920341,15833,15833
1600922059,15808,15808
1600923218,15798,15798
1600925031,15769,15769
1600925656,15681,15681
1600927499,15594,15594
1600929258,15548,15548
1600932317,15513,15513
1600933480,15440,15440
1600934768,15391,15391
1600936460,15374,15374
1600937576,15357,15357
1600938820,15340,15340
1600940057,15232,15232
1600942007,15112,15112
1600943126,15124,15124
1600944260,15020,15020
1600946717,14928,14928
1600948221,14815,14815
1600949764,14797,14797
1600950864,14755,14755
1600953158,14741,14741
1600954462,14721,14721
1600957029,14731,14731
1600958056,14697,14697
1600959203,14689,14689
1600960882,14674,14674
1600961658,14620,14620
1600964285,14580,14580
1600965255,14513,14513
1600967784,14494,14494
1600968855,14461,14461
1600971252,14448,14448
1600972455,14395,14395
1600973628,14402,14402
1600975390,14407,14407
1600977033,14353,14353
1600978816,14333,14333
1600979659,14279,14279
1600982219,14282,14282
1600983259,14232,14232
1600985835,14221,14221
1600986858,14121,14121
1600989916,14101,14101
1600991420,14041,14041
1600993280,14015,14015
1600994057,13955,13955
1600995458,13961,13961
1600997124,13994,13994
1600997661,13948,13948
1601000532,13969,13969
1601001261,13947,13947
1601003916,13981,13981
1601004859,13955,13955
1601007532,13977,13977
1601008675,13945,13945
1601009933,13930,13930
1601011524,13976,13976
1601012056,13938,13938
1601013743,13925,13925
1601015660,13946,13946
1601016887,13968,13968
1601019258,13917,13917
1601021179,13913,13913
1601022859,13922,13922
1601023975,13935,13935
1601025921,13958,13958
1601027053,13951,13951
1601030058,13978,13978
1601033119,14002,14002
1601034619,13983,13983
1601037259,13933,13933
1601038631,13946,13946
1601040858,13924,13924
1601042004,13924,13924
1601043360,13936,13936
1601044461,13905,13905
1601046845,13917,13917
1601048060,13908,13908
1601050244,13896,13896
1601051656,13884,13884
1601053258,13872,13872
1601054502,13938,13938
1601055707,13928,13928
1601057268,13918,13918
1601058855,13931,13931
1601059998,13942,13942
1601062455,13968,13968
1601064557,13967,13967
1601066059,13960,13960
1601069118,13978,13978
1601071432,13953,13953
1601073258,13933,13933
1601076855,13927,13927
1601079919,13943,13943
1601081417,13941,13941
1601084058,13909,13909
1601087657,13900,13900
1601089072,13904,13904
1601090720,13911,13911
1601091259,13879,13879
1601094865,13871,13871
1601097193,13862,13862
1601099420,13849,13849
1601102053,13808,13808
1601105118,13828,13828
1601106616,13812,13812
1601108016,13790,13790
1601109166,13762,13762
1601110589,13779,13779
1601112320,13794,13794
1601112859,13778,13778
1601114527,13780,13780
1601115921,13809,13809
1601117415,13780,13780
1601120061,13749,13749
1601121177,13762,13762
1601122881,13772,13772
1601123657,13717,13717
1601126716,13741,13741
1601127254,13707,13707
1601129459,13714,13714
1601133436,13703,13703
1601134456,13689,13689
1601137295,13715,13715
1601138056,13684,13684
1601141116,13696,13696
1601145255,13649,13649
1601148860,13639,13639
1601152459,13616,13616
1601156059,13594,13594
1601158107,13597,13597
1601159406,13581,13581
1601160620,13598,13598
1601162720,13594,13594
1601164218,13591,13591
1601166106,13601,13601
1601166856,13568,13568
1601168638,13559,13559
1601170458,13564,13564
1601173517,13577,13577
1601175020,13554,13554
1601177081,13553,13553
1601178628,13526,13526
1601181263,13469,13469
1601183612,13452,13452
1601184855,13423,13423
1601186608,13390,13390
1601188456,13379,13379
1601190194,13344,13344
1601191526,13365,13365
1601193050,13363,13363
1601194733,13364,13364
1601198624,13325,13325
1601199256,13314,13314
1601200589,13313,13313
1601201804,13300,13300
1601202857,13272,13272
1601204114,13294,13294
1601205916,13290,13290
1601207417,13282,13282
1601209359,13271,13271
1601210058,13237,13237
1601212398,13220,13220
1601217258,13692,13692
1601219762,13793,13793
1601220858,13860,13860
1601223916,14063,14063
1601224460,14070,14070
1601225754,14164,14164
1601227279,14234,14234
1601228055,14252,14252
1601230722,13950,13950
1601231658,13537,13537
1601233707,12841,12841
1601235257,12512,12512
1601236769,12699,12699
1601238321,12910,12910
1601241916,13282,13282
1601243417,13426,13426
1601246060,13616,13616
1601247757,13686,13686
1601249658,13806,13806
1601252021,13951,13951
1601253278,14030,14030
1601256856,14169,14169
1601260457,14305,14305
1601264057,14414,14414
1601266233,14513,14513
1601267658,14576,14576
1601269862,14660,14660
1601273843,14820,14820
1601274859,14843,14843
1601281108,15004,15004
1601282218,15019,15019
1601284272,15058,15058
1601285656,15093,15093
1601286929,15158,15158
1601288717,15206,15206
1601289260,15202,15202
1601291774,15294,15294
1601293445,15338,15338
1601295169,15386,15386
1601296461,15399,15399
1601298992,15452,15452
1601300060,15438,15438
1601301179,15467,15467
1601303121,18317,18317
1601304620,18316,18316
1601305839,18304,18304
1601307256,18310,18310
1601308751,18326,18326
1601309871,18349,18349
1601310862,18347,18347
1601313209,18371,18371
1601314458,18382,18382
1601318357,18424,18424
1601320407,18442,18442
1601321840,18444,18444
1601323688,18457,18457
1601325258,18474,18474
1601327515,18487,18487
1601328859,18481,18481
1601330345,18489,18489
1601331927,18514,18514
1601332464,18487,18487
1601334693,18506,18506
1601336077,18501,18501
1601338459,18493,18493
1601339660,18477,18477
1601341151,18488,18488
1601342719,18524,18524
1601343261,18503,18503
1601345170,18510,18510
1601346320,18536,18536
1601347821,18525,18525
1601349290,18522,18522
1601350845,18519,18519
1601353526,18547,18547
1601354792,18561,18561
1601356980,18609,18609
1601357661,18589,18589
1601360068,18634,18634
1601361706,18650,18650
1601363386,18644,18644
1601364860,18621,18621
1601368459,18642,18642
1601369951,18685,18685
1601371524,18765,18765
1601373240,18773,18773
1601374508,18809,18809
