DateTime,AddedIPs,RemovedIPs
1599827680,1,0
1599831278,0,1
1599836801,0,1
1599839266,0,1
1599840377,0,2
1599842077,0,1
1599845672,1,1
1599847548,0,1
1599852878,1,1
1599855038,1,1
1599856479,3,1
1599858421,1,0
1599860059,1,1
1599862190,1,1
1599867274,0,3
1599869665,1,1
1599871242,1,0
1599874477,2,2
1599876946,0,2
1599878076,1,1
1599881024,1,0
1599881680,0,2
1599884240,1,2
1599887369,1,1
1599888878,1,0
1599890607,1,1
1599892474,1,1
1599893655,1,0
1599896077,1,1
1599898750,3,0
1599899675,0,1
1599903280,2,5
1599905197,0,2
1599906873,2,1
1599909260,2,0
1599913196,1,6
1599914072,1,1
1599917140,1,0
1599920487,1,0
1599924217,1,0
1599924881,0,1
1599927451,0,1
1599929011,0,1
1599930448,1,1
1599934977,1,1
1599939274,1,0
1599942241,1,1
1599942881,0,1
1599950075,4,0
1599953683,1,1
1599956757,1,0
1599959570,0,6
1599961875,0,1
1599963942,1,0
1599964478,1,1
1599965722,1,0
1599967412,1,1
1599970227,0,1
1599971680,2,2
1599973453,0,3
1599974742,2,0
1599978337,0,2
1599979993,3,0
1599981938,1,1
1599982478,1,0
1599985525,1,1
1599986075,0,2
1599988413,2,0
1599989673,0,4
1599993276,6,3
1599996875,1,1
1600002596,0,1
1600005390,1,5
1600007135,0,4
1600007667,0,6
1600009587,4,2
1600014874,1,1
1600016124,0,1
1600017931,1,0
1600018473,0,1
1600020688,1,0
1600023826,1,0
1600025676,1,0
1600028741,1,1
1600030271,1,2
1600033873,1,0
1600036476,0,1
1600039537,1,0
1600041068,1,0
1600043677,7,0
1600046749,0,1
1600048159,1,0
1600050346,0,1
1600051882,0,1
1600053461,1,0
1600055486,1,1
1600061678,1,1
1600065279,0,1
1600073464,0,2
1600074901,1,0
1600076080,0,1
1600078978,0,1
1600081142,1,0
1600082545,2,0
1600085065,0,1
1600086876,2,1
1600090481,2,0
1600091692,2,0
1600094080,1,0
1600100734,0,1
1600102031,2,0
1600103455,6,0
1600104877,3,0
1600107618,2,0
1600109476,1,1
1600111398,2,0
1600114059,8,1
1600115817,3,0
1600116972,2,1
1600120277,3,0
1600122882,6,0
1600124205,1,0
1600126478,5,0
1600129042,7,0
1600133129,5,0
1600134462,2,0
1600137277,2,2
1600140880,1,0
1600142938,3,0
1600144047,1,0
1600147262,1,1
1600150638,1,1
1600151968,1,0
1600158232,2,1
1600158875,1,0
1600161078,0,1
1600173304,1,0
1600175026,1,0
1600176881,0,1
1600184073,1,0
1600189383,0,2
1600192269,1,0
1600194338,0,1
1600194873,0,1
1600202075,1,0
1600203391,1,0
1600204965,0,1
1600205673,0,1
1600209286,0,1
1600211068,2,1
1600212876,0,1
1600219131,0,1
1600220079,0,1
1600221544,0,1
1600223141,1,0
1600223677,0,2
1600227280,2,0
1600233937,2,0
1600234473,0,2
1600237064,0,1
1600238082,0,2
1600241677,1,0
1600248882,0,2
1600251689,1,2
1600252481,1,0
1600255395,0,1
1600257868,0,1
1600259691,0,4
1600263281,4,6
1600266880,3,0
1600268592,1,3
1600270478,0,1
1600272810,1,1
1600274075,0,1
1600277138,2,0
1600279640,1,0
1600282266,1,0
1600284878,0,3
1600290284,2,2
1600292076,1,0
1600293546,0,1
1600295677,0,3
1600298183,2,0
1600301180,0,1
1600304927,1,0
1600310078,0,2
1600312385,0,1
1600313690,2,0
1600317278,1,0
1600320336,2,0
1600321884,0,2
1600323079,1,0
1600334132,0,3
1600335276,1,0
1600338876,2,0
1600341712,2,1
1600342478,3,0
1600344421,5,1
1600346074,34,1
1600348707,0,1
1600355517,1,0
1600362219,0,1
1600365832,1,0
1600367677,1,0
1600370733,1,0
1600373468,0,1
