DateTime,Entries,UniqueIPs
1600318837,1372,1437
1600320791,1375,1443
1600322665,1374,1443
1600324604,1384,1454
1600326535,1386,1452
1600328431,1419,1486
1600330352,1413,1479
1600332292,1387,1453
1600334200,1386,1454
1600336162,1401,1469
1600338030,1393,1463
1600339953,1399,1465
1600341893,1394,1462
1600343787,1394,1461
1600346669,1380,1446
1600348851,1378,1444
1600350739,1402,1469
1600352693,1400,1468
1600355783,1357,1422
1600357712,1337,1400
1600360592,1343,1406
1600362531,1315,1378
1600364477,1309,1369
1600366334,1301,1362
1600368287,1307,1368
1600370203,1317,1378
1600372101,1323,1382
1600374053,1319,1380
1600375952,1314,1377
1600377869,1317,1381
1600380770,1294,1354
1600382676,1271,1329
1600384593,1266,1327
1600386496,1251,1313
1600388437,1252,1314
1600390383,1264,1330
1600392263,1272,1336
1600394238,1266,1331
1600396124,1262,1325
1600398052,1275,1331
1600399967,1282,1336
1600401848,1277,1331
1600403783,1302,1353
1600405721,1297,1347
1600407655,1311,1357
1600409565,1315,1365
1600411488,1304,1354
1600415305,1273,1322
1600419155,1251,1297
1600421064,1237,1283
1600423029,1247,1294
1600424906,1247,1296
1600426826,1255,1306
1600429749,1253,1305
1600431637,1249,1301
1600433555,1246,1300
1600435504,1253,1309
1600437408,1256,1314
1600439321,1261,1318
1600441263,1291,1350
1600443173,1309,1368
1600445306,1305,1363
1600447239,1320,1381
1600449174,1331,1389
1600451089,1347,1407
1600452990,1354,1416
1600455872,1359,1423
1600457809,1360,1429
1600459757,1347,1415
1600461651,1370,1436
1600463791,1373,1440
1600465725,1363,1428
1600467612,1362,1425
1600469540,1375,1440
1600474341,1364,1426
1600476272,1374,1436
1600478213,1375,1436
1600480099,1384,1443
1600483982,1371,1433
1600485870,1382,1443
1600487790,1379,1446
1600489699,1384,1454
1600491628,1371,1440
1600493577,1384,1455
1600495485,1375,1451
1600497421,1386,1461
1600499568,1376,1454
1600501460,1411,1492
1600503382,1394,1476
1600505317,1417,1499
1600507214,1422,1506
1600509146,1430,1511
1600511078,1426,1508
1600514918,1390,1472
1600516863,1397,1478
1600518749,1427,1504
1600520685,1435,1514
1600522582,1449,1526
1600524763,1450,1523
1600526691,1442,1515
1600528625,1439,1509
1600530502,1439,1507
1600532443,1450,1518
1600534345,1431,1500
1600536302,1424,1486
1600539174,1432,1495
1600541082,1434,1495
1600542981,1433,1492
1600544899,1417,1478
1600546846,1415,1477
1600548738,1396,1460
1600550652,1394,1458
1600552621,1402,1466
1600554503,1390,1453
1600556456,1385,1446
1600558345,1423,1484
1600560258,1442,1503
1600562216,1436,1499
1600566051,1409,1474
1600567985,1391,1450
1600569874,1412,1474
1600571813,1394,1461
1600573713,1385,1452
1600575650,1396,1463
1600577550,1387,1453
1600579454,1359,1422
1600581393,1331,1396
1600583314,1321,1386
1600585224,1298,1362
1600587154,1296,1358
1600589053,1285,1345
1600590997,1288,1346
1600592900,1274,1332
1600596759,1261,1318
1600600816,1245,1300
1600602760,1244,1301
1600604689,1237,1294
1600606580,1218,1272
1600608531,1218,1273
1600610436,1193,1249
1600612339,1186,1245
1600614284,1194,1249
1600616181,1194,1246
1600618096,1185,1237
1600620056,1192,1245
1600621947,1176,1228
1600623868,1186,1240
1600625826,1173,1229
