DateTime,AddedIPs,RemovedIPs
1600318837,8,12
1600320791,15,0
1600322665,13,17
1600324604,14,0
1600326535,12,17
1600328431,19,12
1600330352,9,10
1600332292,7,0
1600334200,13,8
1600336162,6,0
1600338030,9,0
1600339953,10,11
1600341893,8,3
1600343787,10,9
1600346669,7,25
1600348851,7,14
1600350739,9,17
1600352693,6,3
1600355783,7,15
1600357712,13,22
1600360592,17,21
1600362531,7,19
1600364477,9,12
1600366334,7,21
1600368287,11,20
1600370203,18,0
1600372101,23,12
1600374053,8,17
1600375952,9,14
1600377869,12,23
1600380770,14,19
1600382676,12,18
1600384593,12,15
1600386496,18,22
1600388437,6,12
1600390383,10,28
1600392263,13,12
1600394238,11,22
1600396124,10,14
1600398052,12,13
1600399967,15,20
1600401848,9,15
1600403783,17,7
1600405721,11,13
1600407655,17,9
1600409565,13,18
1600411488,17,17
1600415305,17,28
1600419155,7,35
1600421064,3,13
1600423029,15,8
1600424906,11,17
1600426826,10,0
1600429749,10,26
1600431637,6,16
1600433555,5,14
1600435504,9,11
1600437408,6,6
1600439321,7,15
1600441263,11,10
1600443173,13,14
1600445306,4,23
1600447239,15,18
1600449174,7,20
1600451089,14,18
1600452990,16,27
1600455872,15,18
1600457809,18,22
1600459757,14,26
1600461651,23,16
1600463791,10,18
1600465725,9,13
1600467612,11,12
1600469540,11,13
1600474341,22,43
1600476272,14,15
1600478213,18,13
1600480099,15,13
1600483982,20,27
1600485870,17,13
1600487790,17,16
1600489699,20,9
1600491628,18,14
1600493577,21,14
1600495485,13,18
1600497421,18,0
1600499568,7,11
1600501460,20,15
1600503382,10,14
1600505317,12,10
1600507214,9,15
1600509146,12,5
1600511078,6,20
1600514918,8,16
1600516863,12,21
1600518749,25,21
1600520685,7,12
1600522582,21,25
1600524763,9,10
1600526691,2,10
1600528625,9,9
1600530502,18,3
1600532443,8,0
1600534345,16,13
1600536302,5,16
1600539174,15,34
1600541082,10,20
1600542981,12,24
1600544899,14,24
1600546846,11,21
1600548738,8,20
1600550652,8,16
1600552621,10,31
1600554503,7,19
1600556456,9,0
1600558345,16,18
1600560258,8,24
1600562216,22,25
1600566051,23,30
1600567985,8,15
1600569874,9,20
1600571813,14,19
1600573713,19,10
1600575650,18,13
1600577550,20,13
1600579454,8,0
1600581393,11,12
1600583314,9,15
1600585224,5,0
1600587154,12,47
1600589053,8,31
1600590997,12,9
1600592900,4,15
1600596759,10,15
1600600816,2,21
1600602760,10,8
1600604689,14,0
