DateTime,AddedIPs,RemovedIPs
1600318837,55,42
1600320791,54,55
1600322665,50,54
1600324604,60,50
1600326535,45,58
1600328431,57,44
1600330352,38,59
1600332292,38,34
1600334200,38,41
1600336162,33,39
1600338030,39,33
1600339953,39,37
1600341893,31,36
1600343787,35,34
1600346669,29,34
1600348851,45,28
1600350739,39,46
1600352693,32,36
1600355783,31,35
1600357712,37,30
1600360592,47,40
1600362531,35,47
1600364477,30,33
1600366334,33,32
1600368287,43,33
1600370203,50,44
1600372101,53,51
1600374053,42,54
1600375952,42,39
1600377869,52,40
1600380770,52,57
1600382676,44,50
1600384593,44,43
1600386496,48,43
1600388437,43,48
1600390383,50,44
1600392263,50,50
1600394238,41,51
1600396124,43,41
1600398052,50,42
1600399967,59,47
1600401848,47,60
1600403783,66,49
1600405721,52,64
1600407655,62,56
1600409565,47,55
1600411488,43,50
1600415305,52,49
1600419155,38,50
1600421064,39,37
1600423029,41,40
1600424906,48,42
1600426826,41,46
1600429749,39,43
1600431637,37,38
1600433555,35,33
1600435504,50,36
1600437408,45,51
1600439321,40,45
1600441263,44,42
1600443173,58,45
1600445306,24,60
1600447239,61,24
1600449174,56,60
1600451089,48,52
1600452990,47,47
1600455872,52,49
1600457809,61,55
1600459757,51,60
1600461651,59,51
1600463791,57,56
1600465725,41,55
1600467612,46,41
1600469540,54,51
1600474341,65,53
1600476272,48,64
1600478213,69,49
1600480099,59,63
1600483982,58,64
1600485870,61,54
1600487790,55,65
1600489699,68,56
1600491628,60,66
1600493577,71,64
1600495485,54,69
1600497421,63,53
1600499568,51,63
1600501460,51,52
1600503382,34,45
1600505317,46,37
1600507214,42,48
1600509146,32,41
1600511078,41,30
1600514918,38,41
1600516863,44,42
1600518749,58,42
1600520685,40,61
1600522582,65,41
1600524763,34,62
1600526691,30,35
1600528625,45,29
1600530502,49,43
1600532443,45,53
1600534345,49,45
1600536302,34,49
1600539174,47,32
1600541082,45,46
1600542981,43,47
1600544899,39,45
1600546846,36,37
1600548738,37,38
1600550652,39,35
1600552621,36,38
1600554503,36,36
1600556456,36,38
1600558345,64,36
1600560258,33,64
1600562216,62,33
1600566051,57,58
1600567985,39,60
1600569874,34,37
1600571813,42,35
1600573713,60,44
1600575650,67,59
1600577550,52,67
1600579454,38,52
1600581393,39,34
1600583314,34,43
1600585224,35,34
1600587154,48,35
1600589053,41,48
1600590997,50,40
1600592900,23,50
1600596759,36,24
1600600816,24,33
1600602760,37,27
1600604689,28,35
1600606580,26,27
1600608531,39,29
1600610436,33,35
1600612339,36,36
1600614284,35,36
1600616181,39,32
1600618096,30,44
1600620056,54,26
1600621947,31,60
1600623868,38,28
1600625826,38,37
1600627709,44,40
1600630582,51,45
1600632525,52,48
1600634464,53,52
1600636356,57,51
1600640206,55,59
1600642104,55,54
1600644050,58,56
1600645950,54,58
1600647883,53,53
1600649822,44,57
1600651707,55,44
1600653749,47,53
1600655913,63,47
1600658070,60,61
1600659896,60,59
1600662743,63,63
1600664663,50,60
1600666601,69,54
1600668522,46,70
1600670417,60,46
1600672370,57,57
1600676205,43,54
1600678101,47,48
1600680990,60,48
1600682898,45,58
1600684858,58,45
1600686748,46,56
1600688685,38,41
1600690588,37,43
1600694463,40,36
1600696350,38,45
1600698291,40,36
1600700440,45,39
1600702357,59,46
1600704263,25,58
1600706207,58,28
1600708107,31,57
1600710046,64,33
1600712886,48,62
1600714849,52,49
1600716780,65,51
1600718677,45,66
1600721568,52,44
1600723470,57,51
1600725410,58,56
1600727306,41,59
1600729226,42,38
1600731165,66,45
1600736197,37,67
1600738108,53,37
1600740030,56,52
1600742202,68,58
1600744131,61,66
1600747973,54,56
1600749895,61,57
1600751798,47,63
1600756579,62,44
1600758513,43,65
1600760450,56,45
1600762362,58,56
1600764269,44,52
1600768102,32,43
1600770045,33,35
1600773872,36,32
1600775799,25,34
1600777725,34,29
1600779625,40,33
1600782503,33,38
1600784439,38,34
1600786349,28,41
1600788289,39,27
1600791175,23,38
1600796936,39,25
1600798856,32,35
1600800785,33,31
1600802663,44,35
1600804603,41,43
1600806542,41,44
1600808443,40,42
1600810383,59,41
1600812534,43,56
1600814433,56,45
1600816352,38,53
1600818296,41,39
1600820186,44,41
1600822104,51,40
1600824054,53,51
1600825973,52,54
1600827872,60,57
1600829825,53,60
1600831687,50,54
1600833641,58,46
1600835600,67,59
1600837460,65,65
1600839407,48,70
1600841586,27,49
1600843465,37,25
1600845381,37,35
1600847339,39,33
1600849252,38,43
1600851143,34,40
1600853076,35,35
1600855005,38,34
1600856927,35,38
1600858877,35,36
1600861270,60,36
1600863394,46,55
1600865334,60,49
1600867488,52,60
1600869415,50,52
1600871300,48,50
1600873247,44,45
1600875152,56,49
1600877092,32,54
1600878982,60,33
1600880918,37,60
1600882861,64,36
1600884767,50,63
1600886691,45,47
1600888588,45,50
1600890521,41,44
1600894353,33,41
1600896265,49,35
1600898209,51,48
1600900134,47,47
1600902061,44,50
1600903993,59,45
1600905884,39,59
1600907829,56,37
1600909727,45,56
1600912600,48,47
1600914503,54,46
1600916464,52,53
1600918360,66,56
1600920272,61,63
1600922247,60,63
1600924110,48,58
1600926039,58,51
1600927965,56,55
1600929879,52,50
1600931799,51,54
1600933732,49,53
1600935672,45,52
1600939476,50,46
1600941390,46,51
1600943304,51,44
1600945290,50,47
1600948124,54,52
1600950070,52,54
1600951936,46,52
1600953886,57,50
1600955808,46,57
1600957721,43,44
1600959676,48,43
1600961569,63,48
1600963467,55,65
1600965368,70,54
1600969236,65,68
1600971155,55,67
1600973087,54,53
1600974982,56,53
1600976921,42,57
1600978858,57,42
1600980762,51,59
1600982686,62,50
1600986501,42,62
1600988468,56,42
1600990360,60,56
1600992270,50,60
1600994234,55,47
1600997091,52,58
1600999004,46,48
1601000941,54,49
1601002865,48,55
1601004753,64,47
1601006724,47,64
1601009536,56,47
1601011474,45,55
1601013404,55,48
1601015299,51,54
1601017231,41,42
1601019190,61,46
1601022029,50,64
1601023946,39,49
1601025886,56,41
1601028793,50,57
1601030688,45,49
1601032606,48,44
1601034509,48,45
1601036448,45,49
1601038372,49,45
1601040262,38,48
1601042228,50,40
1601044384,58,51
1601046259,42,57
1601048205,62,44
1601050119,30,61
1601052042,61,29
1601057070,49,61
1601059006,63,48
1601060929,41,64
1601062835,55,44
1601064747,49,51
1601066707,45,48
1601068603,48,49
1601070536,53,48
1601072435,51,49
1601074351,54,53
1601076321,50,54
1601078202,53,49
1601080101,45,51
1601082060,52,49
1601083984,52,51
1601085867,56,55
1601087821,70,56
1601090663,55,66
1601092657,54,54
1601097378,59,59
1601099301,44,57
1601101254,39,34
