DateTime,AddedIPs,RemovedIPs
1599635763,62,79
1599641522,62,99
1599645362,77,56
1599649202,54,81
1599651122,11,5444
1599653042,3048,0
1599654962,2431,42
1599658803,60,72
1599662648,68,59
1599666482,64,89
1599670324,76,78
1599674208,65,68
1599678010,74,69
1599679921,1,6277
1599681842,3958,0
1599683763,2348,51
1599687603,53,83
1599691442,66,44
1599695281,101,59
1599699123,55,59
1599702964,96,70
1599706810,73,83
1599708722,33,4012
1599710642,3965,0
1599712562,74,87
1599716404,71,64
1599720242,56,64
1599724082,64,65
1599727923,63,79
1599731763,59,55
1599735607,45,58
1599737522,3,5576
1599739443,5566,0
1599741361,67,63
1599745442,65,53
1599747368,47,26
1599753123,43,39
1599756974,47,54
1599761286,37,58
1599767042,80,65
1599770882,42,54
1599774722,45,65
1599776642,41,45
1599782412,79,60
1599784322,18,4240
1599786242,4241,0
1599788162,82,56
1599793921,58,86
1599795843,73,91
1599799923,72,64
1599803763,79,56
1599807656,53,61
1599809521,8,5630
1599811442,3304,0
1599813395,2370,29
1599815282,248,288
1599817203,277,254
1599821042,46,28
1599822963,26,44
1599828722,36,32
1599832563,26,40
1599834482,40,38
1599838398,21,2576
1599840482,2548,0
1599844561,41,35
1599848403,34,54
1599850323,43,36
1599856082,43,40
1599858012,26,36
1599859922,8,4464
1599861842,2040,0
1599863762,2450,22
1599867604,59,43
1599871442,34,52
1599877441,60,44
1599879362,66,65
1599883209,50,66
1599885122,11,4774
1599887283,4761,0
1599889205,48,48
1599893042,42,42
1599897122,35,38
1599900963,52,38
1599906721,25,2686
1599908664,2656,0
1599910562,27,39
1599914402,32,41
1599918242,35,32
1599922082,35,35
1599925922,31,33
1599929762,27,42
1599933608,34,42
1599935524,0,6252
1599937682,6251,0
1599942003,31,30
1599943922,28,45
1599947763,37,31
1599951603,34,44
1599953522,22,3948
1599955443,3790,0
1599957362,204,57
1599961202,72,53
1599965042,66,60
1599968882,71,80
1599972722,51,44
1599976564,52,50
1599980409,39,37
1599984259,33,42
1599986402,41,23
1599990243,27,21
1599994323,22,28
1599998164,25,27
1600002007,22,28
1600005842,24,19
1600007762,20,28
1600011602,25,18
1600015442,25,30
1600019523,26,24
1600023362,21,34
1600027210,25,30
1600029158,16,2334
1600031042,109,0
1600032961,2226,18
1600036802,22,24
1600040642,64,29
1600044482,23,37
1600046402,37,23
1600048336,67,63
1600052162,52,52
1600056040,47,66
1600057922,6,5336
1600059844,3130,0
1600061777,2234,32
1600065603,35,30
1600069441,32,29
1600073283,29,38
1600077134,24,34
1600080987,29,29
1600084803,31,43
1600092722,54,56
1600094642,36,26
1600096803,26,30
1600100641,16,32
1600104722,0,371
1600106643,399,64
1600108562,29,31
1600112401,34,33
1600116242,36,39
1600120083,28,30
1600125841,77,43
1600131612,28,38
1600133521,43,2352
1600135682,2335,0
1600137603,49,57
1600141443,55,68
1600145282,144,55
1600151041,58,53
1600152964,34,39
1600154882,34,35
1600158721,10,4652
1600160642,4632,0
1600162562,62,43
1600166403,36,30
1600170242,32,35
1600174082,31,38
1600177922,44,30
1600181762,32,32
1600183682,35,39
1600189682,40,41
1600191602,45,43
1600195442,47,38
1600201442,40,44
1600203362,49,47
1600207210,35,35
1600209122,26,1255
1600211042,1223,0
1600212962,69,37
1600216802,38,35
1600221122,62,48
1600224962,52,59
1600228809,59,70
1600230724,50,597
1600232642,545,0
1600234562,52,54
1600238402,49,32
1600242242,30,36
1600246082,32,28
1600249922,30,40
1600253762,31,38
1600257605,33,28
1600261441,39,42
1600263362,30,46
1600267202,31,32
1600269124,32,31
1600271043,53,48
1600274882,41,45
1600278722,29,39
1600282562,42,32
1600286409,29,33
1600290242,50,52
1600296002,27,47
1600297925,47,27
1600318805,218,212
1600320722,22,3611
1600322642,3600,0
1600324562,49,55
1600328402,35,42
1600332243,44,43
1600336082,31,31
1600339922,29,45
1600341843,52,42
1600348804,47,67
1600354808,39,37
1600358642,48,38
1600360561,45,42
1600364403,39,32
1600368242,37,40
1600370163,40,37
1600372082,52,69
1600375921,46,40
1600377842,39,38
1600383610,32,44
1600423682,44,32
1600425602,256,232
1600429443,33,43
1600433282,34,51
1600437123,48,40
1600440962,39,34
1600444805,36,46
1600446722,15,5060
1600448641,5058,0
1600450562,39,57
1600456322,38,51
1600458245,35,33
1600460163,37,34
1600466163,35,52
1600468082,43,34
1600471921,51,1253
1600473843,1243,0
1600475762,38,43
1600479602,74,49
1600483442,60,69
1600487282,65,78
1600491121,55,58
1600493041,58,55
