DateTime,AddedIPs,RemovedIPs
1600922721,4,0
1600924220,1,0
1600925420,4,5
1600925718,1,1
1600926320,1,0
1600926621,1,0
1600927818,2,0
1600929019,4,0
1600929317,1,0
1600929921,1,0
1600931717,1,0
1600932618,7,0
1600934722,0,3
1600935320,1,0
1600936218,3,0
1600937117,1,0
1600937418,1,0
1600939820,1,0
1600940720,2,0
1600941018,3,0
1600941921,0,2
1600942219,2,0
1600942521,2,0
1600943422,2,2
1600944319,2,0
1600945818,1,0
1600946420,1,0
1600948221,1,0
1600950620,1,0
1600951520,22,0
1600952117,1,0
1600952718,0,2
1600953017,1,0
1600953319,23,0
1600954218,11,0
1600954517,2,0
1600955119,19,0
1600955418,1,0
1600956617,0,1
1600956919,5,0
1600957820,7,0
1600958118,3,0
1600958719,9,0
1600960520,8,0
1600961420,12,0
1600962018,1,0
1600962620,4,0
1600962918,0,1
1600963220,0,4
1600964117,3,1
1600965018,2,0
1600965917,5,0
1600967419,1,0
1600967717,1,0
1600968618,6,0
1600968917,1,0
1600969819,1,0
1600970720,0,2
1600971018,24,0
1600971320,5,0
1600972218,6,0
1600972518,1,0
1600974320,1,0
1600974619,15,0
1600975819,3,0
1600976417,1,0
1600976718,2,0
1600977019,1,0
1600977917,1,0
1600978218,3,0
1600979420,12,0
1600979717,2,0
1600980919,1,0
1600981818,5,0
1600982119,2,0
1600983020,12,1
1600983317,2,0
1600983920,1,0
1600985420,7,0
1600985720,1,0
1600986618,12,0
1600986917,2,0
1600989018,1,0
1600989320,1,0
1600990218,17,0
1600990517,3,0
1600992619,4,0
1600992919,2,0
1600993820,7,0
1600994117,3,0
1600994719,2,0
1600996219,1,0
1600996521,41,0
1600997419,10,0
1600998320,12,0
1601000119,2,0
1601001023,14,0
1601001317,1,0
1601001619,2,0
1601001918,8,0
1601003420,1,0
1601003720,1,0
1601004623,2,0
1601004917,4,0
1601005519,2,0
1601005818,1,0
1601007019,1,0
1601007619,1,0
1601008218,6,0
1601008518,19,0
1601008820,2,0
1601009121,2,0
1601009417,1,0
1601011218,0,6
1601011521,9,0
1601011819,4,0
1601012117,1,0
1601013020,1,0
1601014519,1,0
1601015419,6,0
1601016319,1,0
1601019020,5,0
1601019919,12,0
1601020218,1,0
1601022018,3,1
1601022619,6,0
1601022918,5,0
1601023521,1,0
1601025320,1,0
1601026220,7,0
1601026518,4,0
1601026819,1,0
1601027117,1,0
1601028019,11,0
1601029822,5,0
1601030118,1,0
1601031017,3,2
1601032219,1,0
1601033420,4,0
1601033717,1,0
1601034321,1,0
1601036120,3,0
1601037020,1,0
1601037317,1,0
1601037917,1,0
1601038219,1,0
1601038819,9,0
1601039122,0,1
1601039419,2,0
1601040017,1,0
1601040620,3,0
1601040918,1,0
1601041518,2,0
1601041818,6,0
1601042117,2,0
1601042719,0,1
1601044218,1,0
1601045421,1,0
1601046619,1,0
1601047817,2,0
1601048117,1,0
1601051418,2,0
1601051717,2,0
1601052320,1,0
1601053519,0,2
1601053820,7,0
1601054120,1,0
1601055019,2,0
1601055917,1,0
1601058620,2,0
1601060722,0,1
1601061322,1,0
1601062218,7,0
1601062517,1,0
1601063119,2,0
1601065819,4,0
1601066117,2,0
1601067020,1,0
1601068219,1,0
1601069421,2,0
1601072119,1,0
1601073018,4,0
1601073317,1,0
1601073921,2,0
1601075419,1,0
1601075721,2,0
1601076619,5,0
1601076917,72,0
1601077521,1,0
1601078719,0,1
1601079020,1,0
1601080222,4,0
1601081119,1,0
1601083818,4,0
1601084118,1,0
1601084719,1,0
1601086519,3,0
1601087419,5,0
1601088019,1,0
1601088620,3,0
1601090120,1,0
1601091021,6,0
1601091619,1,0
1601091920,1,0
1601093719,1,0
1601094618,3,0
1601095521,2,0
1601095820,2,0
1601098219,3,0
1601099419,1,0
1601100620,1,0
1601101818,3,0
1601102117,1,0
1601103020,1,0
1601105418,3,0
1601106321,2,0
1601106917,6,0
1601107518,0,3
1601109018,3,0
1601109318,2,0
1601109920,1,0
1601124924,15,3
1601126124,3,0
1601127027,4,0
1601128824,1,0
1601130628,3,0
1601131827,1,0
1601133326,1,0
1601134228,4,0
1601134523,1,0
1601135127,1,0
1601135424,1,0
1601136028,7,0
1601136324,1,0
1601137828,1,0
1601138727,2,0
1601139626,10,0
1601140527,1,0
1601141428,1,0
1601142923,1,0
1601144126,1,0
1601145026,2,0
1601145323,1,0
1601145925,1,0
1601148924,2,0
1601149825,1,0
1601155828,4,0
1601159428,2,0
1601163025,1,0
1601163323,1,0
1601165725,50,0
1601166627,9,0
1601167526,31,0
1601167825,1,0
1601169328,16,0
1601170229,5,0
1601170523,1,0
1601171128,13,0
1601173225,12,0
1601173829,6,0
1601174727,5,0
1601176525,2,0
1601177428,3,0
1601177723,2,0
1601178326,3,0
1601181025,1,0
1601181925,2,0
1601183727,1,0
1601184023,12,0
1601184630,3,0
1601185528,1,0
1601187325,1,0
1601187624,3,0
