DateTime,AddedIPs,RemovedIPs
1600585224,177,26
1600587154,12,11
1600589053,10,18
1600590997,15,14
1600592900,149,14
1600596003,77,0
1600596759,14,22
1600599602,114,0
1600600816,1,10
1600602760,13,13
1600603202,71,0
1600604689,12,12
1600606580,5,19
1600606802,103,0
1600608531,10,9
1600610436,4,17
1600612339,120,10
1600614284,112,5
1600616181,4,8
1600617603,64,0
1600618096,10,13
1600620056,14,9
1600621947,9,14
1600623868,12,4
1600624802,185,0
1600625834,832,819
1600627709,3,12
1600630582,14,12
1600632525,229,15
1600634464,13,11
1600636356,13,11
1600639202,143,0
1600640206,16,19
1600642104,11,8
1600644050,10,13
1600645686,44,82
1600645950,18,15
1600646402,142,3003
1600647883,20,15
1600649822,10,24
1600651707,14,0
1600653749,17,30
1600655913,175,13
1600656977,86,131
1600658070,19,12
1600659896,23,13
1600662743,128,54
1600664663,45,22
1600665302,237,0
1600666601,39,12
1600668522,29,10
1600668902,113,0
1600670417,21,14
1600672370,15,8
1600676205,14,22
1600678101,247,16
1600680990,22,4
1600682898,14,0
1600684858,151,13
1600686748,16,0
1600686902,234,0
1600688685,13,2
1600690588,7,12
1600694463,176,6
1600695002,144,0
1600696350,10,9
1600698291,11,4
1600698601,204,0
1600700440,6,1
1600702357,14,8
1600704263,7,3
1600706207,262,6
1600708107,4,13
1600710046,23,6
1600712886,7,17
1600713002,239,0
1600714849,10,5
1600716780,29,0
1600717689,877,822
1600718677,16,11
1600720202,231,0
1600721568,17,27
1600723470,17,12
1600725410,19,0
1600727306,9,13
1600729226,214,11
1600730651,45,0
1600731165,26,12
1600736197,188,31
1600738108,14,18
1600740030,89,1917
1600742202,25,12
1600742406,42,0
1600742702,294,0
1600744131,17,18
1600746248,32,75
1600746302,120,0
1600747973,16,41
1600749895,20,12
1600750329,128,24
1600751798,15,17
1600756579,19,63
1600757102,185,0
1600758513,13,21
1600760450,15,17
1600762362,25,0
1600764269,13,13
1600764302,223,0
1600768102,14,36
1600770045,10,14
1600773872,120,30
1600775799,6,12
1600777725,221,4
1600779625,15,0
1600782503,12,11
1600783203,341,0
1600784439,13,7
1600786349,9,5
1600786802,124,0
1600788289,9,9
1600790402,119,0
1600791175,7,12
1600794003,96,0
1600796936,10,45
1600797602,92,0
1600798856,8,0
1600800785,7,6
1600801202,108,0
1600802663,14,11
1600804603,12,24
1600804802,114,0
1600806542,7,16
1600808446,844,872
1600810383,120,15
1600812534,109,17
1600814433,17,7
1600815603,65,0
1600816352,9,16
1600818296,10,20
1600819448,39,85
1600820186,6,0
1600822104,20,0
1600822802,107,2854
1600824054,14,3
1600825973,12,17
1600827125,47,47
1600827872,20,13
1600829825,12,24
1600830002,147,0
1600830965,43,0
1600831687,10,25
1600833641,19,0
1600835600,122,16
1600837460,13,15
1600838646,17,41
1600839407,12,14
1600841586,193,0
1600843465,10,20
1600845381,13,12
1600847339,15,13
1600848003,236,0
1600849252,10,23
1600851143,7,10
1600853076,7,0
1600855005,14,11
1600855202,218,0
1600856927,6,8
1600858877,9,0
1600861270,19,4
1600863394,251,4
1600865334,14,5
1600867488,17,14
1600869415,19,10
1600870501,253,0
1600871300,16,9
1600873247,15,5
1600875152,17,6
1600877092,13,0
1600878982,131,5
1600880918,14,0
1600881302,194,0
1600882861,21,0
1600884767,15,8
1600886691,17,8
1600888588,9,5
1600889401,200,0
1600890521,8,10
1600893002,62,0
1600894353,7,15
1600896265,17,7
1600896601,79,0
1600898209,15,22
1600899612,868,870
1600900134,10,9
1600900202,86,0
1600902061,9,16
1600903993,54,7
1600905884,13,8
1600907829,156,2666
1600909727,16,17
1600912600,20,20
1600914503,18,25
1600914602,165,0
1600915452,37,82
1600916464,16,16
1600918360,31,8
1600919289,38,79
1600920272,22,12
1600922247,112,20
1600923128,133,0
1600924110,12,15
1600926039,18,13
1600927965,21,0
1600929001,210,0
1600929879,19,17
1600931799,14,6
1600933732,18,0
1600935672,15,19
1600936203,223,0
1600939476,17,14
1600941390,15,0
1600943304,10,11
1600945290,122,14
1600947002,312,0
1600948124,16,16
1600950070,17,19
1600951936,13,15
1600953886,16,0
1600955808,132,15
1600957721,14,39
1600958702,274,0
1600959676,8,14
1600961569,26,17
1600962302,89,0
1600963467,17,0
1600965368,27,14
1600965902,96,0
1600969236,34,30
1600969502,82,0
1600971155,17,18
1600973087,16,15
1600973102,128,0
1600974982,17,12
1600976921,6,7
1600978858,19,7
1600980762,157,7
1600982686,8,15
1600986501,13,18
1600987502,118,0
1600988468,11,18
1600989127,38,43
1600990360,10,0
1600991315,765,867
1600992270,7,20
1600994234,13,16
1600994702,132,2346
1600997091,15,12
1600999004,16,18
1601000646,40,0
1601000941,14,12
1601002865,115,19
1601004487,37,0
1601004753,20,0
1601005502,170,0
1601006724,15,49
1601009536,23,21
1601011474,8,12
1601012165,9,39
1601013404,122,15
1601013602,114,0
1601015299,21,18
1601017231,11,14
1601019190,158,14
1601020802,121,0
1601022029,16,16
1601023946,8,12
1601025886,21,14
1601028002,215,0
1601028793,13,12
1601030688,8,6
1601032606,8,11
1601034509,14,0
1601035203,223,0
1601036448,15,11
1601038372,6,29
1601040262,6,0
1601042228,20,22
1601042402,272,0
1601044384,20,13
1601046259,11,11
1601048205,27,21
1601050119,119,12
1601052042,123,28
1601057070,11,29
1601059006,107,16
1601060929,10,12
1601061302,209,0
1601062835,16,17
1601064747,10,6
1601066707,12,15
1601068603,17,14
1601070536,164,5
1601072435,27,0
1601074351,15,8
1601075702,121,0
1601076321,12,13
