DateTime,AddedIPs,RemovedIPs
1601086564,17,6
1601086774,51,63
1601087495,43,54
1601087821,21,17
1601088214,47,46
1601088935,31,43
1601089654,58,34
1601090375,27,30
1601090663,12,11
1601091095,46,36
1601091814,29,33
1601092657,49,72
1601093254,46,41
1601093975,44,44
1601094695,51,47
1601095415,32,41
1601096134,36,41
1601096854,41,44
1601097378,14,25
1601097574,36,45
1601098294,51,37
1601099015,44,36
1601099301,2,0
1601099734,40,55
1601100454,38,64
1601101254,70,70
1601101895,69,58
1601102614,56,53
1601103135,9,0
1601103335,49,43
1601104054,48,52
1601104774,47,53
1601105062,7,18
1601105494,28,49
1601106214,45,45
1601107007,57,77
1601107654,43,58
1601108374,44,54
1601108912,9,23
1601109095,28,61
1601109814,35,38
1601110534,35,66
1601110812,13,0
1601111255,43,66
1601111974,314,2148
1601112695,53,42
1601113415,39,45
1601114377,54,774
1601114929,11,0
1601115334,50,685
1601115846,16,7
1601116294,61,91
1601117015,36,44
1601117826,44,63
1601118454,47,43
1601119174,48,61
1601119702,9,0
1601120015,53,126
1601120615,36,102
1601121124,1,0
1601121335,44,96
1601121626,10,0
1601122054,38,38
1601122774,46,32
1601123573,60,67
1601124214,66,53
1601124934,46,49
1601125468,7,0
1601126134,78,82
1601126855,54,59
1601127408,8,14
1601127574,34,66
1601128294,36,85
1601129014,59,67
1601129331,8,18
1601129734,52,45
1601131279,113,91
1601131894,41,55
1601132615,50,59
1601133144,7,0
1601133334,37,58
1601134054,59,43
1601134775,47,62
1601135060,7,22
1601135494,65,53
1601136454,93,55
1601137021,6,9
1601137174,61,40
1601138015,60,47
1601138615,33,36
1601138911,6,14
1601139334,47,45
1601140054,53,104
1601140842,53,112
1601141494,41,61
1601142214,62,55
1601142753,12,0
1601142934,51,34
1601143654,62,34
1601144374,40,48
1601144663,9,16
1601145095,50,59
1601145871,72,39
1601146611,54,47
1601147254,41,40
1601147974,31,63
1601148532,18,13
1601148694,32,57
1601149414,43,43
1601150134,42,38
1601150440,19,15
1601150854,43,39
1601151574,34,34
1601152395,61,56
1601153015,39,62
1601153734,30,58
1601154249,14,14
1601154454,29,55
1601155174,32,53
1601155895,33,47
1601156186,15,0
1601156614,35,39
1601157334,40,35
1601158132,58,58
1601158774,45,57
1601159494,51,43
1601160050,12,40
1601160214,32,31
1601160486,13,10
1601160935,53,40
1601161654,30,42
1601161948,6,0
1601162374,34,39
1601163094,53,40
1601163883,42,51
1601164535,27,28
