DateTime,AddedIPs,RemovedIPs
1600921323,7,0
1600922523,2,0
1600923723,8,0
1600924923,5,1
1600926123,54,0
1600926723,2,0
1600927323,2,0
1600928523,4,0
1600929723,7,0
1600930923,2,0
1600932123,3,0
1600933356,18,0
1600934523,5,0
1600935724,5,0
1600936142,5,0
1600936381,1,1
1600936662,1,0
1600936924,1,0
1600937523,2,0
1600938723,2,0
1600939981,15,0
1600940523,4,0
1600941123,2,0
1600941723,3,0
1600942323,3,0
1600942923,1,0
1600944124,3,0
1600944723,1,0
1600945323,4,0
1600945923,3,0
1600946523,5,0
1600947181,5,0
1600948923,6,0
1600950123,2,1
1600951323,1,0
1600952523,11,0
1600953723,20,0
1600954923,9,0
1600956124,6,0
1600956723,4,0
1600957981,14,0
1600958523,4,0
1600959723,6,1
1600960323,6,0
1600960924,14,0
1600961524,19,4
1600962123,7,0
1600962723,4,0
1600963323,1,0
1600964523,3,0
1600965181,0,1
1600965723,10,0
1600966923,12,0
1600968123,7,0
1600969323,7,0
1600969923,13,1
1600970524,3,0
1600971723,3,0
1600972923,3,0
1600974123,3,0
1600974723,7,0
1600975323,4,0
1600975982,0,1
1600976523,2,1
1600977723,4,1
1600978923,5,1
1600979523,5,0
1600980123,4,0
1600981323,1,0
1600982523,1,3
1600983181,9,0
1600983723,2,1
1600984924,14,0
1600985523,6,0
1600986124,11,1
1600987323,4,0
1600988523,2,2
1600989723,5,0
1600990924,4,0
1600991524,2,0
1600992123,8,1
1600993323,3,2
1600993982,6,1
1600994523,2,1
1600995724,3,0
1600996323,3,0
1600996923,3,0
1600997524,5,0
1600998123,3,2
1600998723,0,1
1600999323,2,0
1601000523,7,0
1601001723,6,1
1601002923,8,0
1601004123,5,0
1601005323,5,0
1601006523,3,0
1601007124,39,1
1601007723,6,0
1601008924,12,0
1601010123,4,0
1601010723,2,0
1601011323,1,0
1601012524,4,0
1601013723,0,3
1601014924,13,0
1601016124,1,0
1601017324,5,1
1601018524,4,0
1601019181,2,0
1601020095,3,0
1601020324,3,0
1601020924,5,0
1601021314,1,0
1601022123,11,0
1601022782,4,0
1601023323,2,0
1601024524,5,0
1601025123,2,0
1601025723,1,0
1601026923,2,0
1601027523,1,0
