DateTime,AddedIPs,RemovedIPs
1600406649,49,30
1600408598,53,46
1600410485,51,46
1600412412,56,73
1600414352,42,63
1600416247,56,53
1600418166,61,51
1600420110,50,57
1600422008,57,55
1600424172,45,3083
1600426087,67,63
1600428006,1316,0
1600429928,128,59
1600431873,109,56
1600433764,107,81
1600435932,82,66
1600437846,77,66
1600439790,98,64
1600441697,76,49
1600443604,91,36
1600445550,70,47
1600447445,98,55
1600449365,131,63
1600451311,55,36
1600453203,81,41
1600455001,78,48
1600456802,85,58
1600458722,126,60
1600460643,83,36
1600462562,91,62
1600464483,78,50
1600466433,96,65
1600468322,101,48
1600470246,1087,0
1600472189,49,56
1600474086,45,48
1600476031,96,47
1600477926,45,40
1600479847,93,51
1600481789,64,64
1600483683,64,42
1600485605,36,39
1600487555,81,41
1600489447,43,32
1600491395,96,48
1600493282,37,40
1600495209,52,34
1600497136,56,44
1600499049,36,40
1600500988,72,64
1600502885,48,47
1600504804,35,34
1600506753,40,60
1600508647,65,40
1600510564,59,3172
1600512509,78,57
1600514411,1356,0
1600516326,67,56
1600518252,73,71
1600520168,111,90
1600522113,72,65
1600524015,136,67
1600525954,56,49
1600527845,44,59
1600530042,97,71
1600531926,64,56
1600533873,89,40
1600535767,92,51
1600537715,90,49
1600539631,102,68
1600541529,147,52
1600543446,72,46
1600545396,100,59
1600547284,64,57
1600549220,72,60
1600551150,68,52
1600553049,65,47
1600554992,93,58
1600556897,1150,0
1600558807,59,44
1600560761,51,68
1600562650,91,57
1600564571,254,74
1600566510,65,33
1600568408,46,57
1600570323,51,46
1600572257,52,44
1600574165,82,55
1600576114,36,30
1600578011,56,46
1600579930,45,44
1600581877,48,41
1600583770,78,55
1600585719,51,41
1600587620,55,59
1600589559,21,48
1600591454,57,47
1600593370,55,66
1600595320,58,42
1600597214,60,3465
1600599131,83,81
1600601073,1451,0
1600602968,111,44
1600604884,72,60
1600606839,108,92
1600608727,67,76
1600610680,52,67
1600612567,72,71
1600614492,57,50
1600616429,84,91
1600618333,76,53
1600620490,84,117
1600622408,70,42
1600624349,85,51
1600626577,71,55
1600628402,110,56
1600630325,92,58
1600632269,55,52
1600634166,96,49
1600636088,52,34
1600638030,102,67
1600639925,70,57
1600641849,71,75
1600643768,1202,0
1600645691,74,19
1600647628,71,38
1600649533,75,67
1600651453,60,47
1600653254,61,62
1600655388,46,49
1600657573,71,54
1600659415,61,68
1600661296,55,44
1600663204,68,82
1600665246,58,57
1600667306,83,54
1600669202,48,30
1600671121,75,61
1600673069,38,29
1600674988,66,66
1600676882,40,35
1600678805,63,43
1600680721,52,52
