DateTime,Entries,UniqueIPs
1600406649,6393,6393
1600408598,6400,6400
1600410485,6405,6405
1600412412,6388,6388
1600414352,6367,6367
1600416247,6370,6370
1600418166,6380,6380
1600420110,6373,6373
1600422008,6375,6375
1600424172,3337,3337
1600426087,3341,3341
1600428006,4657,4657
1600429928,4726,4726
1600431873,4779,4779
1600433764,4805,4805
1600435932,4821,4821
1600437846,4832,4832
1600439790,4866,4866
1600441697,4893,4893
1600443604,4948,4948
1600445550,4971,4971
1600447445,5014,5014
1600449365,5082,5082
1600451311,5101,5101
1600453203,5141,5141
1600455001,5171,5171
1600456802,5198,5198
1600458722,5264,5264
1600460643,5311,5311
1600462562,5340,5340
1600464483,5368,5368
1600466433,5399,5399
1600468322,5452,5452
1600470246,6539,6539
1600472189,6532,6532
1600474086,6529,6529
1600476031,6578,6578
1600477926,6583,6583
1600479847,6625,6625
1600481789,6625,6625
1600483683,6647,6647
1600485605,6644,6644
1600487555,6684,6684
1600489447,6695,6695
1600491395,6743,6743
1600493282,6740,6740
1600495209,6758,6758
1600497136,6770,6770
1600499049,6766,6766
1600500988,6774,6774
1600502885,6775,6775
1600504804,6776,6776
1600506753,6756,6756
1600508647,6781,6781
1600510564,3668,3668
1600512509,3689,3689
1600514411,5045,5045
1600516326,5056,5056
1600518252,5058,5058
1600520168,5079,5079
1600522113,5086,5086
1600524015,5155,5155
1600525954,5162,5162
1600527845,5147,5147
1600530042,5173,5173
1600531926,5181,5181
1600533873,5230,5230
1600535767,5271,5271
1600537715,5312,5312
1600539631,5346,5346
1600541529,5441,5441
1600543446,5467,5467
1600545396,5508,5508
1600547284,5515,5515
1600549220,5527,5527
1600551150,5543,5543
1600553049,5561,5561
1600554992,5596,5596
1600556897,6746,6746
1600558807,6761,6761
1600560761,6744,6744
1600562650,6778,6778
1600564571,6958,6958
1600566510,6990,6990
1600568408,6979,6979
1600570323,6984,6984
1600572257,6992,6992
1600574165,7019,7019
1600576114,7025,7025
1600578011,7035,7035
1600579930,7036,7036
1600581877,7043,7043
1600583770,7066,7066
1600585719,7076,7076
1600587620,7072,7072
1600589559,7045,7045
1600591454,7055,7055
1600593370,7044,7044
1600595320,7060,7060
1600597214,3655,3655
1600599131,3657,3657
1600601073,5108,5108
1600602968,5175,5175
1600604884,5187,5187
1600606839,5203,5203
1600608727,5194,5194
1600610680,5179,5179
1600612567,5180,5180
1600614492,5187,5187
1600616429,5180,5180
1600618333,5203,5203
1600620490,5170,5170
1600622408,5198,5198
1600624349,5232,5232
1600626577,5248,5248
1600628402,5302,5302
1600630325,5336,5336
1600632269,5339,5339
1600634166,5386,5386
1600636088,5404,5404
1600638030,5439,5439
1600639925,5452,5452
1600641849,5448,5448
1600643768,6650,6650
1600645691,6705,6705
1600647628,6738,6738
1600649533,6746,6746
1600651453,6759,6759
1600653254,6758,6758
1600655388,6755,6755
1600657573,6772,6772
1600659415,6765,6765
1600661296,6776,6776
1600663204,6762,6762
1600665246,6763,6763
1600667306,6792,6792
1600669202,6810,6810
1600671121,6824,6824
1600673069,6833,6833
1600674988,6833,6833
1600676882,6838,6838
1600678805,6858,6858
1600680721,6858,6858
1600682669,3457,3457
1600684572,3455,3455
1600686487,4891,4891
1600688402,4896,4896
1600690586,4953,4953
1600692504,4892,4892
1600694462,4864,4864
1600696348,4829,4829
1600698289,4890,4890
1600700439,5048,5048
1600702356,5062,5062
1600704261,5035,5035
1600706205,5053,5053
1600708105,5095,5095
1600710044,5243,5243
1600711954,5289,5289
1600713868,5299,5299
1600715766,5304,5304
1600717682,5350,5350
1600719628,5462,5462
1600721565,5555,5555
1600723468,5596,5596
1600725408,5620,5620
1600727304,5649,5649
1600729226,6907,6907
1600731165,6959,6959
1600733130,7007,7007
1600735263,7068,7068
1600737368,7091,7091
1600739285,7130,7130
1600741203,7190,7190
1600744130,7249,7249
1600746083,7301,7301
1600747972,7331,7331
1600749894,7408,7408
1600751797,7446,7446
1600753707,7470,7470
1600755695,7512,7512
1600757627,7528,7528
1600759446,7554,7554
1600761366,7591,7591
1600763309,7631,7631
1600765216,7653,7653
1600767125,7696,7696
1600769073,4501,4501
1600770963,4523,4523
1600772886,5996,5996
1600774827,6021,6021
1600776732,6075,6075
1600778646,6096,6096
1600780568,6141,6141
1600782501,6170,6170
1600784437,6226,6226
1600786347,6266,6266
1600788287,6327,6327
1600790265,6333,6333
1600792082,6379,6379
1600794030,6448,6448
1600795932,6464,6464
1600797844,6508,6508
1600799762,6555,6555
1600801685,6589,6589
1600803630,6642,6642
1600805525,6690,6690
1600807443,6705,6705
1600809367,6719,6719
1600811280,6745,6745
1600813226,6804,6804
1600815123,6808,6808
1600817046,7974,7974
1600818986,8014,8014
1600820883,8031,8031
1600822821,8019,8019
1600824749,8013,8013
1600826645,8012,8012
1600828564,8013,8013
1600830509,8020,8020
1600832404,8026,8026
1600834571,8044,8044
1600836483,8040,8040
1600838402,8016,8016
1600840322,7998,7998
1600842269,8012,8012
1600844198,7995,7995
1600846332,7995,7995
1600848247,7988,7988
1600850192,7996,7996
1600852089,7982,7982
1600854035,7987,7987
1600855931,3767,3767
1600857847,3747,3747
1600859770,5814,5814
1600861692,5771,5771
1600863866,5728,5728
1600865763,5664,5664
1600867952,5631,5631
1600869847,5592,5592
1600871792,5583,5583
1600873694,5548,5548
1600875630,5503,5503
1600877525,5492,5492
1600879444,5438,5438
1600881389,5407,5407
1600883284,5382,5382
1600885204,5388,5388
1600887148,5363,5363
1600889045,5375,5375
1600890985,5372,5372
1600892883,5408,5408
1600894808,5399,5399
1600896752,5377,5377
1600898648,5366,5366
1600900647,5382,5382
1600902514,7174,7174
1600904410,7136,7136
1600906360,7085,7085
1600908247,7037,7037
1600910164,7030,7030
1600912109,7013,7013
1600914005,6985,6985
1600915926,6939,6939
1600917869,6917,6917
1600919766,6886,6886
1600921684,6835,6835
1600923639,6796,6796
1600925529,6771,6771
1600927694,6758,6758
1600929606,6738,6738
1600931549,6704,6704
1600933449,6674,6674
1600935363,6655,6655
1600937308,6640,6640
1600939203,6592,6592
1600941127,6570,6570
1600943072,3052,3052
1600944968,3095,3095
1600946887,4287,4287
1600948843,4278,4278
1600950728,4297,4297
1600952889,4299,4299
1600954805,4316,4316
1600956992,4341,4341
1600958884,4346,4346
1600960826,4361,4361
1600962727,4370,4370
1600964649,4383,4383
1600966586,4438,4438
1600968483,4463,4463
1600970411,4499,4499
1600972353,4515,4515
1600974250,4558,4558
1600976186,4600,4600
1600978088,4635,4635
1600980002,4672,4672
1600981948,4691,4691
1600983849,4699,4699
1600985766,4717,4717
1600987708,4723,4723
1600989603,5750,5750
1600991767,5741,5741
1600993685,5755,5755
1600995638,5795,5795
1600997534,5824,5824
1600999471,5843,5843
1601001365,5857,5857
1601003290,5874,5874
1601005228,5868,5868
1601007138,5883,5883
1601009069,5882,5882
1601010965,5937,5937
1601012884,5949,5949
1601014829,5977,5977
1601016724,6010,6010
1601018647,6041,6041
1601020589,6077,6077
1601022484,6095,6095
1601024437,6140,6140
1601026323,6157,6157
1601028490,3345,3345
1601030409,3380,3380
1601032328,4655,4655
1601034245,4657,4657
1601036185,4694,4694
1601038084,4716,4716
1601040048,4739,4739
1601041925,4756,4756
1601043867,4774,4774
1601045765,4819,4819
1601047687,4827,4827
1601049638,4864,4864
1601051523,4896,4896
1601053449,4905,4905
1601055387,4927,4927
1601057309,4943,4943
1601059206,4978,4978
1601061125,5018,5018
1601063067,5076,5076
1601064963,5126,5126
1601067128,5195,5195
1601069068,5208,5208
1601070963,5260,5260
1601072882,5303,5303
1601074840,6343,6343
1601076731,6342,6342
1601078890,6379,6379
1601080809,6390,6390
1601082994,6404,6404
1601084885,6417,6417
1601086829,6424,6424
1601088732,6449,6449
1601090663,6454,6454
1601092657,6485,6485
1601094527,6511,6511
1601096509,6502,6502
1601098351,6512,6512
1601100248,6517,6517
1601102168,6537,6537
1601104115,6546,6546
1601106013,6572,6572
1601107926,6585,6585
1601109869,6602,6602
1601111768,6625,6625
1601113687,6646,6646
1601115603,3561,3561
1601117524,3550,3550
1601119447,5139,5139
1601121465,5159,5159
1601123285,5182,5182
1601125209,5187,5187
1601127128,5203,5203
1601129069,5210,5210
1601131278,5234,5234
1601133143,5254,5254
1601135059,5297,5297
1601137020,5308,5308
1601138909,5309,5309
1601140840,5295,5295
1601142752,5304,5304
1601144662,5327,5327
1601146610,5334,5334
1601148531,5347,5347
1601150438,5333,5333
1601152394,5334,5334
1601154247,5331,5331
1601156184,5362,5362
1601158130,5360,5360
1601160050,5355,5355
1601161948,6676,6676
1601163883,6684,6684
1601165793,6696,6696
1601167712,6748,6748
1601169641,6897,6897
1601171545,6910,6910
1601173504,6923,6923
1601175394,6922,6922
1601177340,6929,6929
1601179256,6934,6934
1601181182,6930,6930
1601183065,6928,6928
1601184974,6923,6923
1601186935,6932,6932
1601188824,6900,6900
1601190749,6864,6864
1601192738,6853,6853
1601194577,6840,6840
1601196528,6836,6836
1601198415,6797,6797
1601201286,3478,3478
1601203202,3461,3461
1601205175,4907,4907
1601207077,4913,4913
1601208977,4911,4911
1601210918,4907,4907
1601212824,4861,4861
1601214747,4873,4873
1601216684,4969,4969
1601218564,4954,4954
1601220524,4965,4965
1601222423,4974,4974
1601224362,5004,5004
1601226284,5060,5060
1601228178,5102,5102
1601230368,5178,5178
1601232291,5248,5248
1601234212,5308,5308
1601236120,5361,5361
1601238042,5412,5412
1601239968,5492,5492
1601241868,5553,5553
1601243825,5599,5599
1601245710,5614,5614
1601247660,6839,6839
1601249565,6852,6852
1601251719,6902,6902
1601253902,6950,6950
1601255770,6963,6963
1601257687,6985,6985
1601259628,7017,7017
1601261528,7059,7059
1601263451,7080,7080
1601265387,7116,7116
1601267286,7144,7144
1601269215,7213,7213
1601271149,7241,7241
1601273047,7253,7253
1601274970,7269,7269
1601276913,7274,7274
1601278811,7292,7292
1601280726,7299,7299
1601282669,7311,7311
1601284806,7312,7312
1601286727,7321,7321
1601288670,4099,4099
1601290567,4136,4136
1601292486,5527,5527
1601294444,5552,5552
1601296332,5544,5544
1601298490,5538,5538
1601300405,5521,5521
1601302352,5535,5535
1601304245,5560,5560
1601306166,5588,5588
1601308084,5603,5603
1601310003,5629,5629
1601311947,5675,5675
1601313849,5702,5702
1601315786,5740,5740
1601317684,5762,5762
1601319610,5785,5785
1601321552,5799,5799
1601323449,5826,5826
1601325365,5843,5843
1601327322,5871,5871
1601329207,5914,5914
1601331152,5907,5907
1601333055,5943,5943
1601334969,7090,7090
1601336910,7092,7092
1601338804,7090,7090
1601340730,7063,7063
1601342672,7037,7037
1601344564,7046,7046
1601346786,7053,7053
1601348916,7060,7060
1601350840,7084,7084
1601352788,7082,7082
1601354647,7100,7100
1601356566,7114,7114
1601358506,7134,7134
1601360403,7142,7142
1601362323,7171,7171
1601364268,7208,7208
1601366164,7212,7212
1601368082,7236,7236
1601370041,7232,7232
1601371932,7259,7259
1601373871,3472,3472
