DateTime,AddedIPs,RemovedIPs
1600446604,872,621
1600448404,725,378
1600450204,860,768
1600452004,930,914
1600453803,772,657
1600455604,640,901
1600457404,568,796
1600459204,535,864
1600461004,494,720
1600462803,622,808
1600464604,749,1022
1600466403,383,951
1600468203,525,1002
1600470004,1238,1276
1600471803,623,661
1600474504,954,827
1600476304,753,596
1600478104,536,542
1600479904,299,624
1600481704,382,708
1600483504,405,921
1600485303,776,953
1600487104,273,676
1600488904,210,385
1600490703,287,565
1600492503,287,695
1600494304,426,712
1600496103,367,629
1600497903,378,542
1600499703,594,607
1600501504,301,577
1600503303,403,530
1600505103,674,481
1600506904,749,581
1600508704,845,714
1600510504,873,340
1600512304,1001,475
1600514104,1006,1176
1600515903,508,596
1600517703,1117,1102
1600519503,1081,1027
1600521303,536,408
1600523103,994,439
1600524903,824,400
1600526704,852,738
1600528503,641,304
1600531204,957,353
1600533003,648,348
1600534803,722,445
1600536603,705,289
1600538403,806,449
1600541103,1238,877
1600542903,683,670
1600544704,606,792
1600546504,446,849
1600548304,295,791
1600550104,312,864
1600551903,471,638
1600553704,455,766
1600555504,590,810
1600557303,390,491
1600559103,430,1006
1600560903,524,904
1600562704,441,663
1600564504,605,889
1600566305,554,739
1600568104,472,668
1600569904,518,789
1600572604,924,1142
1600574404,618,808
1600576205,582,905
1600578004,759,939
1600579804,674,720
1600581605,597,770
1600583404,448,451
1600585204,548,527
1600587004,1388,593
1600588804,620,268
1600590604,645,245
1600592404,693,294
1600594203,538,525
1600596004,940,595
1600598704,1193,694
1600600504,715,332
1600602303,516,331
1600604104,1027,594
1600605905,1004,797
1600607705,833,1064
1600609504,803,513
1600612204,1663,1113
1600614005,940,632
1600615804,933,607
1600617604,901,665
1600619404,871,640
1600621204,705,525
1600623004,896,787
1600624804,815,1285
1600626604,641,745
1600628403,743,1103
1600630204,668,791
1600632004,660,1196
1600633804,696,801
1600635604,505,534
1600637404,580,658
1600639204,498,886
1600641004,501,1032
1600642805,371,282
1600644604,456,200
1600646404,440,308
1600648203,480,737
1600650904,898,963
1600652703,584,590
1600654504,527,522
1600657203,738,748
1600659904,831,1037
1600661704,416,835
1600663503,190,842
1600665304,129,704
1600667104,242,877
1600668903,193,826
1600670703,294,638
1600672503,408,741
1600675203,452,1046
1600677003,246,637
1600678803,291,563
1600680603,281,628
1600682403,286,452
1600684203,304,486
1600686002,339,442
1600688703,535,619
1600690502,344,434
1600692303,524,476
1600694103,1045,578
1600695902,769,543
1600697702,797,553
1600699503,824,504
1600701302,914,516
1600703103,579,527
1600704903,855,497
1600706703,709,360
1600708503,627,125
1600710303,1040,212
1600712103,600,244
1600713903,621,201
1600715703,556,406
1600717502,627,365
1600719303,517,306
1600721103,298,254
1600722903,511,285
1600724703,379,292
1600726503,343,290
1600728303,369,304
1600730103,352,336
1600731903,293,374
1600733703,353,346
1600735503,390,433
1600737303,495,801
1600739104,374,835
1600740903,605,922
1600743603,548,1068
1600745403,512,904
1600748103,1092,1109
1600749903,324,495
1600751704,207,800
1600753503,579,800
1600755303,231,817
1600757103,644,633
1600758903,751,565
1600760703,662,652
1600762502,362,444
1600764303,518,437
1600766103,475,444
1600767902,479,390
1600769704,451,404
1600771502,672,365
1600773303,540,297
1600775103,722,336
1600776903,506,367
1600778703,883,333
1600780503,471,534
1600782304,781,346
1600784104,457,2282
1600785904,840,4097
1600787704,492,4772
1600789504,630,1777
1600791304,772,356
1600793105,457,142
1600794905,982,167
1600796705,531,86
1600798504,706,87
1600800305,597,95
1600802107,577,99
1600803906,623,73
1600805705,794,88
1600807506,469,109
1600809306,768,163
1600811105,429,125
1600812906,485,170
1600814705,579,151
1600816506,452,169
1600818305,538,79
1600820106,611,86
1600821906,407,80
1600823706,324,63
1600825506,1189,109
1600827304,185,59
1600829104,208,74
1600830904,455,110
1600832703,416,101
1600834503,509,875
1600836304,402,434
1600838104,670,690
1600839904,145,766
1600841703,242,653
1600843504,257,621
1600845303,322,547
1600847103,69,707
1600848904,262,620
1600850703,293,657
1600852503,292,550
1600854303,330,630
1600856103,413,344
1600857903,268,673
1600859703,294,413
1600862404,435,782
1600864203,422,619
1600866003,238,412
1600867804,436,330
1600869603,295,1140
1600871404,503,201
1600873203,440,210
1600875004,198,454
1600876803,630,335
1600878603,448,448
1600880404,488,406
1600882203,430,674
1600884003,177,144
1600885802,290,240
1600888503,598,493
1600890303,251,113
1600892104,273,234
1600893903,385,134
1600895703,135,254
1600897503,330,429
1600900203,438,552
1600902003,231,271
1600903803,154,292
1600905602,370,238
1600908303,499,609
1600910103,179,232
1600911903,355,428
1600913703,258,301
1600915503,412,485
1600917303,85,433
1600919103,210,188
1600920902,374,621
1600922704,165,452
1600924503,560,468
1600926303,203,446
1600928103,278,183
1600929903,449,295
1600931703,241,492
1600933503,661,284
1600935303,255,169
1600937103,264,444
1600938903,489,189
1600940703,100,218
1600942504,190,473
1600944303,277,162
1600946103,329,220
1600947903,194,157
1600949703,568,359
1600951503,508,313
1600953303,452,278
1600955103,232,269
1600956903,572,363
1600958703,206,201
1600960504,317,343
1600962303,549,90
1600964104,278,487
1600965903,215,122
1600967703,64,341
1600969503,56,478
1600971303,62,217
1600973103,985,466
1600974903,210,232
1600976703,451,384
1600978503,495,613
1600980304,294,118
1600982103,181,598
1600983903,202,171
1600985703,264,174
1600987503,248,269
1600989302,368,176
1600991103,189,291
1600992903,332,502
1600994703,141,415
1600996503,308,635
1600998303,177,174
1601000103,429,403
1601001903,150,379
1601003704,447,245
1601005503,258,572
1601007302,384,277
1601009103,369,321
1601010903,203,81
1601012703,516,66
1601014503,124,54
1601016303,235,802
1601018103,400,326
1601019903,134,310
1601022604,758,724
1601024402,254,286
1601026204,299,173
1601028003,263,200
1601029803,392,258
1601032503,360,437
1601034303,479,295
1601036103,368,234
1601037903,424,254
1601039703,381,283
1601041503,332,150
1601044204,908,1194
1601046003,368,1997
1601047804,808,1756
1601049604,223,1052
1601051404,383,1122
1601053203,484,288
1601055004,286,402
1601057704,381,267
1601059504,466,325
1601061304,279,575
1601063105,300,143
1601064905,301,67
1601066704,369,56
1601068505,440,120
1601070304,163,85
1601072104,259,86
1601073905,320,82
1601075704,113,56
1601077505,543,156
1601079304,254,79
1601081106,171,214
1601082905,393,149
1601084704,180,213
1601087405,343,29
1601090104,625,68
1601091904,214,48
1601094604,516,238
1601096404,360,656
1601098203,338,292
1601100004,412,217
1601101804,435,202
1601103604,532,446
1601105404,417,266
1601107203,132,293
1601109003,398,289
1601110803,425,364
1601112604,571,410
1601114403,645,147
1601116203,491,243
1601118003,523,298
1601119803,434,126
1601121603,413,533
1601123404,701,247
1601125203,353,166
1601127003,343,375
1601128803,497,170
1601130604,468,126
1601133303,666,695
1601135103,475,186
1601136903,343,306
1601139604,455,365
1601141403,546,324
1601143204,366,460
1601145003,421,336
