DateTime,AddedIPs,RemovedIPs
1600920123,4,7
1600921323,7,4
1600922523,3,1
1600923723,7,5
1600924323,4,7
1600924923,2,0
1600926123,5,0
1600926723,3,0
1600928523,6,0
1600929723,7,13
1600930923,2,3
1600932123,5,6
1600933356,6,2
1600933923,1,0
1600934523,5,2
1600935724,5,6
1600936142,9,2
1600936662,1,0
1600936924,2,2
1600937523,1,0
1600938123,1,5
1600938723,2,0
1600939324,0,5
1600940523,0,1
1600941123,1,1
1600941723,2,0
1600942323,3,6
1600942923,3,3
1600944124,3,4
1600945323,3,3
1600945923,3,1
1600946523,5,0
1600947124,6,5
1600947724,2,0
1600948923,7,5
1600950123,2,15
1600952523,11,16
1600953723,18,1
1600954923,10,0
1600956124,7,8
1600956723,5,6
1600957924,15,10
1600958523,4,0
1600959723,6,29
1600960323,9,4
1600960924,17,0
1600961524,5,0
1600962123,10,5
1600962723,5,0
1600963323,2,6
1600964523,6,24
1600965723,12,21
1600966923,12,0
1600968123,8,41
1600969323,7,0
1600969923,14,24
1600970524,4,8
1600971723,4,14
1600972324,1,0
1600972923,4,0
1600974123,4,18
1600974723,9,0
1600975323,3,7
1600976523,4,11
1600977723,5,29
1600978923,4,18
1600979523,2,0
1600980123,3,25
1600981323,1,35
1600982523,2,24
1600983123,10,0
1600983723,3,12
1600984924,14,13
1600985523,10,21
1600986124,11,8
1600987323,3,0
1600987923,3,29
1600989723,6,25
1600990924,3,22
1600991524,1,0
1600992123,9,0
1600993323,5,34
1600993924,7,5
1600994523,2,5
1600995724,3,5
1600996323,4,0
1600996923,2,0
1600997524,4,5
1600998123,3,34
1600999323,2,13
1601000523,7,0
1601001723,8,15
1601002923,12,15
1601004123,8,5
1601005323,7,0
1601006523,5,19
1601007124,11,6
1601007723,6,4
1601008924,12,22
1601010123,7,0
1601010723,4,27
1601011323,3,6
1601012524,3,2
1601013723,7,6
1601014924,8,5
1601016124,0,30
1601017324,7,5
1601018524,4,8
1601019123,3,0
1601020324,3,5
1601020924,6,0
1601021314,1,15
1601022123,2,1
1601022724,5,3
1601023323,3,0
1601023923,0,16
1601024524,3,9
1601025123,4,0
1601025723,1,22
1601026923,2,5
1601027523,1,0
1601028123,4,24
1601029323,4,12
1601030523,4,6
1601031123,5,10
1601031724,2,2
1601032323,1,36
1601033523,1,12
1601034123,3,0
1601035323,4,35
1601036523,7,0
1601037723,1,3
1601038324,6,14
1601038923,1,11
1601039524,6,1
1601041323,2,9
1601042523,3,5
1601043723,3,0
1601044923,3,31
1601046123,4,0
