DateTime,AddedIPs,RemovedIPs
1600896723,0,2
1600897923,0,14
1600898524,4,0
1600899123,2,8
1600900323,10,0
1600901524,8,0
1600902123,4,0
1600903323,13,4
1600904523,7,3
1600905724,4,26
1600906923,1,0
1600908123,11,28
1600909324,3,4
1600910523,2,0
1600911123,0,1
1600912324,1,1
1600912923,5,1
1600913432,3,0
1600914123,0,1
1600914723,2,0
1600915323,0,1
1600915526,2,0
1600916583,0,5
1600917123,1,0
1600917723,14,1
1600918923,11,4
1600920123,9,17
1600921323,1,13
1600922523,1,6
1600923723,1,5
1600924923,1,3
1600925523,53,0
1600926723,4,5
1600927323,6,1
1600927923,3,5
1600928523,1,4
1600929723,3,1
1600930923,1,7
1600932123,2,0
1600933323,47,13
1600934523,5,0
1600935687,5,8
1600937523,3,5
1600938723,0,1
1600939924,15,4
1600940523,5,12
1600941123,1,0
1600941723,1,0
1600942323,0,3
1600944124,5,4
1600944723,3,1
1600945323,1,0
1600945923,2,0
1600946523,2,0
1600947124,0,8
1600947724,0,1
1600950123,2,0
1600951323,2,2
1600952523,2,0
1600953723,6,1
1600954323,0,1
1600955523,1,0
1600956124,1,7
1600956723,1,2
1600957323,1,48
1600958523,2,6
1600959723,1,2
1600960924,44,8
1600961524,3,0
1600962723,2,3
1600963323,5,2
1600965723,7,9
1600966323,6,0
1600966923,3,0
1600968123,1,0
1600969323,6,0
1600969923,1,0
1600970524,5,0
1600971723,3,3
1600972323,4,4
1600973523,11,32
1600974123,3,0
1600975323,7,19
1600976523,7,12
1600977723,8,1
1600978923,1,8
1600979523,5,0
1600980123,2,0
1600981323,2,2
1600982523,10,3
1600983123,5,1
1600983723,2,0
1600984924,14,2
1600985523,5,2
1600987323,10,10
1600988523,17,23
1600989123,8,11
1600989723,5,0
1600990924,10,3
1600991523,13,0
1600992123,2,0
1600993323,29,5
1600993924,8,0
1600995724,7,0
1600996323,0,3
1600996923,3,0
1600997524,5,1
1600998723,4,4
1600999323,0,2
1601000523,9,2
1601001723,1,1
1601002323,1,0
1601003523,1,10
1601004123,4,9
1601005323,1,1
1601006523,4,0
1601007124,65,1
1601007723,4,0
1601008924,7,0
1601010123,2,1
1601011323,0,1
1601012524,3,23
1601013123,4,0
1601013723,2,2
1601014924,3,5
1601015524,4,4
1601016124,1,1
1601018524,2,0
1601019123,1,78
1601020095,4,0
1601020924,4,0
1601022123,29,0
1601023323,16,3
1601024523,3,2
1601025123,1,0
1601025723,2,6
1601026923,0,5
1601027523,8,0
1601028123,5,2
1601029323,3,0
1601030523,5,5
1601031723,2,3
1601032323,0,2
1601032924,1,0
1601034123,1,0
1601034723,4,0
1601035323,1,0
1601036523,1,2
1601037723,1,3
1601038923,1,0
1601039524,5,1
1601040724,6,3
1601041923,1,0
1601042523,1,1
1601043723,66,1
1601044323,7,4
1601045523,2,0
1601046723,0,49
1601048523,1,1
1601049123,0,7
1601050923,0,1
1601052123,2,0
1601053324,1,4
1601054523,1,1
1601055723,1,6
1601056323,0,5
1601057523,4,4
1601058123,6,0
1601058723,1,15
1601059923,3,1
1601061123,6,5
1601061723,3,7
1601062923,10,0
1601064123,10,13
1601065323,21,3
1601066523,8,10
1601067723,6,0
1601068923,3,8
1601069523,0,2
1601070123,6,0
1601071323,35,1
1601072523,6,7
1601073723,4,23
1601074923,13,0
1601076124,13,9
1601077323,15,10
1601078524,8,31
1601079123,11,0
1601080323,14,4
1601081523,8,4
1601082124,7,0
1601082723,0,3
1601083323,1,10
1601084525,4,8
1601085723,67,5
1601086923,9,0
1601087524,1,3
1601088124,3,0
1601089323,0,4
1601089923,3,3
1601091123,4,2
1601091723,0,6
1601092924,1,0
1601094123,3,63
1601095323,2,2
1601096523,6,8
1601097723,7,3
1601098924,13,0
1601100123,15,12
1601100723,8,0
1601101923,47,0
1601102523,5,0
1601103723,2,1
1601104923,2,3
1601106123,1,0
1601107323,2,8
1601107923,0,26
1601109123,0,14
1601110924,0,1
1601112123,0,2
1601112723,3,5
1601114523,4,5
1601115723,8,0
1601116923,2,1
1601117523,1,0
1601118723,2,2
1601119923,0,2
1601120523,4,2
1601121723,2,1
1601122923,1,0
1601124123,0,3
1601125323,1,3
1601125923,0,8
1601126523,2,6
1601127123,1,0
1601128322,1,0
1601129523,0,41
1601130123,0,28
1601131923,40,1
1601133123,1,1
1601133723,4,2
1601134323,5,0
1601135523,3,1
1601136123,1,0
1601136723,5,1
1601137323,42,0
1601138524,7,2
1601139123,2,2
1601140323,2,1
1601141523,7,2
1601143322,1,2
1601144523,6,4
1601145723,40,3
1601146923,9,5
1601147523,8,19
1601148723,5,0
1601149323,1,22
1601149923,4,0
1601151123,12,11
1601152323,2,7
1601153524,7,6
1601154123,8,0
1601155323,25,3
1601155923,4,0
1601156523,1,9
1601157123,9,0
1601157723,8,33
1601158323,15,2
1601158923,39,0
1601160123,25,20
1601160723,12,0
1601161924,32,4
1601162524,8,0
1601163124,6,18
1601163723,2,2
1601164924,9,0
1601165523,11,13
1601166724,7,6
1601167323,7,14
1601168524,11,3
1601169723,15,4
1601170324,5,1
1601171523,5,19
1601172123,3,0
1601173323,2,34
1601173924,7,5
1601174523,9,4
1601175124,4,0
1601176324,16,4
1601176924,1,4
1601177523,2,0
1601178124,3,6
1601178723,1,0
1601179323,4,0
1601180523,6,4
1601181723,5,7
1601182923,1,13
1601184124,9,2
1601185323,5,19
1601186523,2,0
1601187723,21,37
1601188923,4,12
1601189523,4,9
1601191323,2,0
1601191923,2,0
1601193723,5,0
1601194323,1,1
1601195523,1,1
1601196723,4,0
1601197923,0,5
1601199123,1,0
1601199723,7,1
1601201523,6,3
1601202123,6,5
1601205123,7,1
1601205723,0,1
1601207523,1,4
1601208723,1,2
1601209923,1,0
1601210523,2,1
1601211724,2,0
1601212323,1,0
1601212923,1,6
1601214123,1,6
1601214723,3,2
1601217723,4,20
1601218923,6,3
1601220123,2,1
1601221323,3,3
1601221923,3,0
1601222522,1,0
1601223723,2,21
1601224323,2,9
1601225523,7,15
1601226723,1,0
1601227323,2,3
1601228523,1,1
1601229123,3,0
1601229723,8,0
1601230323,1,4
1601230923,6,0
1601232723,13,65
1601233323,1,0
1601233923,5,16
1601235124,6,0
1601235723,3,16
1601236923,11,6
1601238123,5,1
1601239923,9,9
1601240523,6,13
1601241124,1,0
1601241724,7,0
1601242324,10,2
1601242923,3,5
1601244123,8,13
1601244723,2,0
1601245923,2,55
1601246524,11,0
1601247723,14,39
1601248324,10,0
1601248923,7,13
1601249523,0,7
1601250123,9,16
1601251324,11,8
1601251924,0,5
1601252523,6,0
1601254923,30,19
1601255523,14,16
1601256123,0,4
1601257323,19,11
1601257923,6,2
1601258523,3,0
1601259724,6,6
1601260323,3,0
1601260923,6,13
1601262123,7,15
1601263324,12,4
1601263923,2,5
1601265723,8,11
1601266923,4,11
1601267523,1,4
1601269323,2,10
1601269923,7,0
1601271123,7,7
