DateTime,AddedIPs,RemovedIPs
1600925523,62,62
1600926723,10,10
1600927323,9,9
1600927923,7,7
1600928523,5,5
1600929723,6,6
1600930923,2,2
1600932123,5,5
1600933323,86,86
1600934523,24,24
1600935687,10,10
1600936142,3,3
1600937523,11,11
1600938723,6,6
1600939924,17,17
1600940523,11,11
1600941123,13,13
1600941723,8,8
1600942323,9,9
1600944124,21,21
1600944723,8,8
1600945323,12,12
1600945923,7,7
1600946523,8,8
1600947124,8,8
1600947724,4,4
1600950123,6,6
1600951323,10,10
1600952523,7,7
1600953723,14,14
1600954323,8,8
1600955523,6,6
1600956124,8,8
1600956723,4,4
1600957323,5,5
1600958523,7,7
1600959723,9,9
1600960924,75,75
1600961524,7,7
1600962123,4,4
1600962723,8,8
1600963323,22,22
1600965723,19,19
1600966323,12,12
1600966923,16,16
1600968123,14,14
1600969323,18,18
1600969923,14,14
1600970524,18,18
1600971723,11,11
1600972323,12,12
1600973523,21,21
1600974123,4,4
1600975323,15,15
1600976523,18,18
1600977723,35,35
1600978923,10,10
1600979523,11,11
1600980123,5,5
1600981323,10,10
1600982523,26,26
1600983123,19,19
1600983723,9,9
1600984924,23,23
1600985523,8,8
1600986124,9,9
1600987323,28,28
1600988523,46,46
1600989123,23,23
1600989723,13,13
1600990924,31,31
1600991523,25,25
1600992123,12,12
1600993323,64,64
1600993924,19,19
1600994523,10,10
1600995724,24,24
1600996323,15,15
1600996923,11,11
1600997524,18,18
1600998723,19,19
1600999323,10,10
1601000523,26,26
1601001723,10,10
1601002323,5,5
1601003523,15,15
1601004123,17,17
1601005323,12,12
1601006523,17,17
1601007124,89,89
1601007723,29,29
1601008924,27,27
1601010123,21,21
1601011323,18,18
1601012524,16,16
1601013123,14,14
1601013723,17,17
1601014924,23,23
1601015524,20,20
1601016124,7,7
1601016723,10,10
1601018524,10,10
1601019123,11,11
1601020095,13,13
1601020924,12,12
1601021314,10,10
1601022123,57,57
1601023323,49,49
1601024523,13,13
1601025123,6,6
1601025723,9,9
1601026923,19,19
1601027523,20,20
1601028123,9,9
1601029323,16,16
1601030523,19,19
1601031723,17,17
1601032323,8,8
1601032924,9,9
1601034123,10,10
1601034723,19,19
1601035323,17,17
1601036523,16,16
1601037723,11,11
1601038323,3,3
1601038923,9,9
1601039524,15,15
1601040724,17,17
1601041923,5,5
1601042523,3,3
1601043723,96,96
1601044323,38,38
1601044923,4,4
1601045523,5,5
1601046723,9,9
1601048523,10,10
1601049123,4,4
1601049724,6,6
1601050923,6,6
1601052123,8,8
1601053324,7,7
1601054523,4,4
1601055723,8,8
1601056323,5,5
1601057523,16,16
1601058123,17,17
1601058723,16,16
1601059923,15,15
1601060523,12,12
1601061123,24,24
1601061723,14,14
1601062923,30,30
1601064123,28,28
1601065323,40,40
1601066523,20,20
1601067723,24,24
1601068923,8,8
1601069523,8,8
1601070123,15,15
1601071323,73,73
1601072523,17,17
1601073723,16,16
1601074923,34,34
1601076124,24,24
1601077323,45,45
1601078524,22,22
1601079123,29,29
1601080323,35,35
1601081523,38,38
1601082124,21,21
1601082723,9,9
1601083323,10,10
1601084525,10,10
1601085723,94,94
1601086923,48,48
1601087524,16,16
1601088124,20,20
1601089323,21,21
1601089923,16,16
1601091123,21,21
1601091723,5,5
1601092924,16,16
1601094123,13,13
1601094723,14,14
1601095323,13,13
1601096523,26,26
1601097723,21,21
1601098924,24,24
1601100123,40,40
1601100723,19,19
1601101923,86,86
1601102523,17,17
1601103723,31,31
1601104923,14,14
1601106123,11,11
1601107323,13,13
1601107923,8,8
1601109123,11,11
1601110323,10,10
1601110924,11,11
1601112123,10,10
