DateTime,AddedIPs,RemovedIPs
1599053582,3,3
1599057181,0,1
1599060781,2,1
1599064381,6,0
1599067982,4,0
1599071581,3,1
1599075181,1,0
1599078782,3,0
1599085981,2,0
1599093181,4,0
1599096782,4,2
1599100381,1,0
1599103982,1,2
1599107581,1,0
1599111182,0,1
1599114781,3,0
1599118382,1,0
1599121982,4,2
1599125581,3,0
1599129181,1,0
1599132781,2,1
1599136381,1,0
1599139981,4,0
1599143581,3,0
1599147181,4,0
1599150781,1,2
1599154382,5,1
1599157982,2,0
1599161581,3,0
1599165182,2,0
1599168781,2,0
1599172382,1,0
1599175982,1,0
1599179581,1,0
1599183181,2,0
1599186781,1,0
1599190381,0,1
1599193981,1,1
1599197581,2,0
1599201181,1,0
1599204782,0,2
1599208381,4,0
1599211981,2,1
1599215581,3,0
1599219182,1,0
1599222781,4,1
1599226382,3,0
1599229981,3,0
1599233581,5,3
1599237181,4,2
1599240781,1,0
1599244381,1,0
1599247981,3,1
1599255181,1,1
1599258781,3,0
1599262381,2,0
1599265981,3,1
1599273182,1,1
1599283981,1,1
1599291183,1,0
1599294782,2,0
1599298381,4,0
1599301982,1,1
1599305581,5,1
1599309182,3,0
1599312781,3,1
1599316382,5,0
1599319981,3,2
1599323581,4,1
1599327181,4,0
1599330781,3,0
1599334381,1,0
1599337982,1,0
1599341581,0,1
1599348782,2,0
1599363181,2,0
1599366781,1,0
1599370382,2,1
1599373981,1,0
1599377583,2,0
1599381181,2,0
1599384781,2,0
1599388381,1,0
1599391982,1,0
1599395581,0,2
1599399182,2,1
1599402781,1,0
1599406381,3,1
1599413582,1,1
1599417181,0,2
1599420781,1,0
1599424382,3,2
1599427981,3,0
1599435182,2,0
1599438781,3,1
1599442381,4,1
1599449582,1,0
1599453182,1,2
1599456781,1,0
1599463981,1,3
1599471181,1,2
1599474781,1,0
1599481981,1,0
1599485581,2,0
1599489181,0,1
1599492782,1,0
1599496381,2,1
1599499981,1,0
1599503581,1,0
1599507181,1,1
1599514381,2,1
1599517981,1,1
1599535982,0,2
1599539581,0,1
1599543181,1,0
1599546781,0,1
1599553982,1,0
1599557581,2,0
1599561182,2,1
1599564781,0,1
1599571981,1,2
1599575581,1,0
1599579181,4,3
1599582781,0,2
1599586381,4,0
1599589982,1,0
1599593581,2,1
1599597181,3,1
1599607981,0,1
1599611581,0,3
1599618781,0,1
1599622382,1,2
1599625982,2,1
1599629581,1,1
1599633181,1,1
1599640381,2,1
